date,probe_id,route_rank,queue_rank,priority_band,source_validation_need,direction_outcome,representative_cisi,family_cisis,representative_lipi_id,site,type,symbol,direction,text,tokens,diff_per_transition,volume,page_index,page_file,source_url,route_status,source_grade_status,match_text,ocr_label_coords,local_page_path,local_context_crop,local_enhanced_crop,source_image_sha256,crop_sha256,enhanced_crop_sha256,image_width,image_height,crop_box_image_coords,notes,accepted_claims_increment
2026-05-29,directionality_public_route_probe_v2_ocr_coord_fix,1,4,P1_acquire_high_positive_source,find_public_or_request_source_route,stored_higher,H-665,H-665,1580.1,Harappa,SEAL:R,None,R/L,+407-004-060-692+,407 004 060 692,3.355998,cisi_pakistan,343,Pakistan_0343.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n343_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_review,H-665,2633|3607|2761|3647,tmp/effective_unicity_directionality_public_route_probe_v2/pages/4_H_665_cisi_pakistan_n343_1.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/4_H_665_cisi_pakistan_n343_1_context.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/4_H_665_cisi_pakistan_n343_1_context_enhanced_x2.jpg,05d50097bc8ba7f1f3547d50e36254248bbaa018da4e77f32ce2e9a8184d24b8,df3f5ba08150688ff8af0dfdc792f68bf902eb5111f7b1101c5875dab72a60ba,78b25f109d5ddf3325303e424da7c46043c4de2b06e0a6e7b17b00d35e17a6a5,3254,4538,2073|2787|3254|4007,"OCR-exact route candidate only; red box marks label, not text. Needs visual source-panel review.",0
2026-05-29,directionality_public_route_probe_v2_ocr_coord_fix,2,4,P1_acquire_high_positive_source,find_public_or_request_source_route,stored_higher,H-665,H-665,1580.1,Harappa,SEAL:R,None,R/L,+407-004-060-692+,407 004 060 692,3.355998,cisi_pakistan,343,Pakistan_0343.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n343_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_review,H -665,2595|4257|2724|4298,tmp/effective_unicity_directionality_public_route_probe_v2/pages/4_H_665_cisi_pakistan_n343_2.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/4_H_665_cisi_pakistan_n343_2_context.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/4_H_665_cisi_pakistan_n343_2_context_enhanced_x2.jpg,05d50097bc8ba7f1f3547d50e36254248bbaa018da4e77f32ce2e9a8184d24b8,1d100f60575d5276878cc1ffbcc244c8738407792e033d57a6f153fb13500714,57818ac712347a3779e037a08b717df30a2ddb29527b3408558dbf299802a396,3254,4538,2035|3437|3254|4538,"OCR-exact route candidate only; red box marks label, not text. Needs visual source-panel review.",0
2026-05-29,directionality_public_route_probe_v2_ocr_coord_fix,3,4,P1_acquire_high_positive_source,find_public_or_request_source_route,stored_higher,H-665,H-665,1580.1,Harappa,SEAL:R,None,R/L,+407-004-060-692+,407 004 060 692,3.355998,cisi_pakistan,476,Pakistan_0476.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n476_w2000.jpg,downloaded_and_cropped,public_cisi_late_register_or_data_route_not_source_panel,H-665,1079|124|1251|172,tmp/effective_unicity_directionality_public_route_probe_v2/pages/4_H_665_cisi_pakistan_n476_3.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/4_H_665_cisi_pakistan_n476_3_context.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/4_H_665_cisi_pakistan_n476_3_context_enhanced_x2.jpg,8a6ae089a897d2f0985b252b677e5a1bc328a8e054e91b0406262a05ae9388f5,413776d73fd577c8cb701e261c76c7e9f968b18bdfb44720a34bed56c361e7a5,9b5d4ab4c24dd675df9bd8aa5ac6499c518f2b562b00e2bbb85c1279e58bc16e,3239,4548,519|0|1971|532,"OCR-exact route candidate only; red box marks label, not text. Needs visual source-panel review.",0
2026-05-29,directionality_public_route_probe_v2_ocr_coord_fix,1,5,P1_acquire_high_positive_source,find_public_or_request_source_route,stored_higher,M-1458,M-1458,3735.1,Mohenjo-daro,TAB:C,-,R/L,+407-004-001-617-142+,407 004 001 617 142,3.268213,cisi_pakistan,234,Pakistan_0234.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n234_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_review,M 1458,1549|4239|1705|4279,tmp/effective_unicity_directionality_public_route_probe_v2/pages/5_M_1458_cisi_pakistan_n234_1.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/5_M_1458_cisi_pakistan_n234_1_context.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/5_M_1458_cisi_pakistan_n234_1_context_enhanced_x2.jpg,a111e2cca57964bbad170d536d17faa78e750ea768b6d9eb32196e770119c0bc,815571a0f705167668dbcad5f10c066136399c7e7a4602ff72351d5cdfa2be65,0f9ef699cad84978fd0c255ddebd78c604402ab035dd2b4b264d019843e94ff6,3227,4542,989|3419|2425|4542,"OCR-exact route candidate only; red box marks label, not text. Needs visual source-panel review.",0
2026-05-29,directionality_public_route_probe_v2_ocr_coord_fix,1,9,P1_acquire_high_positive_source,find_public_or_request_source_route,stored_higher,H-654,H-654,1569.1,Harappa,SEAL:R,None,R/L,+405-061-740-806+,405 061 740 806,2.979214,cisi_pakistan,342,Pakistan_0342.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n342_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_review,H-654,648|2230|776|2270,tmp/effective_unicity_directionality_public_route_probe_v2/pages/9_H_654_cisi_pakistan_n342_1.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/9_H_654_cisi_pakistan_n342_1_context.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/9_H_654_cisi_pakistan_n342_1_context_enhanced_x2.jpg,78be7db8dacec3dafdf430e8e63a4ef2acbaa9975d96c44200f5b548ff27b11a,d4e47ca6419de80e2e14bc75a01dc686a1fe07454d03d3ad1d160b202bc8d788,d95f383fa62e16a2da8b257df2edd4c8c5996f96b930672124a4c3395c769de9,3252,4538,88|1410|1496|2630,"OCR-exact route candidate only; red box marks label, not text. Needs visual source-panel review.",0
2026-05-29,directionality_public_route_probe_v2_ocr_coord_fix,2,9,P1_acquire_high_positive_source,find_public_or_request_source_route,stored_higher,H-654,H-654,1569.1,Harappa,SEAL:R,None,R/L,+405-061-740-806+,405 061 740 806,2.979214,cisi_pakistan,342,Pakistan_0342.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n342_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_review,H-654,641|2894|772|2934,tmp/effective_unicity_directionality_public_route_probe_v2/pages/9_H_654_cisi_pakistan_n342_2.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/9_H_654_cisi_pakistan_n342_2_context.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/9_H_654_cisi_pakistan_n342_2_context_enhanced_x2.jpg,78be7db8dacec3dafdf430e8e63a4ef2acbaa9975d96c44200f5b548ff27b11a,099338221c4496094236ac2c5e58f79aa0041ecf1a8ce6428d41234ee281eb1c,95def038de6184f8da0ea05b05b98882390bf6b4cffd0dd18cfa2fb0d1f2649a,3252,4538,81|2074|1492|3294,"OCR-exact route candidate only; red box marks label, not text. Needs visual source-panel review.",0
2026-05-29,directionality_public_route_probe_v2_ocr_coord_fix,3,9,P1_acquire_high_positive_source,find_public_or_request_source_route,stored_higher,H-654,H-654,1569.1,Harappa,SEAL:R,None,R/L,+405-061-740-806+,405 061 740 806,2.979214,cisi_pakistan,342,Pakistan_0342.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n342_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_review,& H-654,796|2904|1744|2942,tmp/effective_unicity_directionality_public_route_probe_v2/pages/9_H_654_cisi_pakistan_n342_3.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/9_H_654_cisi_pakistan_n342_3_context.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/9_H_654_cisi_pakistan_n342_3_context_enhanced_x2.jpg,78be7db8dacec3dafdf430e8e63a4ef2acbaa9975d96c44200f5b548ff27b11a,7938501e36afffc0250aeec06549165c1b1bce100c623900d124081a80d31ee9,77f375f364d37ae19a320ed9ac03540e827adde79a3b269d91484fe6d096f735,3252,4538,236|2084|2464|3302,"OCR-exact route candidate only; red box marks label, not text. Needs visual source-panel review.",0
2026-05-29,directionality_public_route_probe_v2_ocr_coord_fix,4,9,P1_acquire_high_positive_source,find_public_or_request_source_route,stored_higher,H-654,H-654,1569.1,Harappa,SEAL:R,None,R/L,+405-061-740-806+,405 061 740 806,2.979214,cisi_pakistan,342,Pakistan_0342.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n342_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_review,H-654,1619|2904|1744|2942,tmp/effective_unicity_directionality_public_route_probe_v2/pages/9_H_654_cisi_pakistan_n342_4.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/9_H_654_cisi_pakistan_n342_4_context.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/9_H_654_cisi_pakistan_n342_4_context_enhanced_x2.jpg,78be7db8dacec3dafdf430e8e63a4ef2acbaa9975d96c44200f5b548ff27b11a,55b92d094bdc69d3f94fa5756d9bea15a4fe0e12b2215fe6efb9b59a5bb28251,d9a565a48ce387e0dd891974172769257dedc924d3c178d3dabbd725c56038b7,3252,4538,1059|2084|2464|3302,"OCR-exact route candidate only; red box marks label, not text. Needs visual source-panel review.",0
2026-05-29,directionality_public_route_probe_v2_ocr_coord_fix,1,10,P1_acquire_high_positive_source,find_public_or_request_source_route,stored_higher,M-1310,M-1310,3615.1,Mohenjo-daro,SEAL:R,None,R/L,+407-004-001-740-407-590-235+,407 004 001 740 407 590 235,2.915356,cisi_pakistan,202,Pakistan_0202.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n202_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_review,M 1310,1495|2419|1657|2459,tmp/effective_unicity_directionality_public_route_probe_v2/pages/10_M_1310_cisi_pakistan_n202_1.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/10_M_1310_cisi_pakistan_n202_1_context.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/10_M_1310_cisi_pakistan_n202_1_context_enhanced_x2.jpg,03f2d9ecf9f7c063f861c2e11e71af60d1df70073a89db45362ef059347b1bf2,9073e75006a7740bf87768214944c4b47f5c53969039369d52c66dae35dc7918,1e437592e34a0c1721b48a9ecb258c81e882ada8ccc20c968af850ec58bd4365,3236,4566,935|1599|2377|2819,"OCR-exact route candidate only; red box marks label, not text. Needs visual source-panel review.",0
2026-05-29,directionality_public_route_probe_v2_ocr_coord_fix,2,10,P1_acquire_high_positive_source,find_public_or_request_source_route,stored_higher,M-1310,M-1310,3615.1,Mohenjo-daro,SEAL:R,None,R/L,+407-004-001-740-407-590-235+,407 004 001 740 407 590 235,2.915356,cisi_pakistan,202,Pakistan_0202.djvu,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n202_w2000.jpg,downloaded_and_cropped,public_cisi_plate_route_candidate_needs_visual_review,M-1310,1452|4322|1608|4362,tmp/effective_unicity_directionality_public_route_probe_v2/pages/10_M_1310_cisi_pakistan_n202_2.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/10_M_1310_cisi_pakistan_n202_2_context.jpg,tmp/effective_unicity_directionality_public_route_probe_v2/crops/10_M_1310_cisi_pakistan_n202_2_context_enhanced_x2.jpg,03f2d9ecf9f7c063f861c2e11e71af60d1df70073a89db45362ef059347b1bf2,fc3c8add5b31c6ac9c537ac0543de50cb77557feb7733c44a669d01857048ab2,fe5e7840fcaeb89bb5c0bcc1f59a1a240f6b0cb3c4b4fc36aea658a0516e8bc6,3236,4566,892|3502|2328|4566,"OCR-exact route candidate only; red box marks label, not text. Needs visual source-panel review.",0
