scope,id,cisi,site,type,symbol,frame_kind,text,prefix_before_002,prefix_last1,prefix_last2,idx_002,tail_len,tail_next1,tail_full,terminal_861
all_002_strict_raw,18.1,-,Bakkar Buthi,POT:T:g,None,,+405-844-032-840-002-861+,405 844 032 840,840,032 840,4,0,<END>,<END>,true
all_002_strict_raw,69.1,C-60,Chanhu-daro,SEAL:S,Bull1:W,,+740-176-032-002-861+,740 176 032,032,176 032,3,0,<END>,<END>,true
all_002_strict_raw,76.1,C-74,Chanhu-daro,SEAL:S,Gaur,,+125-002-861+,125,125,125,1,0,<END>,<END>,true
all_002_strict_raw,132.1,-,Dholavira,SEAL:S,Tigr,,+740-416-002-861+,740 416,416,740 416,2,0,<END>,<END>,true
all_002_strict_raw,136.1,-,Dholavira,SEAL:R,None,,+390-016-002-861+,390 016,016,390 016,2,0,<END>,<END>,true
all_002_strict_raw,145.1,Dlv-1,Dholavira,SEAL:S,Bull1:J,,+151-382-031-002-861+,151 382 031,031,382 031,3,0,<END>,<END>,true
all_002_strict_raw,259.1,H-1051,Harappa,SEAL:S,Bull1:I,,+400-740-575-017-920-320-798-002-861+,400 740 575 017 920 320 798,798,320 798,7,0,<END>,<END>,true
all_002_strict_raw,284.1,H-1030,Harappa,SEAL:S,Bull1:W,,+090-740-103-002-861+,090 740 103,103,740 103,3,0,<END>,<END>,true
all_002_strict_raw,303.1,H-1043,Harappa,SEAL:S,Bull1:W,,+151-760-220-003-002-861+,151 760 220 003,003,220 003,4,0,<END>,<END>,true
all_002_strict_raw,409.2,H-1942,Harappa,TAB:B,Bult,,+405-035-002-861+,405 035,035,405 035,2,0,<END>,<END>,true
all_002_strict_raw,476.2,H-2094,Harappa,TAB:I,None,,+002-861-416+,,<START>,<START>,0,1,416,416,false
all_002_strict_raw,488.2,H-2097,Harappa,TAB:I,None,,+002-861-416+,,<START>,<START>,0,1,416,416,false
all_002_strict_raw,518.2,H-2095,Harappa,TAB:I,None,,+002-861-416+,,<START>,<START>,0,1,416,416,false
all_002_strict_raw,537.1,H-1692,Harappa,SEAL:S,None,,+740-390-590-002-861+,740 390 590,590,390 590,3,0,<END>,<END>,true
all_002_strict_raw,594.2,H-2022,Harappa,TAB:B,Phyt,,+740-752-175-002-861+,740 752 175,175,752 175,3,0,<END>,<END>,true
all_002_strict_raw,621.1,-,Harappa,TAB:I,None,,+002-861-416+,,<START>,<START>,0,1,416,416,false
all_002_strict_raw,665.2,H-2096,Harappa,TAB:I,None,,+002-861-416+,,<START>,<START>,0,1,416,416,false
all_002_strict_raw,729.2,H-2010,Harappa,TAB:B,Bull1,,+740-482-240-002-861+,740 482 240,240,482 240,3,0,<END>,<END>,true
all_002_strict_raw,771.2,H-1930,Harappa,TAB:B,Gavi,,+408-817-920-002-861+,408 817 920,920,817 920,3,0,<END>,<END>,true
all_002_strict_raw,789.1,H-1785,Harappa,TAB:B,Phyt,,+407-004-002-861+,407 004,004,407 004,2,0,<END>,<END>,true
all_002_strict_raw,805.1,H-1788,Harappa,TAB:B,None,,+154-806-470-002-861+,154 806 470,470,806 470,3,0,<END>,<END>,true
all_002_strict_raw,937.2,H-2011,Harappa,TAB:B,Bull1,,+740-482-240-002-861+,740 482 240,240,482 240,3,0,<END>,<END>,true
all_002_strict_raw,1004.1,H-1966,Harappa,TAB:B,Gaur,,+520-233-049-002-861+,520 233 049,049,233 049,3,0,<END>,<END>,true
all_002_strict_raw,1024.2,H-1851,Harappa,TAB:B,None,,+740-803-892-031-002-861+,740 803 892 031,031,892 031,4,0,<END>,<END>,true
all_002_strict_raw,1110.1,H-51,Harappa,SEAL:S,Bull1:W,,+740-643-240-002-861+,740 643 240,240,643 240,3,0,<END>,<END>,true
all_002_strict_raw,1114.1,H-55,Harappa,SEAL:S,Bull1:X,,+390-004-002-861-125+,390 004,004,390 004,2,1,125,125,false
all_002_strict_raw,1170.1,H-129,Harappa,SEAL:R,None,,+409-061-740-235-220-031-002-861-244-165+,409 061 740 235 220 031,031,220 031,6,2,244,244 165,false
all_002_strict_raw,1175.1,H-134,Harappa,SEAL:R,None,,+740-405-590-220-003-002-861+,740 405 590 220 003,003,220 003,5,0,<END>,<END>,true
all_002_strict_raw,1176.1,H-135,Harappa,SEAL:R,None,,+740-773-231-806-002-861+,740 773 231 806,806,231 806,4,0,<END>,<END>,true
all_002_strict_raw,1414.1,H-410,Harappa,SEAL:S,Bull1:L,,+368-840-830-002-861+,368 840 830,830,840 830,3,0,<END>,<END>,true
all_002_strict_raw,1434.1,H-444,Harappa,SEAL:S,Bull1:W,,+241-220-032-002-861+,241 220 032,032,220 032,3,0,<END>,<END>,true
all_002_strict_raw,1436.1,H-446,Harappa,SEAL:S,Bull1:J,,+740-585-798-002-861-216+,740 585 798,798,585 798,3,1,216,216,false
all_002_strict_raw,1540.1,H-597,Harappa,SEAL:S,Bull1:J,,+740-390-590-070-032-002-861+,740 390 590 070 032,032,070 032,5,0,<END>,<END>,true
all_002_strict_raw,1540.2,H-597,Harappa,SEAL:S,Bull1:J,,+740-390-590-070-032-002-861+,740 390 590 070 032,032,070 032,5,0,<END>,<END>,true
all_002_strict_raw,1594.1,H-688,Harappa,SEAL,None,,+520-233-002-861-831-165+,520 233,233,520 233,2,2,831,831 165,false
all_002_strict_raw,1622.1,H-719,Harappa,TAB:B,Phyt,,+405-004-002-861+,405 004,004,405 004,2,0,<END>,<END>,true
