"label_filter","shuffle_block","iteration","model","evaluated_rows","label_count","accuracy","macro_f1","macro_recall"
"all_eligible","global","11","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","11","length","1750","12","0.209714","0.048298","0.085758"
"all_eligible","global","11","type","1750","12","0.194286","0.037378","0.077226"
"all_eligible","global","11","site","1750","12","0.219429","0.044628","0.088154"
"all_eligible","global","11","type_site","1750","12","0.191429","0.043589","0.077694"
"all_eligible","global","11","length_type_site","1750","12","0.151429","0.054181","0.067387"
"all_eligible","global","11","edge_frame","1750","12","0.186286","0.057701","0.083198"
"all_eligible","global","11","token_nb","1750","12","0.186286","0.068754","0.084116"
"all_eligible","global","12","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","12","length","1750","12","0.218857","0.054336","0.090643"
"all_eligible","global","12","type","1750","12","0.214286","0.042658","0.08731"
"all_eligible","global","12","site","1750","12","0.214857","0.047903","0.088694"
"all_eligible","global","12","type_site","1750","12","0.206286","0.04519","0.084834"
"all_eligible","global","12","length_type_site","1750","12","0.185143","0.066989","0.083068"
"all_eligible","global","12","edge_frame","1750","12","0.179429","0.051834","0.078153"
"all_eligible","global","12","token_nb","1750","12","0.192","0.07164","0.086877"
"all_eligible","global","13","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","13","length","1750","12","0.222857","0.05293","0.09091"
"all_eligible","global","13","type","1750","12","0.221143","0.051076","0.089825"
"all_eligible","global","13","site","1750","12","0.216","0.043066","0.087439"
"all_eligible","global","13","type_site","1750","12","0.216571","0.06435","0.091729"
"all_eligible","global","13","length_type_site","1750","12","0.204571","0.086264","0.097595"
"all_eligible","global","13","edge_frame","1750","12","0.180571","0.05921","0.083031"
"all_eligible","global","13","token_nb","1750","12","0.174286","0.058629","0.076289"
"all_eligible","global","14","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","14","length","1750","12","0.216571","0.046505","0.087059"
"all_eligible","global","14","type","1750","12","0.205143","0.029359","0.080421"
"all_eligible","global","14","site","1750","12","0.205714","0.031035","0.081028"
"all_eligible","global","14","type_site","1750","12","0.2","0.043769","0.0805"
"all_eligible","global","14","length_type_site","1750","12","0.145143","0.058996","0.068508"
