checked_date,object,site,type,shape,material,scope_cell,prev_before_002,head_after_002,x,x_continuing,x_terminal,tail_after_705,text
2026-05-31,H-468,Harappa,SEAL:S,square,Steatite,Harappa|SEAL:S|square|Steatite,003,940,705,False,True,<END>,+740-900-003-002-940-705+
2026-05-31,M-1668,Mohenjo-daro,SEAL:S,square,Steatite,Mohenjo-daro|SEAL:S|square|Steatite,803,320,705,True,False,125,+740-773-233-803-002-320-705-125+
2026-05-31,M-1155,Mohenjo-daro,SEAL:S,square,Steatite,Mohenjo-daro|SEAL:S|square|Steatite,335,033,705,False,True,<END>,+740-760-335-002-033-705+
2026-05-31,M-1825,Mohenjo-daro,SEAL:S,square,-,Mohenjo-daro|SEAL:S|square|-,031,390,705,False,True,<END>,+157-031-002-390-705+
2026-05-31,-,Dholavira,SEAL:S,square,-,Dholavira|SEAL:S|square|-,388,390,705,False,True,<END>,+151-032-388-002-390-705+
