"target_cisi","target_row_id","target_short_text","target_bucket","original_triad_rank","independence_rank","evidence_tier","shared_match_count","shared_matches","object_core_count","visual_core_count","context_core_count","grade","long_context_relation","copy_pressure","control_033_cisi","control_033_score","control_032_cisi","control_032_score","target_source_hooks","control_033_source_hooks","control_032_source_hooks","local_use"
"H-1850","480.1","+700-034+","E_other_034_residue","51","1","A_independent_source_ready","12","area_bin;context_class;cross_section;h_bin;material;period_phase;shape;side_relation;sides;site;type;v_bin","6","3","2","D_object_plus_some_context","all_three_differ","low_repetition_pressure","H-1842","34","H-1772","34","H2001-5141;Figure 48.07","H95-2416;Figure 26.07","H2000-4437;Figure 39.05","source_targeting_only"
"H-771","1663.2","+700-034+","E_other_034_residue","47","2","A_independent_source_ready","12","area_bin;context_class;cross_section;h_bin;material;period_phase;shape;side_relation;sides;site;symbol;type","6","2","2","D_object_plus_some_context","all_three_differ","low_repetition_pressure","H-789","36","H-1123","32","657678","12549604","9015360","source_targeting_only"
"H-1943","422.1","+700-034+","E_other_034_residue","81","3","A_independent_source_ready","11","area_bin;aspect_bin;context_class;cross_section;material;order;shape;sides;site;symbol;type","6","2","2","D_object_plus_some_context","all_three_differ","low_repetition_pressure","H-1940","30","H-854","30","H2000-4482;Figure 42.10","H2001-5072;Figure 44.05","10010647","source_targeting_only"
"H-2204","659.1","+700-034+","E_other_034_residue","71","4","A_independent_source_ready","12","aspect_bin;context_class;cross_section;excavation_prefix;h_bin;material;order;period_phase;shape;side_relation;site;type","5","2","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-2209","34","H-2217","30","H95-2482;Figure 27.06","H95-2423","H95-2521;Figure 27.09","source_targeting_only"
"H-2206","871.1","+700-034+","E_other_034_residue","85","5","B_source_ready_needs_metadata_review","8","context_class;cross_section;material;order;shape;sides;site;type","6","0","2","D_object_plus_some_context","all_three_differ","moderate_repetition_pressure","H-1347","32","H-2201","26","H97-3334;Figure 15.05","1262896","H96-2781;Figure 20.08","source_targeting_only"
"H-1867","506.1","+700-034+","E_other_034_residue","66","6","B_source_ready_needs_metadata_review","12","area_bin;aspect_bin;context_class;h_bin;material;order;shape;side_relation;sides;site;type;v_bin","5","4","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-1915","33","H-1771","32","H90-1593;Figure 13.46 (k)","H2000-4469;Figure 42.12","H2000-4375;Figure 36.03","source_targeting_only"
"H-351","1370.2","+700-034+","E_other_034_residue","79","7","B_source_ready_needs_metadata_review","10","area_bin;aspect_bin;context_class;h_bin;material;order;side_relation;sides;site;type","4","3","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-353","31","H-1294","29","2429581","1348","PII-1499","source_targeting_only"
"H-350","1369.2","+700-034+","E_other_034_residue","83","8","B_source_ready_needs_metadata_review","10","area_bin;context_class;h_bin;material;order;side_relation;sides;site;type;v_bin","4","3","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-296","31","H-943","28","3534a576","12534457","3668461","source_targeting_only"
"H-2246","484.1","+700-034+","E_other_034_residue","92","9","B_source_ready_needs_metadata_review","8","aspect_bin;h_bin;material;order;side_relation;site;type;v_bin","3","3","2","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-2214","26","H-2201","23","H2001-5145;Figure 47.05","H95-2498;Figure 27.03","H96-2781;Figure 20.08","source_targeting_only"
"H-1354","222.3","+700-034+","E_other_034_residue","88","10","B_source_ready_needs_metadata_review","7","area_bin;aspect_bin;material;order;site;type;v_bin","3","3","1","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-987","28","H-362","20","11349583","11715586","11371","source_targeting_only"
"H-363","1382.2","+700-034+","E_other_034_residue","93","11","B_source_ready_needs_metadata_review","8","area_bin;aspect_bin;context_class;order;side_relation;site;type;v_bin","2","3","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-355","24","H-362","19","13030","1274","11371","source_targeting_only"
"H-1937","938.1","+034-700+","A_034_direction_reversal","24","12","B_source_ready_with_direction_or_reuse_pressure","11","area_bin;context_class;cross_section;h_bin;material;shape;side_relation;sides;site;type;v_bin","6","3","2","D_object_plus_some_context","all_three_differ","moderate_repetition_pressure","H-1933","32","H-1931","32","H98-3504;Figure 25.09","H97-3422;Figure 14.09","H94-2177;Figure 17.08","source_targeting_only"
"H-1832","415.1","+700-034+","E_other_034_residue","41","13","B_source_ready_with_direction_or_reuse_pressure","13","area_bin;context_class;cross_section;h_bin;material;order;period_phase;shape;side_relation;sides;site;symbol;type","6","2","3","D_object_plus_some_context","all_three_differ","moderate_repetition_pressure","H-1839","35","H-1853","35","H2000-4470;Figure 42.04","H95-2431;Figure 21.05","H2000-4395;Figure 39.01","source_targeting_only"
"H-1845","424.1","+700-034+","E_other_034_residue","42","14","B_source_ready_with_direction_or_reuse_pressure","12","area_bin;context_class;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","6","3","2","D_object_plus_some_context","all_three_differ","moderate_repetition_pressure","H-770","32","H-1853","38","H2000-4484;Figure 42.05","2177353","H2000-4395;Figure 39.01","source_targeting_only"
"H-1817","624.1","+700-034+","E_other_034_residue","45","15","B_source_ready_with_direction_or_reuse_pressure","13","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;side_relation;sides;site;symbol;type;v_bin","5","4","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-1873","36","H-1902","33","H94-2326;Figure 26.06","H94-2191;Figure 17.06","H98-3436;Figure 25.12","source_targeting_only"
"H-1824","646.1","+700-034+","E_other_034_residue","50","16","B_source_ready_with_direction_or_reuse_pressure","12","area_bin;aspect_bin;context_class;cross_section;h_bin;material;shape;sides;site;symbol;type;v_bin","6","4","1","C_visual_object_matched","all_three_differ","moderate_repetition_pressure","H-1883","36","H-212","32","H95-2434;Figure 26.10","H98-3498;Figure 24.10","3890357","source_targeting_only"
"H-893","1775.2","+700-034+","E_other_034_residue","40","17","B_source_ready_with_direction_or_reuse_pressure","14","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;side_relation;sides;site;symbol;type;v_bin","6","4","3","A_strict_local_minimal_contrast","all_three_differ","moderate_repetition_pressure","H-925","36","H-930","35","12581522","3286512","J30520","source_targeting_only"
"H-2137","3932.1","+700-034+","E_other_034_residue","61","18","B_source_ready_with_direction_or_reuse_pressure","13","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","6","4","2","B_visual_object_order_matched","all_three_differ","moderate_repetition_pressure","H-925","33","H-930","33","H95-2480;Figure 30.09","3286512","J30520","source_targeting_only"
"H-892","1774.2","+034-700+","A_034_direction_reversal","20","19","B_source_ready_with_direction_or_reuse_pressure","12","area_bin;aspect_bin;context_class;cross_section;h_bin;material;side_relation;sides;site;symbol;type;v_bin","5","4","2","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-1308","34","H-321","32","995451","J582445","J575","source_targeting_only"
"H-1854","427.1","+700-034+","E_other_034_residue","69","20","B_source_ready_with_direction_or_reuse_pressure","10","context_class;cross_section;material;order;shape;side_relation;sides;site;type;v_bin","6","1","3","D_object_plus_some_context","all_three_differ","moderate_repetition_pressure","H-1872","32","H-1771","32","H2000-4489;Figure 46.01","H96-2778;Figure 17.13","H2000-4375;Figure 36.03","source_targeting_only"
"H-983","1859.2","+700-034+","E_other_034_residue","49","21","B_source_ready_with_direction_or_reuse_pressure","13","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","6","4","2","B_visual_object_order_matched","all_three_differ","moderate_repetition_pressure","H-353","35","H-2211","33","2528582","1348","H97-3285;Figure 16.02","source_targeting_only"
