terminal,feature,value,a,terminal_rows,b,other_rows,terminal_share,other_share,fisher_p
817,prev,503,5,124,1,237,0.04032258064516129,0.004219409282700422,0.019613291832013206
817,first,527,6,124,2,237,0.04838709677419355,0.008438818565400843,0.021737552721773596
817,symbol,Bull1,19,124,19,237,0.1532258064516129,0.08016877637130802,0.0263890782469285
820,symbol,Bull1:I,7,91,7,270,0.07692307692307693,0.025925925925925925,0.03686618672571023
820,prev,803,8,91,9,270,0.08791208791208792,0.03333333333333333,0.03831377661079603
817,prev,233,8,124,5,237,0.06451612903225806,0.02109704641350211,0.038564674448143495
817,material,Steatite,94,124,157,237,0.7580645161290323,0.6624472573839663,0.038668567388958366
861,symbol,Elep,8,146,4,215,0.0547945205479452,0.018604651162790697,0.0579914729323037
861,prev,798,8,146,4,215,0.0547945205479452,0.018604651162790697,0.0579914729323037
820,site,Kalibangan,6,91,7,270,0.06593406593406594,0.025925925925925925,0.07922137784652453
861,first,405,5,146,2,215,0.03424657534246575,0.009302325581395349,0.09842082278710197
861,first,151,5,146,2,215,0.03424657534246575,0.009302325581395349,0.09842082278710197
820,type,TAB:B,11,91,19,270,0.12087912087912088,0.07037037037037037,0.10115415699509667
820,prev,032,10,91,17,270,0.10989010989010989,0.06296296296296296,0.1095969385126554
820,prev,000,6,91,8,270,0.06593406593406594,0.02962962962962963,0.11098777118715675
820,material,Faience,8,91,13,270,0.08791208791208792,0.04814814814814815,0.12810432015755027
861,first,390,9,146,7,215,0.06164383561643835,0.03255813953488372,0.1454278797397271
817,type,SEAL:S,90,124,158,237,0.7258064516129032,0.6666666666666666,0.15115190431722655
861,condition,Fine,6,146,4,215,0.0410958904109589,0.018604651162790697,0.1704627460627621
817,shape,square,91,124,161,237,0.7338709677419355,0.679324894514768,0.17086573148708223
817,symbol,Bull1:J,12,124,15,237,0.0967741935483871,0.06329113924050633,0.17356247999926203
817,first,740,52,124,86,237,0.41935483870967744,0.3628691983122363,0.17487759589327648
861,prev,176,5,146,3,215,0.03424657534246575,0.013953488372093023,0.1780130405269838
820,type,SEAL:R,14,91,30,270,0.15384615384615385,0.1111111111111111,0.18474444942891408
817,first,520,16,124,22,237,0.12903225806451613,0.09282700421940929,0.18753344667287788
820,condition,Poor,39,91,100,270,0.42857142857142855,0.37037037037037035,0.1939836934719355
861,site,Lothal,9,146,8,215,0.06164383561643835,0.037209302325581395,0.20435938120973138
820,site,Harappa,22,91,53,270,0.24175824175824176,0.1962962962962963,0.21748720209208058
861,prev,031,8,146,7,215,0.0547945205479452,0.03255813953488372,0.21909225657722553
861,complete,Y,119,146,167,215,0.815068493150685,0.7767441860465116,0.22776005312570294
861,prev,235,11,146,11,215,0.07534246575342465,0.05116279069767442,0.2347189419341964
820,complete,N,17,91,40,270,0.18681318681318682,0.14814814814814814,0.23647290133949272
820,first,740,38,91,100,270,0.4175824175824176,0.37037037037037035,0.24849091236683407
820,shape,rectangular,12,91,27,270,0.13186813186813187,0.1,0.25275360350807485
817,condition,Fair,36,124,60,237,0.2903225806451613,0.25316455696202533,0.26210740408695204
861,complete,?,9,146,9,215,0.06164383561643835,0.04186046511627907,0.27134257038056847
