"corpus","scope","holdout_policy","source","rows","tokens","unique_tokens","holdout_blocks","median_heldout_transitions","max_heldout_transitions","stored_higher","reversed_higher","ties","stored_win_share","mean_stored_minus_reversed_per_transition","median_stored_minus_reversed_per_transition","max_null_ge_observed_share","max_admissible_null_ge_observed_share","max_all_null_ge_observed_share","degenerate_null_controls","input_records"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","data/open_prototype/reports/lipi_scope_rows.csv","1798","8212","571","1798","5","14","1704","86","8","0.94772","2.499961","2.677184","0","0","0","","1798"
"Indus_Lipi","exact_text_collapsed","leave_source_convention_out","data/open_prototype/reports/lipi_scope_rows.csv","1798","8212","571","502","56","639","1702","88","8","0.946607","2.470896","2.622922","0","0","0","","1798"
"Indus_Lipi","exact_text_collapsed","leave_edge_frame_out","data/open_prototype/reports/lipi_scope_rows.csv","1798","8212","571","1408","6","126","1703","87","8","0.947164","2.4835","2.649918","0","0","0","","1798"
"Indus_Lipi","top10_edge_removed_exact_text_collapsed","leave_one_unit_out","data/open_prototype/reports/lipi_scope_rows.csv","530","2123","388","530","4","13","444","74","12","0.837736","1.163536","1.174919","0.005","0.005","0.005","","530"
"Indus_Lipi","top10_edge_removed_exact_text_collapsed","leave_source_convention_out","data/open_prototype/reports/lipi_scope_rows.csv","530","2123","388","221","20","237","442","75","13","0.833962","1.145333","1.160038","0","0","0","","530"
"Indus_Lipi","top10_edge_removed_exact_text_collapsed","leave_edge_frame_out","data/open_prototype/reports/lipi_scope_rows.csv","530","2123","388","521","4","16","442","76","12","0.833962","1.159241","1.159205","0.025","0.025","0.025","","530"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","leave_one_unit_out","data/open_prototype/reports/lipi_scope_rows.csv","365","1725","358","365","5","13","307","47","11","0.841096","1.052098","1.022315","0.005","0.005","0.005","","365"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","leave_source_convention_out","data/open_prototype/reports/lipi_scope_rows.csv","365","1725","358","175","14","212","304","49","12","0.832877","1.024921","1.007465","0.02","0.02","0.02","","365"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","leave_edge_frame_out","data/open_prototype/reports/lipi_scope_rows.csv","365","1725","358","361","5","16","307","47","11","0.841096","1.050122","1.02173","0","0","0","","365"
"Indus_Lipi","exact_text_source_convention_collapsed","leave_one_unit_out","data/open_prototype/reports/lipi_scope_rows.csv","502","2314","332","502","5","14","467","31","4","0.930279","2.018102","2.062695","0.005","0.005","1","register_position_shuffle","502"
"Indus_Lipi","exact_text_source_convention_collapsed","leave_source_convention_out","data/open_prototype/reports/lipi_scope_rows.csv","502","2314","332","502","5","14","467","31","4","0.930279","2.018102","2.062695","0","0","1","register_position_shuffle","502"
"Indus_Lipi","exact_text_source_convention_collapsed","leave_edge_frame_out","data/open_prototype/reports/lipi_scope_rows.csv","502","2314","332","445","6","48","467","31","4","0.930279","2.005042","2.050003","0.005","0.005","1","register_position_shuffle","502"
