"class","all_rows","numeric_clean_rows","complete_y_rows","complete_y_share","top_type","top_type_share","top_site","top_site_share","top_length","top_length_share"
"??","1341","2","2","0.001491","SEAL:S","0.264728","Harappa","0.447427","2+?","0.176734"
"SS","709","661","709","1","SEAL:S","0.315938","Harappa","0.527504","2","0.417489"
"UC","666","0","0","0","TAB:I","0.243243","Harappa","0.576577","1+?","0.381381"
"SC","606","452","606","1","SEAL:S","0.354785","Harappa","0.448845","3","0.346535"
"VN","355","321","355","1","TAB:I","0.484507","Harappa","0.985915","2","0.946479"
"MT","330","319","330","1","TAB:B","0.3","Mohenjo-daro","0.469697","4","0.336364"
"IT","276","269","276","1","SEAL:S","0.673913","Mohenjo-daro","0.655797","5","0.42029"
"SP","225","212","225","1","SEAL:S","0.626667","Mohenjo-daro","0.435556","5","0.577778"
"LP","212","197","212","1","SEAL:S","0.768868","Mohenjo-daro","0.627358","7","0.457547"
"TS","168","0","168","1","SEAL:S","0.208333","Mohenjo-daro","0.357143","1","0.988095"
"NU","167","4","167","1","POT:T:g","0.730539","Harappa","0.736527","1","0.838323"
"LC","127","114","127","1","SEAL:S","0.417323","Mohenjo-daro","0.559055","6","0.472441"
"MS","88","83","88","1","SEAL:S","0.284091","Mohenjo-daro","0.659091","5","0.238636"
"IM","78","68","78","1","SEAL:S","0.628205","Mohenjo-daro","0.525641","4","0.641026"
"2L","63","1","62","0.984127","SEAL:S","0.825397","Mohenjo-daro","0.539683","6","0.190476"
"NV","63","53","63","1","TAB:B","0.714286","Harappa","0.984127","2","0.952381"
"PN","53","39","53","1","SEAL:S","0.471698","Mohenjo-daro","0.377358","2","0.849057"
"ZN","44","13","44","1","SEAL:S","0.227273","Harappa","0.409091","1","0.659091"
"LT","38","36","38","1","TAB:C","0.526316","Mohenjo-daro","0.631579","7","0.578947"
"VX","27","27","27","1","TAB:B","0.518519","Harappa","0.666667","3","0.37037"
"AN","20","7","20","1","POT:T:g","0.4","Harappa","0.5","2","0.65"
"PA","10","0","10","1","SEAL:S","1","Mohenjo-daro","1","7","0.6"
"IC","6","5","6","1","SEAL:S","1","Mohenjo-daro","0.5","5","0.666667"
"CT","4","4","4","1","SEAL:S","0.5","Mohenjo-daro","0.75","4","0.25"
"3L","3","0","3","1","SEAL:S","0.666667","Mohenjo-daro","0.666667","10","0.333333"
