unit,id,cisi,site,type,symbol,direction,text,unit_index,prev1,prev2,next1,unit_terminal,after_861,after_002_861,source_visible_tailed_focus
603,198.1,H-1138,Harappa,TAB:B,None,R/L,+740-603-240-060-692+,1,740,740,240,false,false,false,false
603,686.2,H-1846,Harappa,TAB:B,None,R/L,+740-603-240-060-692+,1,740,740,240,false,false,false,false
603,2763.1,M-240,Mohenjo-daro,SEAL:S,Gaur,R/L,+520-240-220-032-002-861-603+,6,861,002 861,<END>,true,true,true,true
603,3139.1,M-714,Mohenjo-daro,SEAL:S,Bull1:W,R/L,+740-585-017-033-705-233-798-803-002-861-603+,10,861,002 861,<END>,true,true,true,true
603,3580.1,M-1273,Mohenjo-daro,SEAL:R,None,R/L,+740-055-002-861-603+,4,861,002 861,<END>,true,true,true,true
603,3887.1,-,Unknown,SEAL:C,Scene,R/L,+000-603-091-190+,1,000,000,091,false,false,false,false
603,3975.1,H-1137,Harappa,TAB:B,None,R/L,+740-603-240-060-692+,1,740,740,240,false,false,false,false
533 717,2872.1,M-376,Mohenjo-daro,SEAL:R,None,R/L,+740-100-176-002-861-533-717+,5,861,002 861,<END>,true,true,true,true
533 717,2887.1,M-391,Mohenjo-daro,SEAL:R,None,R/L,+405-845-686-740-793-003-233-805-002-861-533-717+,10,861,002 861,<END>,true,true,true,true
255 416,2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,R/L,+740-100-798-220-032-002-861-255-416+,7,861,002 861,<END>,true,true,true,true
096,2318.1,M-2089,Mohenjo-daro,ROD,None,L/R,+002-861-096+,2,861,002 861,<END>,true,true,true,false
096,3544.1,M-1193,Mohenjo-daro,SEAL:S,None,R/L,+143-096+,1,143,143,<END>,true,false,false,false
416,132.1,-,Dholavira,SEAL:S,Tigr,R/L,+740-416-002-861+,1,740,740,002,false,false,false,false
416,310.1,H-911,Harappa,TAB:I,None,R/L,+416-590-033+,0,<START>,<START>,590,false,false,false,false
416,311.1,H-1192,Harappa,TAB:I,None,R/L,+400-740-767-220-416+,4,220,767 220,<END>,true,false,false,false
416,476.2,H-2094,Harappa,TAB:I,None,R/L,+002-861-416+,2,861,002 861,<END>,true,true,true,false
416,488.2,H-2097,Harappa,TAB:I,None,R/L,+002-861-416+,2,861,002 861,<END>,true,true,true,false
416,518.2,H-2095,Harappa,TAB:I,None,R/L,+002-861-416+,2,861,002 861,<END>,true,true,true,false
416,621.1,-,Harappa,TAB:I,None,R/L,+002-861-416+,2,861,002 861,<END>,true,true,true,false
416,665.2,H-2096,Harappa,TAB:I,None,R/L,+002-861-416+,2,861,002 861,<END>,true,true,true,false
416,786.2,H-2099,Harappa,TAB:I,None,R/L,+416-590-033+,0,<START>,<START>,590,false,false,false,false
416,892.2,H-2119,Harappa,TAB:I,None,R/L,+740-416+,1,740,740,<END>,true,false,false,false
416,952.1,H-1753,Harappa,POT:T:s,None,NR,+416+,0,<START>,<START>,<END>,true,false,false,false
416,1001.1,-,Harappa,POT:T:s,None,NR,+416+,0,<START>,<START>,<END>,true,false,false,false
416,1026.1,H-1751,Harappa,POT:T:s,None,NR,+416+,0,<START>,<START>,<END>,true,false,false,false
416,1042.1,H-1752,Harappa,POT:T:s,None,NR,+416+,0,<START>,<START>,<END>,true,false,false,false
416,1148.1,H-92,Harappa,SEAL:S,Elep,R/L,+156-176-518-220-416-002-615+,4,220,518 220,002,false,false,false,false
416,1324.2,H-302,Harappa,TAB:I,None,R/L,+400-760-740-220-416+,4,220,740 220,<END>,true,false,false,false
