"scope","target_cisi","triad_rank","independence_rank","grade","copy_pressure","packet_lane","packet_priority","long_tokens_034","long_tokens_033","long_tokens_032","long_family_034","long_family_033","long_family_032"
"all_triads","H-823","84","31","F_partial_or_weak","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","060;240;636;692;740","204;240;621;642;705;740","400;617;829","060;240;636;692;740","204;240;621;642;705;740","400;617;829"
"all_triads","H-2206","85","5","D_object_plus_some_context","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","025;032;740","176;400;740","176;240;400;740","025;032;740","176;400;740","176;240;400;740"
"all_triads","H-1120","86","69","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-819","87","80","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-1354","88","10","F_partial_or_weak","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","032;415;578;714;740;799;824;840","176;365;400;690;740;817","740;760;797","032;415;578;714;740;799;824;840","176;365;400;690;740;817","740;760;797"
"all_triads","H-215","89","82","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-297","90","92","F_partial_or_weak","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","151;336;400;630;706","337;484;740","158;400;592","151;336;400;630;706","337;484;740","158;400;592"
"all_triads","H-2143","91","44","F_partial_or_weak","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","090;740;792","032;740;840","032;700;741;840","090;740;792","032;740;840","032;700;741;840"
"all_triads","H-2246","92","9","F_partial_or_weak","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","032;415;578;740;760;799;824;840","032;415;578;740;760;799;840;876","176;240;400;740","032;415;578;740;760;799;824;840","032;415;578;740;760;799;840;876","176;240;400;740"
"all_triads","H-363","93","11","F_partial_or_weak","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","263;565;741","176;400;740","740;760;797","263;565;741","176;400;740","740;760;797"
"strong_local_contrasts","H-910","1","50","A_strict_local_minimal_contrast","high_repetition_pressure","repeated_branch_check","optional","002;416;861","032;059;400;740","233;527;550","002;416;861","032;059;400;740","233;527;550"
"strong_local_contrasts","H-2097","3","64","C_visual_object_matched","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","002;416;861","013;740;840","004;740;900","002;416;861","013;740;840","004;740;900"
"strong_local_contrasts","H-938","19","66","C_visual_object_matched","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","220;415;520","013;740;840","004;740;900","220;415;520","013;740;840","004;740;900"
"strong_local_contrasts","H-308","31","61","A_strict_local_minimal_contrast","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;400;740","176;400;740","220;415;520","176;400;740","176;400;740","220;415;520"
"strong_local_contrasts","H-1860","39","47","B_visual_object_order_matched","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"strong_local_contrasts","H-893","40","17","A_strict_local_minimal_contrast","moderate_repetition_pressure","local_contrast_stress","core","337;400;740","013;740;840","004;740;900","337;400;740","013;740;840","004;740;900"
"strong_local_contrasts","H-2130","43","52","B_visual_object_order_matched","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","004;740;900","NO_LONGER_TEXT","NO_LONGER_TEXT","004;740;900"
"strong_local_contrasts","H-983","49","21","B_visual_object_order_matched","moderate_repetition_pressure","local_contrast_stress","core","240;400;637;740","176;400;740","032;700;741;840","240;400;637;740","176;400;740","032;700;741;840"
"strong_local_contrasts","H-1824","50","16","C_visual_object_matched","moderate_repetition_pressure","local_contrast_stress","core","031;060;176;201;740","032;740;790","118;156;400","031;060;176;201;740","032;740;790","118;156;400"
"strong_local_contrasts","H-2102","52","48","B_visual_object_order_matched","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","004;740;900","NO_LONGER_TEXT","NO_LONGER_TEXT","004;740;900"
"strong_local_contrasts","H-2137","61","18","B_visual_object_order_matched","moderate_repetition_pressure","local_contrast_stress","core","100;176;740","013;740;840","004;740;900","100;176;740","013;740;840","004;740;900"
"strong_local_contrasts","H-2140","62","38","B_visual_object_order_matched","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;231;565;740","013;740;840","004;740;900","176;231;565;740","013;740;840","004;740;900"
"strong_local_contrasts","H-2141","63","39","B_visual_object_order_matched","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;231;565;740","013;740;840","004;740;900","176;231;565;740","013;740;840","004;740;900"
"independent_low_copy","H-771","47","2","D_object_plus_some_context","low_repetition_pressure","independent_low_copy","core","032;257;840","016;220;400;520","220;525;550","032;257;840","016;220;400;520","220;525;550"
