"tokenization","scope","model","masked_tokens","top1","top1_accuracy","top5","top5_accuracy","mrr"
"sign_tokens","real_series_d_513_all_lengths","frequency","4094","406","0.09917","1240","0.302882","0.210004"
"sign_tokens","real_series_d_513_all_lengths","position","4094","522","0.127504","1595","0.389595","0.261853"
"sign_tokens","real_series_d_513_all_lengths","length_position","4094","699","0.170738","1621","0.395945","0.288271"
"sign_tokens","real_series_d_513_all_lengths","bidirectional_bigram","4094","1925","0.4702","3056","0.746458","0.592749"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","frequency","1755","211","0.120228","550","0.31339","0.228736"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","position","1755","254","0.144729","682","0.388604","0.271078"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","1755","274","0.156125","628","0.357835","0.270671"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","bidirectional_bigram","1755","765","0.435897","1225","0.698006","0.552373"
"word_tokens","real_series_d_513_all_lengths","frequency","1872","406","0.21688","708","0.378205","0.31335"
"word_tokens","real_series_d_513_all_lengths","position","1872","450","0.240385","899","0.480235","0.356832"
"word_tokens","real_series_d_513_all_lengths","length_position","1872","516","0.275641","905","0.48344","0.377354"
"word_tokens","real_series_d_513_all_lengths","bidirectional_bigram","1872","702","0.375","1016","0.542735","0.451576"
"word_tokens","real_series_d_513_ivc_p95_length_cap","frequency","847","211","0.249115","329","0.38843","0.334505"
"word_tokens","real_series_d_513_ivc_p95_length_cap","position","847","277","0.327037","393","0.463991","0.391474"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","847","271","0.319953","393","0.463991","0.388537"
"word_tokens","real_series_d_513_ivc_p95_length_cap","bidirectional_bigram","847","287","0.338843","411","0.485242","0.411098"
