checked_date,row_id,object,site,region,type,shape,material,symbol,cult,prev3,prev2,prev,pair,next_after_032,next2_after_032,terminal_after_032,is_390_590_032,is_002_390_590_032,is_390_590_032_002,is_032_002_390_590_032,pivot_side,source_hint,exact_sequence,text
2026-05-31,632.1,H-2193,Harappa,Inter-Riverine,TAB:I,triangular,Steatite,NA,NA,<START>,<START>,<START>,590-032,220,<END>,false,false,false,false,false,none,metadata_or_unchecked_for_this_gate,590 032 220,+590-032-220+
2026-05-31,770.1,H-2150,Harappa,Inter-Riverine,TAB:I,rectangular,Steatite,NA,NA,<START>,<START>,<START>,590-032,000,<END>,false,false,false,false,false,none,metadata_or_unchecked_for_this_gate,590 032 000,+590-032-000[
2026-05-31,1821.1,H-941,Harappa,Inter-Riverine,TAB:I,rectangular,Steatite,NA,NA,<START>,<START>,<START>,590-032,645,003,false,false,false,false,false,none,metadata_or_unchecked_for_this_gate,590 032 645 003,+590-032-645-003+
2026-05-31,904.2,H-2019,Harappa,Inter-Riverine,TAB:B,prism,Clay,Gavi,NA,<START>,<START>,690,590-032,220,<END>,false,false,false,false,false,none,metadata_or_unchecked_for_this_gate,690 590 032 220,+690-590-032-220+
2026-05-31,1020.1,H-1657,Harappa,Inter-Riverine,SEAL:S,square,Steatite,Bull1:W,SAN,<START>,740,405,590-032,900,003,false,false,false,false,false,none,metadata_or_unchecked_for_this_gate,740 405 590 032 900 003 806 235 220 032 002 690 921,+740-405-590-032-900-003-806-235-220-032-002-690-921+
2026-05-31,1452.1,H-464,Harappa,Inter-Riverine,SEAL:S,square,Steatite,Bull1:U,SAF,176,002,798,590-032,<END>,<END>,true,false,false,false,false,none,metadata_or_unchecked_for_this_gate,000 176 002 798 590 032,+000-176-002-798-590-032+
2026-05-31,1492.1,H-515,Harappa,Inter-Riverine,SEAL:S,square,Steatite,Bull1:S,RAN,463,350,741,590-032,<END>,<END>,true,false,false,false,false,none,metadata_or_unchecked_for_this_gate,740 798 463 350 741 590 032,+740-798-463-350-741-590-032+
2026-05-31,1885.1,K-10,Kalibangan,Inter-Riverine,SEAL:S,square,Steatite,Bull1:I,RAN,002,368,861,590-032,368,<END>,false,false,false,false,false,none,metadata_or_unchecked_for_this_gate,740 690 435 255 002 368 861 590 032 368,+740-690-435-255-002-368-861-590-032-368+
2026-05-31,2081.1,L-139,Lothal,Gujarat/Kutch,TAG,NA,Clay,NA,NA,<START>,<START>,390,590-032,002,880,false,true,false,true,false,002_after_chunk,metadata_or_unchecked_for_this_gate,390 590 032 002 880,]390-590-032-002-880[
2026-05-31,2116.1,L-196,Lothal,Gujarat/Kutch,TAG,NA,Clay,NA,NA,<START>,<START>,390,590-032,002,000,false,true,false,true,false,002_after_chunk,metadata_or_unchecked_for_this_gate,390 590 032 002 000,]390-590-032-002-000[
2026-05-31,2118.2,L-198,Lothal,Gujarat/Kutch,TAG,NA,Clay,NA,NA,<START>,740,390,590-032,002,000,false,true,false,true,false,002_after_chunk,metadata_or_unchecked_for_this_gate,740 390 590 032 002 000,+740-390-590-032-002-000[
2026-05-31,2448.1,M-1739,Mohenjo-daro,Lower Indus,SEAL:S,square,Steatite,Bull1:S,SAN,<START>,740,390,590-032,060,201,false,true,false,false,false,none,metadata_or_unchecked_for_this_gate,740 390 590 032 060 201,+740-390-590-032-060-201+
2026-05-31,2720.1,M-195,Mohenjo-daro,Lower Indus,SEAL:S,square,Steatite,Bull1:W,SAN,<START>,298,350,590-032,900,853,false,false,false,false,false,none,metadata_or_unchecked_for_this_gate,298 350 590 032 900 853,+298-350-590-032-900-853+
2026-05-31,3169.1,M-746,Mohenjo-daro,Lower Indus,SEAL:S,square,Steatite,Bull1:I,NA,032,741,390,590-032,<END>,<END>,true,true,false,false,false,none,prior_source_visible_nonframe_formula_control,740 440 220 032 741 390 590 032,+740-440-220-032-741-390-590-032+
2026-05-31,3335.1,-:3335.1,Unknown,Other,SEAL:S,square,NA,Bull1:J,RAF,032,002,390,590-032,<END>,<END>,true,true,true,false,true,002_before_chunk,source_blocked_private_collection_contact_sent,740 205 032 002 390 590 032,+740-205-032-002-390-590-032+
2026-05-31,3359.1,M-965,Mohenjo-daro,Lower Indus,SEAL:S,square,Steatite,Bull1:I,SAN,<START>,740,390,590-032,741,527,false,true,false,false,false,none,prior_source_visible_nonframe_formula_control,740 390 590 032 741 527,+740-390-590-032-741-527+
2026-05-31,3621.1,M-1316,Mohenjo-daro,Lower Indus,SEAL:R,rectangular,Steatite,NA,NA,127,381,292,590-032,901,620,false,false,false,false,false,none,metadata_or_unchecked_for_this_gate,127 381 292 590 032 901 620,+127-381-292-590-032-901-620+
