checked_date,object,row_id,site,type,shape,symbol,cult,chunk_start_1based,prev_before_chunk,next_after_chunk,has_002_before_chunk,has_002_after_chunk,is_target_3335_mirror,text
2026-05-31,L-139,2081.1,Lothal,TAG,-,-,-,1,<START>,002,false,true,false,]390-590-032-002-880[
2026-05-31,L-196,2116.1,Lothal,TAG,-,-,-,1,<START>,002,false,true,false,]390-590-032-002-000[
2026-05-31,L-198,2118.2,Lothal,TAG,-,-,-,2,740,002,false,true,false,+740-390-590-032-002-000[
2026-05-31,M-1739,2448.1,Mohenjo-daro,SEAL:S,square,Bull1:S,SAN,2,740,060,false,false,false,+740-390-590-032-060-201+
2026-05-31,M-746,3169.1,Mohenjo-daro,SEAL:S,square,Bull1:I,-,6,741,<END>,false,false,false,+740-440-220-032-741-390-590-032+
2026-05-31,-:3335.1,3335.1,Unknown,SEAL:S,square,Bull1:J,RAF,5,002,<END>,true,false,true,+740-205-032-002-390-590-032+
2026-05-31,M-965,3359.1,Mohenjo-daro,SEAL:S,square,Bull1:I,SAN,2,740,741,false,false,false,+740-390-590-032-741-527+
