"policy","pattern_kind","pattern","count","coverage_share","lengths","examples","recurrent","review_status"
"mayig_observed_parpola","class_pattern","IMMMT","4","0.029412","5","M-42;M-47;M-69;M-80","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","IS","4","0.029412","2","M-96;M-150;M-180;M-182","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","IMMM","3","0.022059","4","M-63;M-124;M-183","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","DM","2","0.014706","2","M-178;M-179","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","DMMSS","2","0.014706","5","M-17;M-95","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","DMMT","2","0.014706","4","M-32;M-177","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","IMM","2","0.014706","3","M-37;M-122","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","IMMMMMMS","2","0.014706","8","M-44;M-46","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","IMMMMS","2","0.014706","6","M-64;M-129","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","IMS","2","0.014706","3","M-132;M-138","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","IMSMT","2","0.014706","5","M-75;M-146","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","IMWMMS","2","0.014706","6","M-65;M-113","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","ISM","2","0.014706","3","M-88;M-97","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","ISMMMT","2","0.014706","6","M-5;M-144","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","ISMMS","2","0.014706","5","M-99;M-181","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","ISMMT","2","0.014706","5","M-14;M-58","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","MMS","2","0.014706","3","M-13;M-151","True","formula_pattern_only_not_semantic"
"mayig_observed_parpola","class_pattern","SSS","2","0.014706","3","M-87;M-153","True","formula_pattern_only_not_semantic"
