id,cisi,site,region,type,material,shape,symbol,cult,condition,complete,dir,class,text,text_dedup_key,strict_complete_closed,idx_002,prev1_before_002,prev2_before_002,y_after_002,next1_after_y,next2_after_y,post_y_len,y_terminal,continuation_class,context_scope,frame_kind,prev1_before_032,prev2_before_032,prev3_before_032
62.1,C-65,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAF,Good,N,R/L,??,+000-100-240-220-032-002-861+,000 100 240 220 032 002 861,false,5,032,220,861,<END>,<END>,0,true,terminal,after_032,target_240_220_032,220,240,100
69.1,C-60,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,SP,+740-176-032-002-861+,740 176 032 002 861,true,3,032,176,861,<END>,<END>,0,true,terminal,after_032,outside_032,176,740,<START>
98.1,C-10,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,Y,R/L,SP,+740-231-220-032-002-817+,740 231 220 032 002 817,true,4,032,220,817,<END>,<END>,0,true,terminal,after_032,non240_a_220_032,220,231,740
125.1,Dlp-3,Desalpur,Gujarat/Kutch,TAG,-,rectangular,None,None,Fair,Y,-,SC,+394-032-002-892-740+,394 032 002 892 740,true,2,032,394,892,740,<END>,1,false,one_token_continuation,after_032,outside_032,394,<START>,<START>
507.1,H-1681,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,-,Poor,N,R/L,??,]000-032-002-820+,000 032 002 820,false,2,032,000,820,<END>,<END>,0,true,terminal,after_032,outside_032,000,<START>,<START>
1020.1,H-1657,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,LP,+740-405-590-032-900-003-806-235-220-032-002-690-921+,740 405 590 032 900 003 806 235 220 032 002 690 921,true,10,032,220,690,921,<END>,1,false,one_token_continuation,after_032,non240_a_220_032,220,235,806
1078.1,H-18,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,-,Poor,N,R/L,??,]000-220-032-002-820+,000 220 032 002 820,false,3,032,220,820,<END>,<END>,0,true,terminal,after_032,non240_a_220_032,220,000,<START>
1181.1,H-140,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,None,None,Fine,Y,R/L,IT,+740-384-032-002-817+,740 384 032 002 817,true,3,032,384,817,<END>,<END>,0,true,terminal,after_032,outside_032,384,740,<START>
1434.1,H-444,Harappa,Inter-Riverine,SEAL:S,-,square,Bull1:W,SAF,Good,Y,R/L,SP,+241-220-032-002-861+,241 220 032 002 861,true,3,032,220,861,<END>,<END>,0,true,terminal,after_032,non240_a_220_032,220,241,<START>
1485.1,H-507,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,SAN,Poor,N,R/L,??,]000-032-002-820+,000 032 002 820,false,2,032,000,820,<END>,<END>,0,true,terminal,after_032,outside_032,000,<START>,<START>
1540.1,H-597,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,SAN,Fair,Y,R/L,LP,+740-390-590-070-032-002-861+,740 390 590 070 032 002 861,true,5,032,070,861,<END>,<END>,0,true,terminal,after_032,outside_032,070,590,390
1540.2,H-597,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,SAN,Fair,Y,R/L,LP,+740-390-590-070-032-002-861+,740 390 590 070 032 002 861,true,5,032,070,861,<END>,<END>,0,true,terminal,after_032,outside_032,070,590,390
1555.1,H-640,Harappa,Inter-Riverine,SEAL:R,-,cuboid-convex,None,None,Poor,?,R/L,UC,]220-032-002-817+,220 032 002 817,false,2,032,220,817,<END>,<END>,0,true,terminal,after_032,non240_a_220_032,220,<START>,<START>
1993.1,L-15,Lothal,Gujarat/Kutch,SEAL:S,Clay,square,None,None,Poor,N,-,??,+000-000-000-000/032-832-032-002-415+,000 000 000 000 032 832 032 002 415,false,7,032,832,415,<END>,<END>,0,true,terminal,after_032,outside_032,832,032,000
2081.1,L-139,Lothal,Gujarat/Kutch,TAG,Clay,-,-,-,Poor,?,R/L,UC,]390-590-032-002-880[,390 590 032 002 880,false,3,032,590,880,<END>,<END>,0,true,terminal,after_032,outside_032,590,390,<START>
2116.1,L-196,Lothal,Gujarat/Kutch,TAG,Clay,-,-,-,Poor,N,R/L,??,]390-590-032-002-000[,390 590 032 002 000,false,3,032,590,000,<END>,<END>,0,true,terminal,after_032,outside_032,590,390,<START>
2118.2,L-198,Lothal,Gujarat/Kutch,TAG,Clay,-,-,-,Poor,N,R/L,??,+740-390-590-032-002-000[,740 390 590 032 002 000,false,4,032,590,000,<END>,<END>,0,true,terminal,after_032,outside_032,590,390,740
2229.1,M-1737,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,LP,+740-760-072-921-032-002-820+,740 760 072 921 032 002 820,true,5,032,921,820,<END>,<END>,0,true,terminal,after_032,outside_032,921,072,760
2236.1,M-1677,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,-,Fair,Y,R/L,LC,+520-382-032-002-820-001-440-012+,520 382 032 002 820 001 440 012,true,3,032,382,820,001,440,3,false,multi_token_continuation,after_032,outside_032,382,520,<START>
2313.1,M-1763,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:W,SAN,Fair,Y,R/L,LP,+416-001-565-740-220-032-002-861+,416 001 565 740 220 032 002 861,true,6,032,220,861,<END>,<END>,0,true,terminal,after_032,non240_a_220_032,220,740,565
2381.1,M-1686,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,SP,+740-904-220-032-002-142+,740 904 220 032 002 142,true,4,032,220,142,<END>,<END>,0,true,terminal,after_032,non240_a_220_032,220,904,740
2417.1,M-1728,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,LP,+161-055-240-220-032-002-820+,161 055 240 220 032 002 820,true,5,032,220,820,<END>,<END>,0,true,terminal,after_032,target_240_220_032,220,240,055
2490.1,M-1667,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,Y,R/L,LP,+740-690-435-255-220-032-002-717-820+,740 690 435 255 220 032 002 717 820,true,6,032,220,717,820,<END>,1,false,one_token_continuation,after_032,non240_a_220_032,220,255,435
2549.1,M-21,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,LP,+350-001-740-362-692-032-002-861+,350 001 740 362 692 032 002 861,true,6,032,692,861,<END>,<END>,0,true,terminal,after_032,outside_032,692,362,740
2564.1,M-36,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,SAN,Good,Y,R/L,LP,+740-794-630-220-032-002-368-906-329+,740 794 630 220 032 002 368 906 329,true,5,032,220,368,906,329,2,false,multi_token_continuation,after_032,non240_a_220_032,220,630,794
2577.1,M-49,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,Y,R/L,LP,+527-550-240-220-032-002-300-350-032-190+,527 550 240 220 032 002 300 350 032 190,true,5,032,220,300,350,032,3,false,continues_with_later_032,after_032,target_240_220_032,220,240,550
2598.1,M-70,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:T,SAF,Poor,Y,R/L,IM,+226-032-002-390-692+,226 032 002 390 692,true,2,032,226,390,692,<END>,1,false,one_token_continuation,after_032,outside_032,226,<START>,<START>
2618.1,M-91,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,SAN,Good,Y,R/L,LP,+740-100-798-220-032-002-861-255-416+,740 100 798 220 032 002 861 255 416,true,5,032,220,861,255,416,2,false,multi_token_continuation,after_032,non240_a_220_032,220,798,100
2657.1,M-130,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,SAN,Good,Y,R/L,SP,+740-094-220-032-002-144+,740 094 220 032 002 144,true,4,032,220,144,<END>,<END>,0,true,terminal,after_032,non240_a_220_032,220,094,740
2670.1,M-143,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,RAF,Good,Y,R/L,IT,+740-205-032-002-252-840+,740 205 032 002 252 840,true,3,032,205,252,840,<END>,1,false,one_token_continuation,after_032,outside_032,205,740,<START>
2699.1,M-174,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:T,SAN,Poor,Y,R/L,SP,+740-923-220-032-002-820+,740 923 220 032 002 820,true,4,032,220,820,<END>,<END>,0,true,terminal,after_032,non240_a_220_032,220,923,740
2745.1,M-221,Mohenjo-daro,Lower Indus,SEAL:S,-,square,Bull1:I,SAN,Poor,Y,R/L,LP,+740-760-335-220-032-002-820+,740 760 335 220 032 002 820,true,5,032,220,820,<END>,<END>,0,true,terminal,after_032,non240_a_220_032,220,335,760
2763.1,M-240,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Trough,Good,Y,R/L,LP,+520-240-220-032-002-861-603+,520 240 220 032 002 861 603,true,4,032,220,861,603,<END>,1,false,one_token_continuation,after_032,target_240_220_032,220,240,520
2863.1,M-367,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,None,None,Poor,N,R/L,??,+001-226-032-002-454+,001 226 032 002 454,false,3,032,226,454,<END>,<END>,0,true,terminal,after_032,outside_032,226,001,<START>
2871.1,M-375,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,None,None,Good,Y,R/L,LP,+740-100-233-220-032-002-820+,740 100 233 220 032 002 820,true,5,032,220,820,<END>,<END>,0,true,terminal,after_032,non240_a_220_032,220,233,100
3085.1,M-636,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,N,R/L,??,+527-555-235-220-032-002-000-216+,527 555 235 220 032 002 000 216,false,5,032,220,000,216,<END>,1,false,one_token_continuation,after_032,non240_a_220_032,220,235,555
3144.1,M-720,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,-,Poor,N,R/L,??,+000-740-923-220-032-002-817+,000 740 923 220 032 002 817,false,5,032,220,817,<END>,<END>,0,true,terminal,after_032,non240_a_220_032,220,923,740
3146.1,M-722,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,-,Poor,Y,R/L,LP,+740-585-240-220-032-002-817+,740 585 240 220 032 002 817,true,5,032,220,817,<END>,<END>,0,true,terminal,after_032,target_240_220_032,220,240,585
3147.1,M-723,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,-,Fair,Y,R/L,LP,+740-460-510-235-220-032-002-861+,740 460 510 235 220 032 002 861,true,6,032,220,861,<END>,<END>,0,true,terminal,after_032,non240_a_220_032,220,235,510
3335.1,-,Unknown,Other,SEAL:S,-,square,Bull1:J,RAF,Good,Y,R/L,MS,+740-205-032-002-390-590-032+,740 205 032 002 390 590 032,true,3,032,205,390,590,032,2,false,continues_with_later_032,after_032,outside_032,205,740,<START>
3421.1,M-1044,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull,-,Poor,Y,R/L,SP,+520-220-032-002-861+,520 220 032 002 861,true,3,032,220,861,<END>,<END>,0,true,terminal,after_032,non240_a_220_032,220,520,<START>
3422.1,M-1045,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,-,-,Poor,N,R/L,??,+740-100-415-070-032-002-820-000+,740 100 415 070 032 002 820 000,false,5,032,070,820,000,<END>,1,false,one_token_continuation,after_032,outside_032,070,415,100
3519.1,M-1159,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,None,Good,Y,R/L,SP,+232-220-032-002-168-032+,232 220 032 002 168 032,true,3,032,220,168,032,<END>,1,false,one_token_continuation,after_032,non240_a_220_032,220,232,<START>
3657.1,M-1358,Mohenjo-daro,Lower Indus,SEAL:R,-,cuboid,None,None,Poor,Y,R/L,SC,+032-002-900-285+,032 002 900 285,true,1,032,<START>,900,285,<END>,1,false,one_token_continuation,after_032,outside_032,<START>,<START>,<START>
