"next","known_next","site","type","count","prev520_count","next415_count","damaged_or_open_count","examples"
"032","true","Dholavira","TAB:I","2","1","0","1","4170.1;4286.1"
"032","true","Farmana","SEAL:S","1","0","0","0","151.1"
"032","true","Harappa","POT:T:g","2","0","0","2","175.1;538.1"
"032","true","Harappa","POT:T:s","1","0","0","0","3950.1"
"032","true","Harappa","SEAL:R","2","0","0","1","1555.1;1584.1"
"032","true","Harappa","SEAL:S","9","0","0","2","920.1;1020.1;1078.1;1080.1;1416.1;1434.1;1480.1;1522.1"
"032","true","Harappa","TAB:I","1","0","0","0","1830.1"
"032","true","Kalibangan","SEAL:S","1","0","0","0","5273.1"
"032","true","Lothal","SEAL:R","2","0","0","0","2041.1;2063.1"
"032","true","Lothal","SEAL:S","1","0","0","0","2032.5"
"032","true","Mohenjo-daro","SEAL","1","0","0","1","2430.1"
"032","true","Mohenjo-daro","SEAL:R","7","0","0","1","2871.1;2877.1;2888.1;3427.1;3572.1;3582.1;3661.1"
"032","true","Mohenjo-daro","SEAL:S","32","1","0","3","2292.1;2313.1;2381.1;2400.1;2403.1;2417.1;2490.1;2501.1"
"032","true","Mohenjo-daro","TAB:C","3","0","0","0","2987.2;2988.2;3041.1"
"032","true","Tarkhanewala-dera","TAG","1","0","0","0","5456.1"
"033","true","Harappa","POT:T:s","2","0","0","0","1017.1;1032.1"
"033","true","Rupar","POT:T:g","1","0","0","0","3871.1"
"033","true","Unknown","SEAL:C","1","0","0","0","5224.1"
"034","true","Mohenjo-daro","SEAL:S","1","1","0","0","3556.1"
"055","true","Lothal","TAG","5","0","0","0","2072.1;2112.1;2113.1;2115.1;2117.1"
"055","true","Lothal","TAG:L","5","0","0","0","2068.1;2069.1;2070.1;2071.1;5388.1"
"055","true","Lothal","TAG:W","1","0","0","0","2125.1"
"055","true","Saar","SEAL:C","1","0","0","0","5229.1"
"060","true","Mohenjo-daro","SEAL:S","4","1","0","0","2427.1;2779.1;2816.1;3318.1"
"063","true","Chanhu-daro","MISC","1","0","0","0","119.1"
"063","true","Harappa","SEAL:S","1","0","0","0","1065.1"
"063","true","Mohenjo-daro","SEAL:S","2","0","0","0","2475.1;3995.1"
"065","true","Kalibangan","SEAL:S","1","0","0","0","1899.1"
"065","true","Mohenjo-daro","SEAL:S","7","0","0","1","2507.1;2574.1;2635.1;2667.1;2678.1;3268.1;3289.1"
"098","true","Shikarpur","SEAL:S","1","0","0","0","5451.1"
"150","true","Kalibangan","POT:T:g","1","0","0","1","5313.1"
"233","true","Harappa","TAB:I","1","0","0","0","416.1"
"233","true","Mohenjo-daro","TAB:C","1","0","0","0","3729.1"
"235","true","Gonur Depe","SEAL:S","1","0","0","0","4155.1"
"235","true","Harappa","TAB:B","7","0","0","0","729.1;937.1;1695.2;1696.2;1697.2;3970.2;3971.2"
"235","true","Mohenjo-daro","POT:T:g","1","0","0","0","3800.1"
"235","true","Mohenjo-daro","SEAL:R","1","0","0","0","2855.1"
"235","true","Mohenjo-daro","SEAL:S","6","3","0","2","2279.1;2459.1;2551.1;2631.1;2757.1;3464.1"
"235","true","Mohenjo-daro","TAB:C","1","0","0","0","3773.1"
"240","true","Dholavira","TAG","1","0","0","1","4289.1"
"240","true","Harappa","SEAL:S","3","1","0","1","199.1;1073.1;1094.1"
"240","true","Harappa","TAB:B","1","1","0","0","1258.1"
"240","true","Lothal","TAG","2","0","0","1","2077.1;2119.1"
"240","true","Mohenjo-daro","SEAL:S","4","3","0","0","2265.1;2506.1;3095.1;3357.1"
"241","true","Mohenjo-daro","SEAL:S","1","0","0","1","2824.1"
"255","true","Dholavira","SEAL:S","1","0","0","0","4236.1"
"255","true","Mohenjo-daro","SEAL:S","2","0","0","0","2475.1;2660.1"
"278","true","Mohenjo-daro","SEAL:S","1","0","0","0","2403.1"
"335","true","Kalibangan","SEAL:S","1","0","0","0","1890.1"
"368","true","Mohenjo-daro","SEAL:S","2","1","0","0","2485.1;2798.1"
"382","true","Harappa","POT:T:s","1","0","0","0","715.1"
"390","true","Tello","SEAL:S","1","0","0","0","3885.1"
"413","true","Mohenjo-daro","BNGL","1","0","0","0","3826.1"
"415","true","Chanhu-daro","SEAL:S","1","0","1","1","83.1"
"415","true","Harappa","SEAL:R","1","0","1","0","1174.1"
