"prev","next","formula","count","damaged_or_open_count","source_hint_occurrence_count","sites","types","examples"
"<START>","000","220-000-700","1","0","0","Harappa","TAB:B","595.1"
"<START>","063","220-063-051","1","0","0","Harappa","SEAL:S","1065.1"
"<START>","065","220-065-864","1","0","0","Mohenjo-daro","SEAL:S","2678.1"
"<START>","700","220-700-004","3","0","0","Harappa","TAB:I","1324.1;1793.2;4056.2"
"<START>","786","220-786-255","1","0","0","Mohenjo-daro","SEAL:R","2910.1"
"000","<END>","000-000-220","1","0","0","Mohenjo-daro","TAB:B","2518.1"
"000","000","000-220-000","1","0","0","Harappa","POT:T:g","166.1"
"000","415","000-220-415","1","0","0","Harappa","TAB:I","1849.1"
"016","382","016-220-382","1","0","0","Harappa","POT:T:s","715.1"
"032","<END>","590-032-220","1","0","0","Harappa","TAB:I","632.1"
"032","<END>","700-032-220","1","0","0","Harappa","TAB:B","485.1"
"074","415","074-220-415","1","0","0","Harappa","TAB:I","827.2"
"100","<END>","151-100-220","1","0","0","Lothal","SEAL:S","2011.1"
"100","<END>","740-100-220","1","0","0","Mohenjo-daro","TAB:B","2958.1"
"153","032","153-220-032","1","0","0","Dholavira","TAB:I","4286.1"
"176","<END>","740-176-220","1","0","0","Harappa","TAB:B","467.2"
"235","<END>","740-235-220","1","0","0","Dholavira","SEAL:S","4224.1"
"236","<END>","400-236-220","3","0","0","Harappa","TAB:B","751.2;927.2;3969.1"
"400","428","400-220-428","1","0","0","Mohenjo-daro","SEAL:S","2742.1"
"440","413","440-220-413","1","0","0","Mohenjo-daro","BNGL","3826.1"
"520","003","520-220-003","1","0","1","Mohenjo-daro","SEAL:S","2441.1"
"520","006","520-220-006","1","0","1","Kalibangan","SEAL:S","5277.1"
"520","016","520-220-016","1","0","1","Harappa","TAB:I","1822.1"
"520","034","520-220-034","1","0","1","Mohenjo-daro","SEAL:S","3556.1"
"520","415","520-220-415","17","0","6","Harappa;Mohenjo-daro","TAB:I;TAB:B;SEAL:S","221.1;481.1;816.1;841.1;848.1;913.1;913.2;1341.1;1366.1;1383.1;1677.2;1818.1;1819.2;1820.1;1821.2;2565.1;4069.1"
"550","<END>","525-550-220","1","0","0","Harappa","TAB:B","313.1"
"550","<END>","526-550-220","2","0","0","Harappa","TAB:I","1364.1;1378.1"
"585","<END>","000-585-220","1","0","0","Mohenjo-daro","SEAL:S","3492.1"
"700","004","700-220-004","1","0","0","Harappa","TAB:I","311.2"
"740","<END>","090-740-220","1","0","0","Harappa","TAB:I","4084.1"
"740","<END>","400-740-220","1","0","0","Mohenjo-daro","SEAL:R","3617.1"
"740","000","740-220-000","1","0","0","Mohenjo-daro","TAB:C","3069.1"
"740","003","740-220-003","5","0","0","Mohenjo-daro","SEAL:S;TAB:B;SEAL:R","2814.1;3720.1;3722.1;3723.1;3724.1"
"740","032","740-220-032","1","0","0","Harappa","SEAL:R","1584.1"
