sign,occurrences,boundary_next,boundary_share,background_boundary_next,background_occurrences,fisher_p,bonferroni_p
817,173,143,0.8265895953757225,4055,14353,2.6600820972315457e-49,1.8992986174233237e-46
820,215,157,0.7302325581395349,4041,14311,2.519305353821286e-41,1.7987840226283982e-38
861,209,146,0.6985645933014354,4052,14317,6.864949189188453e-35,4.901573721080555e-32
000,1324,540,0.4078549848942598,3658,13202,1.6559815970992266e-22,1.1823708603288477e-19
920,134,83,0.6194029850746269,4115,14392,1.5533613361005915e-15,1.1090999939758223e-12
692,68,50,0.7352941176470589,4148,14458,3.0459567393109703e-14,2.174813111868033e-11
235,195,102,0.5230769230769231,4096,14331,4.417496109667732e-12,3.154092222302761e-9
803,118,68,0.576271186440678,4130,14408,6.209596116550526e-11,4.433651627217075e-8
003,159,80,0.5031446540880503,4118,14367,9.167000173726959e-9,0.000006545238124041049
503,45,29,0.6444444444444445,4169,14481,7.792730178081507e-7,0.0005564009347150195
004,79,42,0.5316455696202531,4156,14447,0.000004975243815809614,0.0035523240844880645
005,39,25,0.6410256410256411,4173,14487,0.000005221572541958669,0.0037282027949584896
140,102,51,0.5,4147,14424,0.000005410704999221109,0.003863243369443872
240,258,107,0.41472868217054265,4091,14268,0.000008991094328955665,0.006419641350874345
806,99,49,0.494949494949495,4149,14427,0.000011730703245541942,0.008375722117316946
016,38,24,0.631578947368421,4174,14488,0.000011739700155592653,0.008382145911093155
416,38,23,0.6052631578947368,4175,14488,0.00004793021814000587,0.03422217575196419
104,20,14,0.7,4184,14506,0.0001664973194120881,0.11887908606023091
031,222,89,0.4009009009009009,4109,14304,0.00020621500938089435,0.14723751669795856
032,360,135,0.375,4063,14166,0.0002262287191452846,0.1615273054697332
