checked_date,row_id,object,site,region,type,shape,material,symbol,cult,prev2,prev,sign,next,next2,terminal,in_002_390_frame,in_033_705_formula,source_status,source_bucket,exact_sequence,text
2026-05-31,8.1,Ad-3,Allahdino,Lower Indus,SEAL:S,square,Steatite,Bull1:II,SAN,904,033,705,235,<END>,false,false,true,metadata_or_nonframe,metadata_or_nonframe,740 904 033 705 235,+740-904-033-705-235+
2026-05-31,53.1,Ch-1,Chandigarh,Eastern Headwaters,POT:T:g,NA,Clay,NA,NA,740,550,705,<END>,<END>,true,false,false,metadata_or_nonframe,metadata_or_nonframe,220 000 740 550 705,+220-000-740-550-705+
2026-05-31,54.1,Ch-2,Chandigarh,Eastern Headwaters,POT:T:g,NA,Clay,NA,NA,740,050,705,<END>,<END>,true,false,false,metadata_or_nonframe,metadata_or_nonframe,740 050 705,+740-050-705+
2026-05-31,117.1,C-35,Chanhu-daro,Lower Indus,TAB:B,rectangular,Faience,NA,NA,<START>,031,705,167,<END>,false,false,false,metadata_or_nonframe,metadata_or_nonframe,031 705 167,+031-705-167[
2026-05-31,63.1,C-64,Chanhu-daro,Lower Indus,SEAL:S,square,Steatite,Bull1:J,SAN,838,033,705,240,<END>,false,false,true,metadata_or_nonframe,metadata_or_nonframe,000 220 838 033 705 240,]000-220-838-033-705-240+
2026-05-31,95.1,C-7,Chanhu-daro,Lower Indus,SEAL:S,square,Steatite,Bull,NA,520,033,705,240,798,false,false,true,metadata_or_nonframe,metadata_or_nonframe,520 033 705 240 798 002 000,+520-033-705-240-798-002-000[
2026-05-31,97.1,C-9,Chanhu-daro,Lower Indus,SEAL:S,square,Steatite,Bull1:J,SAN,803,033,705,240,<END>,false,false,true,metadata_or_nonframe,metadata_or_nonframe,151 233 803 033 705 240,+151-233-803-033-705-240+
2026-05-31,134.1,-:134.1,Dholavira,Gujarat/Kutch,SEAL:R,rectangular,Steatite,NA,NA,388,717,705,<END>,<END>,true,false,false,metadata_or_nonframe,metadata_or_nonframe,154 388 717 705,+154-388-717-705+
2026-05-31,171.1,H-1502,Harappa,Inter-Riverine,MISC,NA,Stone,NA,NA,<START>,035,705,<END>,<END>,true,false,false,metadata_or_nonframe,metadata_or_nonframe,035 705,]035-705+
2026-05-31,1781.1,H-899,Harappa,Inter-Riverine,TAB:I,rectangular,Steatite,NA,NA,<START>,868,705,590,<END>,false,false,false,metadata_or_nonframe,metadata_or_nonframe,868 705 590,+868-705-590+
