"checked_date","cisi","role","query","query_kind","ia_volume","ia_leaf","ia_reader_page_url","ia_page_image_url","hit_count_on_page","page_context_class","route_question","ocr_context","source_use","accepted_source_mapping","accepted_decipherment_claim"
"2026-05-25","H-543","sign_15_1_control","543","bare_number_variant","CISI Collections in India","34","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n34/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n34_w2000.jpg","1","source_discussion","Can IA CISI supply a source image for the signs 15/1 control?","buffalo + man + deer (?) + snake (M-504 to 506) / markhor + unicorn (M- [[543]] to 549) / two-headed zebu + tiger (?) + unicorn (M-550) / markhor + camel 4- buffalo (M-551","route_discovery_only_manual_visual_notes_decide_whether_this_is_a_plate_data_register_discussion_or_noise","0","0"
"2026-05-25","H-543","sign_15_1_control","543","bare_number_variant","CISI Collections in India","404","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n404/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n404_w2000.jpg","1","data_register","Can IA CISI supply a source image for the signs 15/1 control?","0146 DK 12223 M-540 0765 DK 11109 M-S4I 0352 DK 7871 M-S42 0150 DK 5440 M- [[543]] 0381 OKi 838 M-544 01*2 DKC151 M-34S 0379 8 103 M-546 0378 SD 1200 M 547 0187 DK","route_discovery_only_manual_visual_notes_decide_whether_this_is_a_plate_data_register_discussion_or_noise","0","0"
"2026-05-25","H-543","sign_15_1_control","543","bare_number_variant","CISI Collections in India","465","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n465/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n465_w2000.jpg","1","source_discussion","Can IA CISI supply a source image for the signs 15/1 control?","buffalo + man + deer (?) + snake (M-504 to 506) / markhor + unicorn (M- [[543]] to 549) / two-headed zebu + tiger (?) + unicorn (M-550) / markhor + camel 4- buffalo (M-551","route_discovery_only_manual_visual_notes_decide_whether_this_is_a_plate_data_register_discussion_or_noise","0","0"
"2026-05-25","H-543","sign_15_1_control","543","bare_number_variant","CISI Collections in India","835","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n835/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n835_w2000.jpg","1","data_register","Can IA CISI supply a source image for the signs 15/1 control?","0146 DK 12223 M-540 0765 DK 11109 M-S4I 0352 DK 7871 M-S42 0150 DK 5440 M- [[543]] 0381 OKi 838 M-544 01*2 DKC151 M-34S 0379 8 103 M-546 0378 SD 1200 M 547 0187 DK","route_discovery_only_manual_visual_notes_decide_whether_this_is_a_plate_data_register_discussion_or_noise","0","0"
"2026-05-25","H-543","sign_15_1_control","543","bare_number_variant","CISI Collections in Pakistan","324","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n324/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n324_w2000.jpg","3","plate_candidate","Can IA CISI supply a source image for the signs 15/1 control?","290 HARAPPA 537- [[543]] SEALS |5j] broken, hovid II, lit, IV H-5M A K-539 A H-539 a H-S40 A H-54G ■ H*54! || K-539 A H-539 a H-S40 A H-54G ■ H*54! A H-S.4I a If H542 A H- [[543]] A H-543 . || H-539 a H-S40 A H-54G ■ H*54! A H-S.4I a If H542 A H-543 A H- [[543]] .","route_discovery_only_manual_visual_notes_decide_whether_this_is_a_plate_data_register_discussion_or_noise","0","0"
"2026-05-25","H-543","sign_15_1_control","543","bare_number_variant","CISI Collections in Pakistan","472","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n472/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n472_w2000.jpg","1","data_register","Can IA CISI supply a source image for the signs 15/1 control?","St ItlW OK 5567 NMP 50.315 a a. a p 44 VS 3551 M0 35KJ6J5* a [[543]] . aft 122113 OK 7W| N MP 50324 a 43; a P 46 DK 11177 NMP 30 336","route_discovery_only_manual_visual_notes_decide_whether_this_is_a_plate_data_register_discussion_or_noise","0","0"
"2026-05-25","H-543","sign_15_1_control","543","bare_number_variant","CISI Collections in Pakistan","475","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n475/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n475_w2000.jpg","1","data_register","Can IA CISI supply a source image for the signs 15/1 control?","P 1233 AV 555; A. e p#U I* 90* P OTI: A hi AV yi) AV [[543]] ; h: PS24 P SSL A Fu JAJCMv 11*4* 3054 1114 II449 Httu 1055 H*S0 3094 111 11451","route_discovery_only_manual_visual_notes_decide_whether_this_is_a_plate_data_register_discussion_or_noise","0","0"
"2026-05-25","H-543","sign_15_1_control","H-543","exact_object_id","CISI Collections in Pakistan","324","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n324/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n324_w2000.jpg","2","plate_candidate","Can IA CISI supply a source image for the signs 15/1 control?","A K-539 A H-539 a H-S40 A H-54G ■ H*54! A H-S.4I a If H542 A [[H-543]] A H-543 . || A H-539 a H-S40 A H-54G ■ H*54! A H-S.4I a If H542 A H-543 A [[H-543]] .","route_discovery_only_manual_visual_notes_decide_whether_this_is_a_plate_data_register_discussion_or_noise","0","0"
"2026-05-25","H-543","sign_15_1_control","HARAPPA 537-543","plate_header_or_range","CISI Collections in Pakistan","324","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n324/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n324_w2000.jpg","1","plate_candidate","Can IA CISI supply a source image for the signs 15/1 control?","290 [[HARAPPA 537-543]] SEALS |5j] broken, hovid II, lit, IV H-5M A K-539 A H-539 a H-S40 A H-54G ■ H*54!","route_discovery_only_manual_visual_notes_decide_whether_this_is_a_plate_data_register_discussion_or_noise","0","0"
"2026-05-25","H-544","sign_15_1_control","544","bare_number_variant","CISI Collections in India","171","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n171/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n171_w2000.jpg","3","plate_candidate","Can IA CISI supply a source image for the signs 15/1 control?","136 MOHENJO-DARO 541- [[544]] TABLETS incised, copper I- 1 hare, comp, animal / M-S42 A M-541 B M-542 B M-544 A M-544 || TABLETS incised, copper I- 1 hare, comp, animal / M-S42 A M-541 B M-542 B M- [[544]] A M-544 B || copper I- 1 hare, comp, animal / M-S42 A M-541 B M-542 B M-544 A M- [[544]] B","route_discovery_only_manual_visual_notes_decide_whether_this_is_a_plate_data_register_discussion_or_noise","0","0"
