checked_date,head,rows,tail_family_count,tails,tail_families,scopes,objects,decision
2026-05-31,390,4,3,195:1;632 032:1;632 032 900 563:1;820:1,632032_family:2;820_cap:1;singleton_tail:1,Mohenjo-daro|SEAL:S|square|Steatite:3;Surkotada|SEAL:S|square|-:1,M-38;M-119;M-735;Sktd-1,head_allows_multiple_tails
2026-05-31,610,2,1,032:2,single_032:2,Harappa|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1,H-74;M-1665,clean_head_tail_subrule
2026-05-31,190,1,1,632 032:1,632032_family:1,Mohenjo-daro|SEAL:S|square|Steatite:1,M-1692,singleton_head_tail
2026-05-31,405,1,1,820:1,820_cap:1,Mohenjo-daro|SEAL:S|square|Steatite:1,M-41,singleton_head_tail
2026-05-31,407,1,1,590 831:1,singleton_tail:1,Mohenjo-daro|TAB:C|rectangular|Copper:1,M-2055,singleton_head_tail
2026-05-31,861,1,1,<END>:1,terminal:1,Harappa|SEAL:S|square|Steatite:1,H-55,singleton_head_tail
2026-05-31,906,1,1,<END>:1,terminal:1,Mohenjo-daro|SEAL:R|cuboid-convex|Steatite:1,M-354,singleton_head_tail
