iteration,sign603_has_one_family_cell,sign603_family_cell_in_060_692,any_nonbackground_bridge_single_family_cell,any_nonbackground_bridge_multi_cell_locked,bridge_single_cell_signs,bridge_multi_cell_locked_signs
238,True,False,True,False,603,
239,True,False,True,False,603,
240,True,True,True,False,603,
241,True,False,True,False,603,
242,True,False,True,False,603,
243,True,False,True,False,603,
244,True,False,True,False,603,
245,True,False,True,False,603,
246,True,False,True,False,603,
247,True,False,True,False,603,
248,True,False,True,False,603,
249,True,False,True,False,603,
