next_after_390,rows,exact_text_families,source_tiers,tail_after_next_distribution,sites,cisis,decision
125,4,4,mayig_overlap_only:1;negative_control_index_hint:1;public_cisi_plate_context_crop_not_token_boxed:1;public_plate_route_candidate_not_panel_bound:1,195:1;632 032:1;632 032 900 563:1;820:1,Mohenjo-daro:3;Surkotada:1,M-38;M-119;M-735;Sktd-1,plurality_branch_candidate_source_weak
095,2,2,negative_control_index_hint:1;unrouted:1,<END>:2,Harappa:1;Mohenjo-daro:1,H-1993;M-71,repeated_non125_comparator_needs_source_route
705,2,2,negative_control_index_hint:1;unresolved_non_cisi_object:1,<END>:2,Dholavira:1;Mohenjo-daro:1,M-1825;-,repeated_non125_comparator_needs_source_route
072,1,1,negative_control_index_hint:1,<END>:1,Harappa:1,H-68,singleton_comparator
140,1,1,negative_control_index_hint:1,<END>:1,Mohenjo-daro:1,M-708,singleton_comparator
346,1,1,negative_control_index_hint:1,<END>:1,Mohenjo-daro:1,M-213,singleton_comparator
530,1,1,negative_control_index_hint:1,741:1,Harappa:1,H-773,singleton_comparator
590,1,1,unresolved_non_cisi_object:1,032:1,Unknown:1,-,singleton_comparator
692,1,1,source_visible_order_window_candidate:1,<END>:1,Mohenjo-daro:1,M-70,source_visible_non125_control_for_002390
707,1,1,negative_control_index_hint:1,<END>:1,Mohenjo-daro:1,M-232,singleton_comparator
