checked_date,group_type,group_key,rows,nonterminal_rows,repeated_tail_first_share,dominant_tail_first,dominant_tail_first_rows,tail_first_inventory,heads,xs,contexts
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP,7,7,0.000,032,1,032:1;215:1;329:1;370:1;503:1;632:1;820:1,220:2;368:1;390:1;405:1;610:1;817:1,125:3;065:1;090:1;455:1;906:1,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP:7
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|Steatite|-|LP,2,1,0.000,<END>,1,<END>:1;032:1,267:1;298:1,455:1;460:1,Mohenjo-daro|SEAL:S|square|Steatite|-|LP:2
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LC,2,2,1.000,632,2,632:2,190:1;390:1,125:2,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LC:2
2026-05-31,context_cell,Chanhu-daro|SEAL:S|square|Steatite|-|??,1,0,0.000,<END>,1,<END>:1,906:1,003:1,Chanhu-daro|SEAL:S|square|Steatite|-|??:1
2026-05-31,context_cell,Chanhu-daro|SEAL:S|square|Steatite|SAF|??,1,1,0.000,000,1,000:1,296:1,530:1,Chanhu-daro|SEAL:S|square|Steatite|SAF|??:1
2026-05-31,context_cell,Dholavira|SEAL:S|-|-|-|LP,1,1,0.000,904,1,904:1,705:1,530:1,Dholavira|SEAL:S|-|-|-|LP:1
2026-05-31,context_cell,Harappa|POT:T:g|-|Clay|None|??,1,0,0.000,<END>,1,<END>:1,003:1,861:1,Harappa|POT:T:g|-|Clay|None|??:1
2026-05-31,context_cell,Harappa|SEAL:S|square|Steatite|-|??,1,1,0.000,031,1,031:1,000:1,861:1,Harappa|SEAL:S|square|Steatite|-|??:1
2026-05-31,context_cell,Harappa|SEAL:S|square|Steatite|RAN|SC,1,1,0.000,032,1,032:1,610:1,125:1,Harappa|SEAL:S|square|Steatite|RAN|SC:1
2026-05-31,context_cell,Harappa|SEAL:S|square|Steatite|SAF|IM,1,0,0.000,<END>,1,<END>:1,861:1,125:1,Harappa|SEAL:S|square|Steatite|SAF|IM:1
2026-05-31,context_cell,Harappa|SEAL:S|square|Steatite|SAN|LP,1,1,0.000,920,1,920:1,220:1,455:1,Harappa|SEAL:S|square|Steatite|SAN|LP:1
2026-05-31,context_cell,Harappa|SEAL:S|square|Steatite|Trough|IM,1,1,0.000,741,1,741:1,220:1,455:1,Harappa|SEAL:S|square|Steatite|Trough|IM:1
2026-05-31,context_cell,Harappa|TAB:B|plano-convex|Faience|None|IT,1,1,0.000,741,1,741:1,390:1,530:1,Harappa|TAB:B|plano-convex|Faience|None|IT:1
2026-05-31,context_cell,Harappa|TAB:B|rectangular|Faience|None|??,1,1,0.000,000,1,000:1,220:1,455:1,Harappa|TAB:B|rectangular|Faience|None|??:1
2026-05-31,context_cell,Kalibangan|SEAL:S|square|Steatite|-|LC,1,1,0.000,132,1,132:1,220:1,065:1,Kalibangan|SEAL:S|square|Steatite|-|LC:1
2026-05-31,context_cell,Kalibangan|SEAL:S|square|Steatite|RAN|LP,1,1,0.000,590,1,590:1,368:1,861:1,Kalibangan|SEAL:S|square|Steatite|RAN|LP:1
2026-05-31,context_cell,Lothal|SEAL:S|square|Steatite|SAN|??,1,0,0.000,<END>,1,<END>:1,130:1,035:1,Lothal|SEAL:S|square|Steatite|SAN|??:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:R|cuboid-convex|Steatite|None|LP,1,0,0.000,<END>,1,<END>:1,906:1,125:1,Mohenjo-daro|SEAL:R|cuboid-convex|Steatite|None|LP:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|-|-|??,1,0,0.000,<END>,1,<END>:1,000:1,090:1,Mohenjo-daro|SEAL:S|square|-|-|??:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|-|None|SC,1,0,0.000,<END>,1,<END>:1,590:1,455:1,Mohenjo-daro|SEAL:S|square|-|None|SC:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|-|S|LP,1,1,0.000,820,1,820:1,299:1,530:1,Mohenjo-daro|SEAL:S|square|-|S|LP:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|Faience|None|??,1,1,0.000,000,1,000:1,820:1,906:1,Mohenjo-daro|SEAL:S|square|Faience|None|??:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|Faience|RAF|IT,1,1,0.000,440,1,440:1,220:1,065:1,Mohenjo-daro|SEAL:S|square|Faience|RAF|IT:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|Faience|RAN|2L,1,1,0.000,590,1,590:1,900:1,003:1,Mohenjo-daro|SEAL:S|square|Faience|RAN|2L:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|Steatite|-|UC,1,1,0.000,125,1,125:1,741:1,455:1,Mohenjo-daro|SEAL:S|square|Steatite|-|UC:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|Steatite|HAF|LP,1,1,0.000,195,1,195:1,390:1,125:1,Mohenjo-daro|SEAL:S|square|Steatite|HAF|LP:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|Steatite|None|2L,1,1,0.000,171,1,171:1,130:1,035:1,Mohenjo-daro|SEAL:S|square|Steatite|None|2L:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|Steatite|RAF|IT,1,1,0.000,590,1,590:1,900:1,003:1,Mohenjo-daro|SEAL:S|square|Steatite|RAF|IT:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|Steatite|RAF|LC,1,1,0.000,520,1,520:1,220:1,455:1,Mohenjo-daro|SEAL:S|square|Steatite|RAF|LC:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|Steatite|SAN|IT,1,0,0.000,<END>,1,<END>:1,595:1,906:1,Mohenjo-daro|SEAL:S|square|Steatite|SAN|IT:1
2026-05-31,context_cell,Mohenjo-daro|SEAL:S|square|Steatite|SAN|MS,1,1,0.000,171,1,171:1,130:1,035:1,Mohenjo-daro|SEAL:S|square|Steatite|SAN|MS:1
2026-05-31,context_cell,Mohenjo-daro|TAB:C|rectangular|Copper|None|2L,1,1,0.000,495,1,495:1,365:1,460:1,Mohenjo-daro|TAB:C|rectangular|Copper|None|2L:1
2026-05-31,context_cell,Mohenjo-daro|TAB:C|rectangular|Copper|None|IM,1,1,0.000,495,1,495:1,365:1,460:1,Mohenjo-daro|TAB:C|rectangular|Copper|None|IM:1
2026-05-31,context_cell,Mohenjo-daro|TAB:C|rectangular|Copper|None|SC,1,1,0.000,590,1,590:1,407:1,125:1,Mohenjo-daro|TAB:C|rectangular|Copper|None|SC:1
2026-05-31,context_cell,Surkotada|SEAL:S|square|-|RAN|IM,1,1,0.000,820,1,820:1,390:1,125:1,Surkotada|SEAL:S|square|-|RAN|IM:1
2026-05-31,context_cell,Unknown|SEAL:C|circular|-|Othr|??,1,1,0.000,725,1,725:1,000:1,090:1,Unknown|SEAL:C|circular|-|Othr|??:1
