bigram,exact_cells,best_next,best_hit,best_share,sites,types
740-482,18,235,5,0.2777777777777778,4,5
585-017,23,<END>,5,0.21739130434782608,4,4
003-002,24,820,5,0.20833333333333334,6,3
033-706,30,<END>,5,0.16666666666666666,3,3
031-892,4,<END>,4,1,3,3
013-820,4,<END>,4,1,2,2
100-140,4,003,4,1,2,1
130-035,4,171,4,1,2,2
156-435,4,255,4,1,2,3
690-436,4,255,4,1,2,2
740-035,4,171,4,1,2,1
034-700,4,<END>,4,1,1,2
142-597,4,032,4,1,1,1
335-575,4,413,4,1,1,1
400-137,4,<END>,4,1,1,2
824-892,4,413,4,1,1,2
892-413,4,<END>,4,1,1,2
900-740,4,690,4,1,1,1
031-032,5,171,4,0.8,2,3
033-700,5,<END>,4,0.8,2,4
400-525,5,550,4,0.8,2,2
550-033,5,705,4,0.8,2,3
575-413,5,<END>,4,0.8,2,2
798-460,5,350,4,0.8,2,2
032-905,5,<END>,4,0.8,1,2
405-005,6,<END>,4,0.6666666666666666,4,4
550-233,6,<END>,4,0.6666666666666666,3,3
550-003,6,<END>,4,0.6666666666666666,2,3
617-550,6,003,4,0.6666666666666666,2,3
806-468,6,<END>,4,0.6666666666666666,2,2
061-845,6,240,4,0.6666666666666666,1,1
390-005,6,002,4,0.6666666666666666,1,2
590-220,7,003,4,0.5714285714285714,4,3
233-220,7,032,4,0.5714285714285714,3,4
422-003,7,<END>,4,0.5714285714285714,3,3
740-048,7,741,4,0.5714285714285714,3,4
740-416,7,<END>,4,0.5714285714285714,3,2
165-900,7,<END>,4,0.5714285714285714,2,5
440-220,7,<END>,4,0.5714285714285714,2,4
740-337,7,484,4,0.5714285714285714,2,3
806-467,7,<END>,4,0.5714285714285714,2,3
100-240,8,<END>,4,0.5,3,4
705-235,8,<END>,4,0.5,3,4
740-772,8,240,4,0.5,2,2
001-368,9,861,4,0.4444444444444444,3,2
002-220,9,455,4,0.4444444444444444,3,2
740-142,9,061,4,0.4444444444444444,3,3
740-460,9,503,4,0.4444444444444444,1,2
590-235,10,<END>,4,0.4,2,4
679-740,10,575,4,0.4,2,2
636-240,11,<END>,4,0.36363636363636365,3,3
740-615,11,495,4,0.36363636363636365,2,3
240-060,12,692,4,0.3333333333333333,6,3
061-002,12,817,4,0.3333333333333333,4,3
740-717,13,<END>,4,0.3076923076923077,3,4
002-390,14,125,4,0.2857142857142857,5,2
154-806,14,467,4,0.2857142857142857,3,3
740-803,16,<END>,4,0.25,5,3
740-388,16,<END>,4,0.25,3,5
740-904,17,240,4,0.23529411764705882,4,4
405-590,17,220,4,0.23529411764705882,3,4
740-923,25,033,4,0.16,3,4
740-798,34,235,4,0.11764705882352941,6,6
003-003,3,<END>,3,1,3,2
257-840,3,<END>,3,1,3,2
520-031,3,<END>,3,1,3,3
820-033,3,<END>,3,1,3,2
002-880,3,<END>,3,1,2,2
031-700,3,<END>,3,1,2,2
032-904,3,<END>,3,1,2,2
048-002,3,817,3,1,2,3
167-706,3,<END>,3,1,2,2
176-033,3,705,3,1,2,2
368-260,3,<END>,3,1,2,1
388-031,3,<END>,3,1,2,3
590-407,3,790,3,1,2,1
615-703,3,<END>,3,1,2,1
700-004,3,<END>,3,1,2,2
740-007,3,503,3,1,2,2
740-910,3,<END>,3,1,2,1
741-861,3,<END>,3,1,2,1
745-060,3,920,3,1,2,2
776-495,3,<END>,3,1,2,2
845-033,3,705,3,1,2,2
892-831,3,<END>,3,1,2,3
999-032,3,<END>,3,1,2,1
032-025,3,<END>,3,1,1,1
032-578,3,415,3,1,1,1
033-711,3,335,3,1,1,1
125-632,3,032,3,1,1,1
156-384,3,031,3,1,1,3
222-233,3,235,3,1,1,1
405-501,3,<END>,3,1,1,1
550-220,3,<END>,3,1,1,2
578-415,3,<END>,3,1,1,1
595-391,3,<END>,3,1,1,3
711-335,3,575,3,1,1,1
740-642,3,240,3,1,1,1
817-491,3,<END>,3,1,1,2
