"scope","key","value","count"
"role_by_side","side_1_role","role_700_03x","9"
"role_by_side","side_1_role","role_861_003","13"
"role_by_side","side_2_role","role_861_003","9"
"role_by_side","side_2_role","role_700_03x","13"
"role_by_side","side_3_role","role_15x_003","22"
"template_class","all_rows","template_700_861_15x","9"
"template_class","all_rows","template_861_700_15x","13"
"exact_text_by_role","role_861_003","+861-003+","22"
"exact_text_by_role","role_700_03x","+700-034+","21"
"exact_text_by_role","role_700_03x","+700-033+","1"
"exact_text_by_role","role_15x_003","+156-003+","21"
"exact_text_by_role","role_15x_003","+154-003+","1"
