branch_after_390,rows,terminal,continuing,in_002390_rows,in_002390_terminal,in_002390_continuing,non_002390_rows,non_002390_terminal,non_002390_continuing,objects
000,14,10,4,0,0,0,14,10,4,H-1800 - H-1982 - H-2083 H-19 H-337 H-338 K-89 L-2 L-273 M-1022 M-1058 Ns-67
001,1,0,1,0,0,0,1,0,1,M-2064
002,1,0,1,0,0,0,1,0,1,K-78
003,29,8,21,0,0,0,29,8,21,- C-66 H-1893 H-585 H-2210 H-1680 H-54 H-70 H-407 H-596 K-65 K-82 L-29 M-1857 M-1697 M-1729 M-2010 M-32 M-95 M-177
004,23,4,19,0,0,0,23,4,19,B-9 H-1987 H-2003 H-2186 - H-55 H-777 H-778 K-50 L-20 M-1742 M-1844 M-1731 M-1750 M-984 M-1831 M-103 M-278 M-710 M-909
005,7,2,5,0,0,0,7,2,5,M-1927 M-1983 M-1907 M-20 M-254 M-803 M-1098
006,1,0,1,0,0,0,1,0,1,-
015,1,0,1,0,0,0,1,0,1,M-1833
016,14,6,8,0,0,0,14,6,8,- H-71 L-27 M-1799 M-17 M-158 M-178 M-822 M-872 M-987 M-1224 M-1365 - -
017,5,2,3,0,0,0,5,2,3,H-82 M-247 M-1200 - K-392
018,2,1,1,0,0,0,2,1,1,M-83 M-283
032,4,2,2,0,0,0,4,2,2,C-22 M-165 M-1851 M-1835
033,1,0,1,0,0,0,1,0,1,H-2265
034,3,2,1,0,0,0,3,2,1,Ai-7 H-335 M-315
035,1,1,0,0,0,0,1,1,0,H-1355
060,1,0,1,0,0,0,1,0,1,H-239
070,1,0,1,0,0,0,1,0,1,M-1362
072,1,1,0,1,1,0,0,0,0,H-68
090,2,0,2,0,0,0,2,0,2,M-1770 M-1918
095,3,2,1,2,2,0,1,0,1,C-40 H-1993 M-71
111,1,0,1,0,0,0,1,0,1,M-326
125,9,3,6,4,0,4,5,3,2,Ad-2 H-467 M-38 M-119 M-314 M-320 M-735 M-878 Sktd-1
128,1,0,1,0,0,0,1,0,1,C-24
140,2,2,0,1,1,0,1,1,0,M-51 M-708
143,1,0,1,0,0,0,1,0,1,K-60
231,1,1,0,0,0,0,1,1,0,H-2197
346,1,1,0,1,1,0,0,0,0,M-213
370,2,2,0,0,0,0,2,2,0,M-436 M-436
371,2,2,0,0,0,0,2,2,0,- -
390,4,3,1,0,0,0,4,3,1,- Rjd-1 M-2094 M-2094
403,1,1,0,0,0,0,1,1,0,M-1170
406,1,1,0,0,0,0,1,1,0,L-37
415,2,1,1,0,0,0,2,1,1,Alt-90 L-145
440,1,0,1,0,0,0,1,0,1,-
458,1,1,0,0,0,0,1,1,0,M-1712
503,1,0,1,0,0,0,1,0,1,M-101
520,1,1,0,0,0,0,1,1,0,H-1292
530,1,0,1,1,0,1,0,0,0,H-773
531,1,0,1,0,0,0,1,0,1,M-1911
550,1,0,1,0,0,0,1,0,1,-
590,73,13,60,1,0,1,72,13,59,Ad-1 C-2 C-12 H-1109 H-1776 H-1692 H-1801 H-1802 H-733 H-39 H-52 H-75 H-180 H-180 H-194 H-449 H-454 H-466 H-510 H-533
600,1,0,1,0,0,0,1,0,1,M-1692
630,1,0,1,0,0,0,1,0,1,M-719
632,1,1,0,0,0,0,1,1,0,C-32
692,1,1,0,1,1,0,0,0,0,M-70
697,2,0,2,0,0,0,2,0,2,M-494 M-495
700,1,0,1,0,0,0,1,0,1,L-101
704,1,0,1,0,0,0,1,0,1,M-662
705,2,2,0,2,2,0,0,0,0,M-1825 -
707,1,1,0,1,1,0,0,0,0,M-232
710,2,1,1,0,0,0,2,1,1,M-316 M-784
717,1,0,1,0,0,0,1,0,1,Blk-2
721,1,0,1,0,0,0,1,0,1,M-724
728,1,1,0,0,0,0,1,1,0,H-449
741,1,1,0,0,0,0,1,1,0,H-369
790,3,3,0,0,0,0,3,3,0,C-22 M-131 Ns-46
803,2,0,2,0,0,0,2,0,2,M-77 Sktd-2
820,1,0,1,0,0,0,1,0,1,M-48
831,1,1,0,0,0,0,1,1,0,M-824
832,1,0,1,0,0,0,1,0,1,K-120
840,2,0,2,0,0,0,2,0,2,M-411 -
844,9,2,7,0,0,0,9,2,7,C-69 C-34 M-1675 M-1795 M-1807 M-1889 M-115 M-166 M-907
869,1,0,1,0,0,0,1,0,1,M-918
871,1,1,0,0,0,0,1,1,0,H-511
900,1,0,1,0,0,0,1,0,1,M-1821
920,2,0,2,0,0,0,2,0,2,M-1955 M-1838
