scope,frame_kind,y_after_002,rows,terminal_rows,continuing_rows,terminal_rate,continuation_classes,next1_counts,sites,types,symbols,example_cisi
all_002_strict_dedup,,861,119,95,24,95/119,terminal:95;one_token_continuation:15;multi_token_continuation:8;continues_with_later_032:1,<END>:95;603:3;533:2;416:1;125:1;244:1;216:1;831:1;791:1;626:1;392:1;683:1;096:1;032:1;832:1;036:1;255:1;698:1;360:1;901:1;031:1;803:1,Bakkar Buthi;Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro;Unknown,POT:T:g;ROD;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I;TAG;TAG:L,-;Buff;Bull;Bull1;Bull1:I;Bull1:II;Bull1:J;Bull1:L;Bull1:S;Bull1:V;Bull1:W;Bull1:X;Bull:i:J;Bult;Elep;Gaur;Gavi;None;Phyt;Scene;Tigr;Zebu,-;C-60;C-74;-;-;Dlv-1;H-1051;H-1030;H-1043;H-1942;H-2094;H-1692
all_002_strict_dedup,,817,103,100,3,100/103,terminal:100;multi_token_continuation:2;one_token_continuation:1,<END>:100;808:1;090:1;690:1,Banawali;Chanhu-daro;Dholavira;Harappa;Jhukar;Kalibangan;Lothal;Mohenjo-daro;Nausharo;Unknown,IMPL;POT:T:s;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I;TAG:B;TAG:P,-;Bull;Bull1;Bull1:I;Bull1:J;Bull1:L;Bull1:S;Bull1:T;Bull1:U;Bull1:V;Bull1:W;Bull1:X;Bull2;Bull3;CompBull;Elep;Gaur;Mult;None;Scene;Tigr;Zebu,B-5;C-66;C-67;C-4;C-10;-;H-2003;H-2015;H-1864;H-1667;-;H-1726
all_002_strict_dedup,,820,71,66,5,66/71,terminal:66;one_token_continuation:4;multi_token_continuation:1,<END>:66;741:2;033:1;001:1;700:1,Bhirrana;Harappa;Kalibangan;Lothal;Mohenjo-daro;Nausharo;Unknown,SEAL:L;SEAL:R;SEAL:S;TAB:B;TAG;TAG:P,Bull1;Bull1:I;Bull1:J;Bull1:S;Bull1:T;Bull1:U;Bull1:V;Bull1:W;Bull1:X;Gaur;Gavi;Mult;None;Rhin;Zebu,-;H-1045;H-1967;H-1882;H-1680;H-1146;H-45;H-149;H-231;H-244;H-506;H-514
all_002_strict_dedup,,390,14,0,14,0/14,one_token_continuation:8;multi_token_continuation:3;continues_with_later_032:3,125:4;705:2;072:1;530:1;692:1;095:1;346:1;707:1;140:1;590:1,Dholavira;Harappa;Mohenjo-daro;Surkotada;Unknown,SEAL:S;TAB:B,Bull1;Bull1:I;Bull1:J;Bull1:S;Bull1:T;Bull1:U;Bull1:W;Bull2;None,H-68;H-773;M-38;M-70;M-71;M-119;M-213;M-232;M-708;M-735;-;Sktd-1
all_002_strict_dedup,,368,11,0,11,0/11,one_token_continuation:6;multi_token_continuation:4;continues_with_later_032:1,260:2;634:1;550:1;861:1;202:1;906:1;119:1;518:1;165:1;590:1,Bala-kot;Banawali;Harappa;Kalibangan;Mohenjo-daro;Unknown,SEAL:S,Bull1;Bull1:I;Bull1:O;Bull1:S;Bull1:W;Comp;Gaur;None,Blk-2;B-1;H-600;K-10;M-1789;M-12;M-36;M-99;M-253;M-311;?-3
all_002_strict_dedup,,031,9,0,9,0/9,one_token_continuation:7;multi_token_continuation:2,892:2;480:1;165:1;575:1;502:1;350:1;376:1;104:1,Dholavira;Harappa;Mohenjo-daro,SEAL:R;SEAL:S,Bull1:J;Bull1:L;Bull1:S;Bull1:W;None;Zebu,H-44;H-389;M-1745;M-211;M-318;M-678;M-739;M-1823;-
all_002_strict_dedup,,220,9,0,9,0/9,multi_token_continuation:9,455:4;065:3;880:1;627:1,Harappa;Kalibangan;Mohenjo-daro,SEAL:S;TAG:O,Bull1;Bull1:J;Bull1:S;Bull1:W;Gaur,H-82;H-268;K-25;M-29;M-46;M-140;M-147;M-655;M-1427
all_002_strict_dedup,,824,6,6,0,6/6,terminal:6,<END>:6,Harappa;Lothal;Mohenjo-daro;Unknown,SEAL:R;SEAL:S,-;Bull1:I;Bull1:J;T-A-T;Tigr,H-1670;L-91;M-309;M-788;M-872;-
all_002_strict_dedup,,297,4,0,4,0/4,multi_token_continuation:3;one_token_continuation:1,350:2;190:1;416:1,Bala-kot;Mohenjo-daro;Nausharo,SEAL:R;SEAL:S,Bull1;Bull1:S;Bull1:W;None,Blk-1;M-53;M-114;Ns-60
all_002_strict_dedup,,405,4,0,4,0/4,one_token_continuation:2;multi_token_continuation:2,321:1;501:1;372:1;125:1,Harappa;Mohenjo-daro,SEAL:S;TAB:B,Bull1:I;Bull1:W,H-22;H-252;M-34;M-41
all_002_strict_dedup,,595,4,0,4,0/4,multi_token_continuation:3;one_token_continuation:1,812:1;504:1;906:1;342:1,Harappa;Mohenjo-daro,SEAL:R;SEAL:S,Bull1;Bull1:S;None,H-130;M-1676;M-809;M-1341
all_002_strict_dedup,,900,4,0,4,0/4,one_token_continuation:3;multi_token_continuation:1,615:1;003:1;285:1;630:1,Dholavira;Mohenjo-daro,SEAL:R;SEAL:S;TAB:B,Bull1:J;None;Scene,M-937;M-958;M-1358;-
all_002_strict_dedup,,298,3,0,3,0/3,one_token_continuation:2;continues_with_later_032:1,741:2;460:1,Chanhu-daro;Mohenjo-daro;Unknown,SEAL:S,Bull1;Bull1:I;Bull:i:J,C-5;M-683;-
