checked_date,x,rows,open_rate,loo_covered,loo_accuracy,heads,scopes,tails,head_counts,scope_counts,tail_counts,objects,class_decision
2026-05-31,501,29,0/29,29,1.000000,1,2,1,405:29,Harappa|TAB:B|cylindrical|-:28;Harappa|TAB:B|cylindrical|Clay:1,<END>:29,H-252;H-253;H-254;H-255;H-256;H-257;H-258;H-259;H-260;H-261;H-262;H-263;H-264;H-265;H-276;H-277;H-859;H-860;H-861;H-862;H-863;H-864;H-865;H-866;H-867;H-868;H-869;H-870;H-1155,head_template_not_portable_class
2026-05-31,000,27,3/27,27,0.888889,18,16,4,000:3;575:3;817:3;031:2;820:2;861:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;892:1,Mohenjo-daro|SEAL:S|square|Steatite:6;Harappa|SEAL:S|square|Steatite:5;Harappa|POT:T:g|-|Clay:2;Nausharo|POT:T:g|-|Clay:2;Allahdino|MISC|square|Clay:1;Dholavira|TAG|-|Clay:1;Harappa|TAB:I|rectangular|-:1;Kalibangan|SEAL:S|-|-:1;Kalibangan|SEAL:S|square|Steatite:1;Kalibangan|TAG|-|Terracotta:1;Mohenjo-daro|SEAL:S|square|-:1;Mohenjo-daro|SEAL|-|metal:1;Mohenjo-daro|TAB:B|rectangular|-:1;Rakhigarhi|SEAL:S|-|-:1;Shikarpur|POT:T:p|-|Clay:1;Tepe Yahya|POT:T:s|-|Clay:1,<END>:24;000 000 906 388:1;002:1;033:1,Ad-8;H-1038;H-2338;-;H-78;H-461;H-593;H-609;H-909;K-44;M-1787;M-1884;M-141;M-279;M-451;M-692;M-1027;M-1045;TY-106;M-1995;-;-;K-146;K-155;Ns-66;Ns-67;-,portable_biased_class
2026-05-31,125,11,9/11,11,0.818182,7,5,7,390:4;610:2;190:1;405:1;407:1;861:1;906:1,Mohenjo-daro|SEAL:S|square|Steatite:6;Harappa|SEAL:S|square|Steatite:2;Mohenjo-daro|SEAL:R|cuboid-convex|Steatite:1;Mohenjo-daro|TAB:C|rectangular|Copper:1;Surkotada|SEAL:S|square|-:1,<END>:2;032:2;632 032:2;820:2;195:1;590 831:1;632 032 900 563:1,H-55;H-74;M-1692;M-1665;M-38;M-41;M-119;M-354;M-735;Sktd-1;M-2055,portable_biased_class
2026-05-31,031,8,1/8,8,0.875000,7,6,2,502:2;000:1;055:1;388:1;575:1;812:1;861:1,Mohenjo-daro|SEAL:S|square|Steatite:3;Lothal|SEAL:S|square|Steatite:1;Mohenjo-daro|POT:T:g|-|Clay:1;Mohenjo-daro|SEAL:R|cuboid-convex|Steatite:1;Mohenjo-daro|SEAL:R|rectangular|Steatite:1;Susa|SEAL:CY|cylindrical|-:1,<END>:7;319 001 924:1,L-4;M-2005;M-358;M-706;M-756;M-948;M-1284;-,portable_biased_class
2026-05-31,091,8,0/8,8,1.000000,1,2,1,056:8,Kalibangan|TAG|rectangular|Terracotta:7;Kalibangan|TAG|-|Terracotta:1,<END>:8,K-69;K-70;K-71;K-72;K-73;K-74;K-75;K-156,head_template_not_portable_class
2026-05-31,455,8,6/8,8,0.750000,4,4,7,220:5;267:1;590:1;741:1,Mohenjo-daro|SEAL:S|square|Steatite:4;Harappa|SEAL:S|square|Steatite:2;Harappa|TAB:B|rectangular|Faience:1;Mohenjo-daro|SEAL:S|square|-:1,<END>:2;000:1;125:1;503:1;520:1;741:1;920:1,H-1874;H-82;H-268;M-10;M-29;M-147;M-761;M-1909,portable_biased_class
2026-05-31,032,7,3/7,7,0.000000,7,3,4,168:1;172:1;305:1;817:1;840:1;861:1;862:1,Harappa|SEAL:S|square|Steatite:3;Mohenjo-daro|SEAL:S|square|Steatite:3;Mohenjo-daro|TAG:O|square|Clay:1,<END>:4;320:1;520 919 140:1;904:1,H-1033;H-272;H-455;M-1791;M-1661;M-1159;M-1391,bad_x_predictor
2026-05-31,350,7,4/7,7,0.571429,6,4,4,297:2;000:1;031:1;125:1;300:1;301:1,Mohenjo-daro|SEAL:S|square|Steatite:4;Bala-kot|SEAL:S|square|-:1;Mohenjo-daro|SEAL:S|square|-:1;Nausharo|SEAL:R|rectangular|Steatite:1,<END>:3;125 413:2;032 190:1;550 692:1,Blk-1;M-49;M-106;M-242;M-251;M-739;Ns-60,weak_or_unresolved_x_class
2026-05-31,416,7,0/7,7,1.000000,2,3,1,861:6;297:1,Harappa|TAB:I|rectangular|Steatite:4;Harappa|TAB:I|rectangular|-:2;Mohenjo-daro|SEAL:S|square|Steatite:1,<END>:7,H-2094;H-2097;H-2095;-;H-2096;H-910;M-114,portable_terminal_class
2026-05-31,590,7,4/7,7,0.571429,7,5,4,125:1;368:1;390:1;392:1;540:1;705:1;798:1,Harappa|SEAL:S|square|Steatite:2;Unknown|SEAL:S|square|-:2;Lohumjo-daro|SEAL:S|square|-:1;Lothal|SEAL:R|rectangular|Clay:1;Mohenjo-daro|SEAL:S|square|Steatite:1,<END>:3;032:2;125:1;900:1,H-464;H-611;Lh-1;L-112;M-248;-;?-3,weak_or_unresolved_x_class
2026-05-31,575,6,1/6,6,0.833333,5,5,2,031:2;252:1;374:1;463:1;595:1,Mohenjo-daro|SEAL:S|square|Steatite:2;Dholavira|SEAL:R|cuboid-convex|Steatite:1;Dholavira|SEAL:S|square|-:1;Harappa|SEAL:R|cuboid-convex|Steatite:1;Kalibangan|SEAL:S|square|Steatite:1,<END>:5;794 000:1,H-131;K-24;M-318;M-665;-;-,portable_biased_class
2026-05-31,317,5,1/5,5,0.800000,3,4,2,920:3;000:1;727:1,Mohenjo-daro|SEAL:S|square|Steatite:2;Chanhu-daro|SEAL:S|square|Steatite:1;Lothal|TAG|-|Clay:1;Rakhigarhi|SEAL:CY|cylindrical|-:1,<END>:4;688:1,C-3;L-190;M-44;M-308;-,portable_biased_class
2026-05-31,705,5,1/5,5,0.800000,4,4,2,390:2;033:1;320:1;940:1,Mohenjo-daro|SEAL:S|square|Steatite:2;Dholavira|SEAL:S|square|-:1;Harappa|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|-:1,<END>:4;125:1,H-468;M-1668;M-1155;M-1825;-,portable_biased_class
