"policy","description_series","rows","initial_at_start","initial_at_start_share","terminal_at_end","terminal_at_end_share","I_T_scaffold","I_T_scaffold_share","strong_IMT_scaffold","strong_IMT_scaffold_share","top_patterns","examples"
"raw_lipi_numeric","I","6","1","0.166667","1","0.166667","1","0.166667","1","0.166667","DSMS:1;ISMMMT:1;MMTMS:1;SMS:1;STS:1","M-1;M-3;M-5;M-6;M-8;M-9"
"raw_lipi_numeric","II","12","7","0.583333","5","0.416667","4","0.333333","4","0.333333","DMMSS:1;DSSS:1;IDSMMMSSS:1;IIMMMST:1;IIMMT:1","M-12;M-13;M-14;M-15;M-16;M-17;M-18;M-21;M-24;M-26;M-29;M-30"
"raw_lipi_numeric","III","31","20","0.645161","10","0.322581","6","0.193548","6","0.193548","IMMMT:2;DDSMMW:1;DMMT:1;IDSMMMS:1;IIMMMSSWT:1","M-31;M-32;M-33;M-34;M-35;M-36;M-37;M-38;M-40;M-42;M-43;M-44"
"raw_lipi_numeric","IV","79","54","0.683544","17","0.21519","11","0.139241","11","0.139241","IMS:2;IS:2;SSS:2;DMISMT:1;DMMSS:1","M-77;M-78;M-80;M-82;M-83;M-84;M-85;M-86;M-87;M-88;M-89;M-90"
"raw_lipi_numeric","V","8","5","0.625","0","0","0","0","0","0","DM:2;IS:2;DMMM:1;IISS:1;IMMS:1","M-177;M-178;M-179;M-180;M-181;M-183;M-184;M-182"
"p385_merge_only","I","6","1","0.166667","1","0.166667","1","0.166667","1","0.166667","DSMS:1;ISMMMT:1;MMTMS:1;SMS:1;STS:1","M-1;M-3;M-5;M-6;M-8;M-9"
"p385_merge_only","II","12","7","0.583333","5","0.416667","4","0.333333","4","0.333333","DMMSS:1;DSSS:1;IDSMMMSSS:1;IIMMMST:1;IIMMT:1","M-12;M-13;M-14;M-15;M-16;M-17;M-18;M-21;M-24;M-26;M-29;M-30"
"p385_merge_only","III","31","20","0.645161","10","0.322581","6","0.193548","6","0.193548","IMMMT:2;DDSMMW:1;DMMT:1;IDSMMMS:1;IIMMMSSWT:1","M-31;M-32;M-33;M-34;M-35;M-36;M-37;M-38;M-40;M-42;M-43;M-44"
"p385_merge_only","IV","79","54","0.683544","17","0.21519","11","0.139241","11","0.139241","IMS:2;IS:2;SSS:2;DMISMT:1;DMMSS:1","M-77;M-78;M-80;M-82;M-83;M-84;M-85;M-86;M-87;M-88;M-89;M-90"
"p385_merge_only","V","8","5","0.625","0","0","0","0","0","0","DM:2;IS:2;DMMM:1;IISS:1;IMMS:1","M-177;M-178;M-179;M-180;M-181;M-183;M-184;M-182"
"mayig_observed_parpola","I","6","1","0.166667","1","0.166667","1","0.166667","1","0.166667","DSMS:1;ISMMMT:1;MMTMS:1;MTS:1;SMS:1","M-1;M-3;M-5;M-6;M-8;M-9"
"mayig_observed_parpola","II","12","7","0.583333","5","0.416667","4","0.333333","4","0.333333","DMMSS:1;DSSS:1;IDSMMMSSS:1;IIMMMST:1;IIMMT:1","M-12;M-13;M-14;M-15;M-16;M-17;M-18;M-21;M-24;M-26;M-29;M-30"
"mayig_observed_parpola","III","31","22","0.709677","10","0.322581","7","0.225806","7","0.225806","IMMMT:3;IMMMMMMS:2;DDSMMM:1;DMMT:1;IDSMMMS:1","M-31;M-32;M-33;M-34;M-35;M-36;M-37;M-38;M-40;M-42;M-43;M-44"
"mayig_observed_parpola","IV","79","57","0.721519","17","0.21519","11","0.139241","11","0.139241","IMS:2;IS:2;ISM:2;SSS:2;DMISMT:1","M-77;M-78;M-80;M-82;M-83;M-84;M-85;M-86;M-87;M-88;M-89;M-90"
"mayig_observed_parpola","V","8","5","0.625","1","0.125","0","0","0","0","DM:2;IS:2;DMMT:1;IISS:1;IMMM:1","M-177;M-178;M-179;M-180;M-181;M-183;M-184;M-182"
