partition_class,y_after_002,rows,terminal_rows,terminal_rate,source_index_rows,source_grade_4_rows,source_grade_3_rows,source_grade_2_rows,source_grade_1_rows,source_grade_0_rows,best_cisis
leaky_861_descriptive_not_posthoc_pole,861,119,95,0.798319,119,2,8,5,104,0,M-240:source_visible_order_window_candidate;M-91:source_visible_order_window_candidate;M-1273:row_level_source_visible_candidate;H-444:row_level_source_visible_candidate;M-376:row_level_source_visible_candidate;C-60:row_level_source_visible_candidate;H-597:row_level_source_visible_candidate;M-21:row_level_source_visible_candidate;M-391:row_level_source_visible_candidate;M-714:row_level_source_visible_candidate
other_y_after_002,824,6,6,1,5,0,0,0,5,1,NA:source_hint_only;H-1670:source_hint_only;M-309:source_hint_only;M-788:source_hint_only;M-872:source_hint_only;L-91:source_dark_or_unindexed
other_y_after_002,297,4,0,0,4,0,0,0,4,0,Blk-1:source_hint_only;M-114:source_hint_only;M-53:source_hint_only;Ns-60:source_hint_only
other_y_after_002,405,4,0,0,4,0,0,0,4,0,H-22:source_hint_only;H-252:source_hint_only;M-34:source_hint_only;M-41:source_hint_only
other_y_after_002,595,4,0,0,4,0,0,0,4,0,H-130:source_hint_only;M-1341:source_hint_only;M-1676:source_hint_only;M-809:source_hint_only
other_y_after_002,900,4,0,0,3,0,0,0,3,1,NA:source_hint_only;M-937:source_hint_only;M-958:source_hint_only;M-1358:source_dark_or_unindexed
other_y_after_002,298,3,0,0,3,0,0,0,3,0,M-683:source_hint_only;NA:source_hint_only;C-5:source_hint_only
other_y_after_002,365,3,0,0,3,0,0,0,3,0,C-1:source_hint_only;NA:source_hint_only;M-1532:source_hint_only
other_y_after_002,374,3,0,0,2,0,0,0,2,1,M-315:source_hint_only;M-1089:source_hint_only;M-66:source_dark_or_unindexed
other_y_after_002,705,3,0,0,3,0,0,0,3,0,NA:source_hint_only;NA:source_hint_only;M-248:source_hint_only
other_y_after_002,880,3,3,1,3,0,0,0,3,0,M-1318:source_hint_only;M-225:source_hint_only;Ns-55:source_hint_only
other_y_after_002,920,3,0,0,3,0,0,0,3,0,C-3:source_hint_only;H-2016:source_hint_only;M-44:source_hint_only
other_y_after_002,003,2,2,1,2,0,0,0,2,0,NA:source_hint_only;NA:source_hint_only
other_y_after_002,055,2,0,0,2,0,0,0,2,0,NA:source_hint_only;M-43:source_hint_only
other_y_after_002,112,2,2,1,2,0,0,0,2,0,M-33:source_hint_only;M-239:source_hint_only
other_y_after_002,125,2,0,0,2,0,0,0,2,0,H-611:source_hint_only;M-251:source_hint_only
other_y_after_002,190,2,0,0,2,0,0,0,2,0,M-1692:source_hint_only;M-639:source_hint_only
other_y_after_002,252,2,0,0,1,0,0,0,1,1,K-24:source_hint_only;M-143:source_dark_or_unindexed
other_y_after_002,285,2,1,0.5,2,0,0,0,2,0,NA:source_hint_only;K-28:source_hint_only
other_y_after_002,301,2,0,0,2,0,0,0,2,0,M-115:source_hint_only;M-242:source_hint_only
other_y_after_002,388,2,0,0,2,0,0,0,2,0,M-359:source_hint_only;M-948:source_hint_only
other_y_after_002,455,2,0,0,2,0,0,0,2,0,H-1671:source_hint_only;M-1907:source_hint_only
other_y_after_002,502,2,0,0,2,0,0,0,2,0,M-1284:source_hint_only;M-358:source_hint_only
other_y_after_002,540,2,1,0.5,2,0,0,0,2,0,L-112:source_hint_only;M-393:source_hint_only
other_y_after_002,550,2,1,0.5,2,0,0,0,2,0,L-145:source_hint_only;M-849:source_hint_only
other_y_after_002,610,2,0,0,2,0,0,0,2,0,H-74:source_hint_only;M-1665:source_hint_only
other_y_after_002,617,2,1,0.5,2,0,0,0,2,0,L-134:source_hint_only;M-81:source_hint_only
other_y_after_002,690,2,0,0,2,0,0,0,2,0,H-1657:source_hint_only;H-8:source_hint_only
other_y_after_002,741,2,0,0,2,0,0,0,2,0,K-4:source_hint_only;M-1114:source_hint_only
other_y_after_002,798,2,0,0,2,0,0,0,2,0,L-47:source_hint_only;M-1772:source_hint_only
other_y_after_002,812,2,0,0,2,0,0,0,2,0,L-1:source_hint_only;M-756:source_hint_only
other_y_after_002,814,2,0,0,2,0,0,0,2,0,M-17:source_hint_only;M-92:source_hint_only
other_y_after_002,840,2,0,0,2,0,0,0,2,0,M-1791:source_hint_only;M-490:source_hint_only
other_y_after_002,850,2,0,0,2,0,0,0,2,0,M-325:source_hint_only;M-325:source_hint_only
other_y_after_002,906,2,0,0,2,0,0,0,2,0,M-24:source_hint_only;M-354:source_hint_only
other_y_after_002,940,2,0,0,2,0,0,0,2,0,H-468:source_hint_only;M-107:source_hint_only
other_y_after_002,001,1,0,0,0,0,0,0,0,1,Ns-56:source_dark_or_unindexed
other_y_after_002,002,1,1,1,1,0,0,0,1,0,NA:source_hint_only
other_y_after_002,004,1,0,0,1,0,0,0,1,0,NA:source_hint_only
other_y_after_002,033,1,0,0,1,0,0,0,1,0,M-1155:source_hint_only
other_y_after_002,056,1,0,0,1,0,0,0,1,0,K-69:source_hint_only
other_y_after_002,069,1,1,1,1,0,0,0,1,0,M-1883:source_hint_only
other_y_after_002,093,1,0,0,1,0,0,0,1,0,M-1765:source_hint_only
other_y_after_002,107,1,1,1,1,0,0,0,1,0,M-35:source_hint_only
other_y_after_002,111,1,0,0,1,0,0,0,1,0,M-95:source_hint_only
other_y_after_002,130,1,0,0,1,0,0,0,1,0,M-699:source_hint_only
other_y_after_002,142,1,1,1,1,0,0,0,1,0,M-1686:source_hint_only
other_y_after_002,144,1,1,1,1,0,0,0,1,0,M-130:source_hint_only
other_y_after_002,156,1,0,0,1,0,0,0,1,0,M-1810:source_hint_only
other_y_after_002,168,1,0,0,1,0,0,0,1,0,M-1159:source_hint_only
other_y_after_002,172,1,0,0,1,0,0,0,1,0,H-455:source_hint_only
other_y_after_002,207,1,0,0,1,0,0,0,1,0,M-82:source_hint_only
other_y_after_002,221,1,1,1,1,0,0,0,1,0,L-82:source_hint_only
other_y_after_002,233,1,0,0,1,0,0,0,1,0,H-141:source_hint_only
other_y_after_002,257,1,0,0,1,0,0,0,1,0,M-154:source_hint_only
other_y_after_002,267,1,0,0,1,0,0,0,1,0,M-10:source_hint_only
other_y_after_002,269,1,0,0,1,0,0,0,1,0,M-1766:source_hint_only
other_y_after_002,278,1,0,0,1,0,0,0,1,0,NA:source_hint_only
other_y_after_002,281,1,1,1,1,0,0,0,1,0,NA:source_hint_only
other_y_after_002,286,1,0,0,1,0,0,0,1,0,M-1688:source_hint_only
other_y_after_002,287,1,0,0,1,0,0,0,1,0,M-109:source_hint_only
other_y_after_002,291,1,0,0,1,0,0,0,1,0,M-628:source_hint_only
other_y_after_002,293,1,0,0,1,0,0,0,1,0,H-1706:source_hint_only
other_y_after_002,295,1,0,0,1,0,0,0,1,0,M-181:source_hint_only
other_y_after_002,299,1,0,0,1,0,0,0,1,0,M-623:source_hint_only
other_y_after_002,300,1,0,0,1,1,0,0,0,0,M-49:source_visible_order_window_candidate
other_y_after_002,305,1,0,0,1,0,0,0,1,0,H-272:source_hint_only
other_y_after_002,308,1,0,0,1,0,0,0,1,0,B-17:source_hint_only
other_y_after_002,315,1,0,0,1,0,0,0,1,0,M-1002:source_hint_only
other_y_after_002,320,1,0,0,1,0,0,0,1,0,M-1668:source_hint_only
other_y_after_002,326,1,1,1,1,0,0,0,1,0,M-509:source_hint_only
