checked_date,x,x_occurrences,x_terminal,x_terminal_rate,global_occurrences,global_terminal,global_terminal_rate,terminal_delta,classification,heads,sites,types,next1,sample_objects
2026-05-31,501,29,29,1.000,31,29,0.935,0.065,global_edge_transfer,405:29,Harappa:29,TAB:B:29,<END>:29,H-252;H-253;H-254;H-255;H-256;H-257;H-258;H-259;H-260;H-261;H-262;H-263
2026-05-31,000,27,24,0.889,1881,822,0.437,0.452,constructional_terminal_boost,000:3;575:3;817:3;031:2;820:2;861:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;892:1,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,SEAL:S:15;POT:T:g:4;TAG:2;MISC:1;POT:T:p:1;POT:T:s:1;SEAL:1;TAB:B:1;TAB:I:1,<END>:24;000:1;002:1;033:1,Ad-8;H-1038;H-2338;-:617.1;H-78;H-461;H-593;H-609;H-909;K-44;M-1787;M-1884
2026-05-31,125,11,2,0.182,59,17,0.288,-0.106,open_or_payload_transfer,390:4;610:2;190:1;405:1;407:1;861:1;906:1,Mohenjo-daro:8;Harappa:2;Surkotada:1,SEAL:S:9;SEAL:R:1;TAB:C:1,632:3;<END>:2;032:2;820:2;195:1;590:1,H-55;H-74;M-1692;M-1665;M-38;M-41;M-119;M-354;M-735;Sktd-1;M-2055
2026-05-31,031,8,7,0.875,258,94,0.364,0.511,constructional_terminal_boost,502:2;000:1;055:1;388:1;575:1;812:1;861:1,Mohenjo-daro:6;Lothal:1;Susa:1,SEAL:S:4;SEAL:R:2;POT:T:g:1;SEAL:CY:1,<END>:7;319:1,L-4;M-2005;M-358;M-706;M-756;M-948;M-1284;-:3882.1
2026-05-31,091,8,8,1.000,28,24,0.857,0.143,global_edge_transfer,056:8,Kalibangan:8,TAG:8,<END>:8,K-69;K-70;K-71;K-72;K-73;K-74;K-75;K-156
2026-05-31,455,8,2,0.250,46,11,0.239,0.011,open_or_payload_transfer,220:5;267:1;590:1;741:1,Mohenjo-daro:5;Harappa:3,SEAL:S:7;TAB:B:1,<END>:2;000:1;125:1;503:1;520:1;741:1;920:1,H-1874;H-82;H-268;M-10;M-29;M-147;M-761;M-1909
2026-05-31,032,7,4,0.571,588,246,0.418,0.153,mixed,168:1;172:1;305:1;817:1;840:1;861:1;862:1,Mohenjo-daro:4;Harappa:3,SEAL:S:6;TAG:O:1,<END>:4;320:1;520:1;904:1,H-1033;H-272;H-455;M-1791;M-1661;M-1159;M-1391
2026-05-31,350,7,3,0.429,48,10,0.208,0.220,constructional_terminal_boost,297:2;000:1;031:1;125:1;300:1;301:1,Mohenjo-daro:5;Bala-kot:1;Nausharo:1,SEAL:S:6;SEAL:R:1,<END>:3;125:2;032:1;550:1,Blk-1;M-49;M-106;M-242;M-251;M-739;Ns-60
2026-05-31,416,7,7,1.000,57,35,0.614,0.386,constructional_terminal_boost,861:6;297:1,Harappa:6;Mohenjo-daro:1,TAB:I:6;SEAL:S:1,<END>:7,H-2094;H-2097;H-2095;-:621.1;H-2096;H-910;M-114
2026-05-31,590,7,3,0.429,228,59,0.259,0.170,mixed,125:1;368:1;390:1;392:1;540:1;705:1;798:1,Harappa:2;Unknown:2;Lohumjo-daro:1;Lothal:1;Mohenjo-daro:1,SEAL:S:6;SEAL:R:1,<END>:3;032:2;125:1;900:1,H-464;H-611;Lh-1;L-112;M-248;-:3335.1;?-3
