"checked_date","cisi","fig4_number","manufacturing_group","template_class","local_signature_short","role_700_03x_text","role_15x_003_text","is_singleton_variant","variant_slot","same_group_template_single_slot_controls","exact_dimension_single_slot_controls","accepted_decipherment_claim"
"2026-05-25","H-2221","2","group_1","template_700_861_15x","B_side_swap","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2222","3","group_1","template_861_700_15x","A","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2220","4","group_1","template_861_700_15x","A","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2227","5","group_1","template_700_861_15x","B_side_swap","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2229","6","group_1","template_861_700_15x","A","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2225","7","group_1","template_861_700_15x","A","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2224","8","group_2","template_861_700_15x","A","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2235","9","group_2","template_700_861_15x","B_side_swap","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2219","10","group_2","template_861_700_15x","A","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2218","11","group_2","template_861_700_15x","A","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2228","12","group_2","template_700_861_15x","B_side_swap","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2226","13","group_2","template_700_861_15x","B_side_swap","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2223","14","group_2","template_861_700_15x","A","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2236","15","group_2","template_861_700_15x","A","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2239","16","group_2","template_861_700_15x","A","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2237","17","group_3","template_700_861_15x","154_variant","+700-034+","+154-003+","1","role_15x_003","2","1","0"
"2026-05-25","H-2238","18","group_3","template_700_861_15x","033_variant","+700-033+","+156-003+","1","role_700_03x","2","0","0"
"2026-05-25","H-2230","19","group_3","template_700_861_15x","B_side_swap","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2233","20","group_3","template_700_861_15x","B_side_swap","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2231","21","group_3","template_861_700_15x","A","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2234","22","group_3","template_861_700_15x","A","+700-034+","+156-003+","0","","0","0","0"
"2026-05-25","H-2232","23","group_3","template_861_700_15x","A","+700-034+","+156-003+","0","","0","0","0"
