"prev","count","pct_of_220415","sites","types","examples"
"520","28","0.3077","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B;TAB:I;TAG","221.1;479.1;481.1;485.2;517.1;816.1;841.1;848.1;913.1;913.2"
"318","11","0.1209","Harappa","TAB:B","291.1;1300.1;1301.1;1302.1;1303.1;1304.1;1305.1;1306.1;1754.1;1755.1"
"740","6","0.0659","Harappa;Mohenjo-daro","SEAL:S;TAB:B","1234.1;1641.1;1659.1;2953.1;2954.1;3084.1"
"<START>","5","0.0549","Harappa;Mohenjo-daro","SEAL:R;TAB:I","673.2;770.2;865.2;1025.2;4009.1"
"000","5","0.0549","Harappa;Mohenjo-daro","ROD;SEAL:R;SEAL:S;TAB:I","1849.1;2902.1;3082.1;4042.1;4044.1"
"845","5","0.0549","Mohenjo-daro","SEAL:R;TAB:C","2983.1;2984.1;3600.1;3733.1;3734.1"
"176","4","0.044","Chanhu-daro;Mohenjo-daro","SEAL:S","83.1;3074.1;3338.1;3409.1"
"705","3","0.033","Mohenjo-daro","SEAL:R;SEAL:S","2178.1;2422.1;2861.1"
"717","3","0.033","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1169.1;2401.1;2480.1"
"320","2","0.022","Mohenjo-daro","SEAL:S","3186.1;3311.1"
"416","2","0.022","Khirsara;Pabumath","SEAL:R;SEAL:S","3861.1;4895.1"
"706","2","0.022","Mohenjo-daro","SEAL:R;SEAL:S","2360.1;3113.1"
"001","1","0.011","Mohenjo-daro","SEAL:S","2377.1"
"017","1","0.011","Harappa","SEAL:S","1536.1"
"032","1","0.011","Mohenjo-daro","SEAL:S","2580.1"
"036","1","0.011","Mohenjo-daro","TAB:B","3711.1"
"055","1","0.011","Harappa","SEAL:S","1294.1"
"074","1","0.011","Harappa","TAB:I","827.2"
"140","1","0.011","Mohenjo-daro","SEAL:R","2908.1"
"233","1","0.011","Mohenjo-daro","SEAL:S","3305.1"
"240","1","0.011","Mohenjo-daro","SEAL:R","2865.1"
"371","1","0.011","Mohenjo-daro","SEAL:R","3651.1"
"554","1","0.011","Harappa","SEAL:R","1174.1"
"790","1","0.011","Mohenjo-daro","SEAL:R","2234.1"
"798","1","0.011","Mohenjo-daro","SEAL:S","3100.1"
"879","1","0.011","Mohenjo-daro","SEAL:S","2636.1"
"904","1","0.011","Harappa","SEAL:S","1407.1"
