x_sign,frame,prefix,id,cisi,site,type,symbol,shape,material,class,condition,dir,text_length,text,occurrence_index_0based,next2_after_x,exact_740_x_240_060_692,register_key,source_key,formula_key
100,000_X_240,000,62.1,C-65,Chanhu-daro,SEAL:S,Bull1:W,square,Steatite,??,Good,R/L,7,+000-100-240-220-032-002-861+,1,240 220,false,Chanhu-daro|SEAL:S|Bull1:W|square,Chanhu-daro|SEAL:S|Bull1:W|square|Steatite,+000-100-240-220-032-002-861+
100,740_X_240,740,77.1,C-51,Chanhu-daro,SEAL:S,Bull1:W,square,Steatite,MT,Fine,R/L,4,+151-740-100-240+,2,240,false,Chanhu-daro|SEAL:S|Bull1:W|square,Chanhu-daro|SEAL:S|Bull1:W|square|Steatite,+151-740-100-240+
835,000_X_240,000,121.2,C-40,Chanhu-daro,IMPL,None,-,Copper,??,Poor,R/L,8,+740-000-835-240-235-031-900-066+,2,240 235,false,Chanhu-daro|IMPL|None|-,Chanhu-daro|IMPL|None|-|Copper,+740-000-835-240-235-031-900-066+
603,740_X_240,740,198.1,H-1138,Harappa,TAB:B,None,rectangular,Faience,SP,Fair,R/L,5,+740-603-240-060-692+,1,240 060,true,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|Faience,+740-603-240-060-692+
904,740_X_240,740,280.1,-,Harappa,TAB:B,Bull2,rectangular,Clay,SP,Fair,R/L,5,+740-904-240-002-817+,1,240 002,false,Harappa|TAB:B|Bull2|rectangular,Harappa|TAB:B|Bull2|rectangular|Clay,+740-904-240-002-817+
904,740_X_240,740,316.1,-,Harappa,TAB:B,None,rectangular,Faience,MT,Good,R/L,3,+740-904-240+,1,240,false,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|Faience,+740-904-240+
630,740_X_240,740,405.2,H-2192,Harappa,TAB:I,None,fish,Steatite,LP,Fair,R/L,6,+740-630-240-031-032-171+,1,240 031,false,Harappa|TAB:I|None|fish,Harappa|TAB:I|None|fish|Steatite,+740-630-240-031-032-171+
100,740_X_240,740,406.2,H-1895,Harappa,TAB:B,None,oval,Faience,MT,Fair,L/R,4,+400-740-100-240+,2,240,false,Harappa|TAB:B|None|oval,Harappa|TAB:B|None|oval|Faience,+400-740-100-240+
904,740_X_240,740,410.2,H-1897,Harappa,TAB:B,None,isosceles trapezoid,Faience,MT,Good,R/L,4,+400-740-904-240+,2,240,false,Harappa|TAB:B|None|isosceles trapezoid,Harappa|TAB:B|None|isosceles trapezoid|Faience,+400-740-904-240+
642,740_X_240,740,424.2,H-1845,Harappa,TAB:B,None,rectangular,Faience,SP,Good,R/L,5,+740-642-240-060-692+,1,240 060,true,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|Faience,+740-642-240-060-692+
760,740_X_240,740,455.1,H-2076,Harappa,TAB:I,None,rectangular,Steatite,MT,Poor,L/R,3,+740-760-240+,1,240,false,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+740-760-240+
760,740_X_240,740,469.1,H-2077,Harappa,TAB:I,None,rectangular,Steatite,MT,Poor,L/R,3,+740-760-240+,1,240,false,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+740-760-240+
603,740_X_240,740,686.2,H-1846,Harappa,TAB:B,None,rectangular,Faience,SP,Good,R/L,5,+740-603-240-060-692+,1,240 060,true,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|Faience,+740-603-240-060-692+
482,740_X_240,740,729.2,H-2010,Harappa,TAB:B,Bull1,oval,Faience,SP,Fair,R/L,5,+740-482-240-002-861+,1,240 002,false,Harappa|TAB:B|Bull1|oval,Harappa|TAB:B|Bull1|oval|Faience,+740-482-240-002-861+
