checked_date,predicted_class,rows,covered,pass,heads,x_signs,examples
2026-05-31,unclassified_x_slot,231,0/231,0/0,861:26;031:15;000:11;220:11;368:11;817:8;820:8;595:7;297:5;365:5;374:5;900:5;575:4;920:4;130:3;298:3;405:3;741:3;055:2;111:2;252:2;257:2;267:2;301:2;388:2;435:2;455:2;460:2;502:2;690:2;717:2;798:2;814:2;840:2;850:2;892:2;001:1;002:1;003:1;004:1;056:1;060:1;065:1;093:1;095:1;125:1;156:1;168:1;172:1;190:1;207:1;226:1;233:1;244:1;269:1;270:1;278:1;285:1;286:1;291:1;293:1;295:1;296:1;300:1;305:1;315:1;354:1;360:1;400:1;413:1;416:1;452:1;463:1;504:1;520:1;527:1;550:1;564:1;590:1;611:1;617:1;629:1;700:1;702:1;703:1;705:1;727:1;762:1;790:1;812:1;862:1;906:1;940:1;944:1,000:27;031:8;455:8;032:7;350:7;575:6;317:5;550:4;741:4;003:3;035:3;065:3;090:3;165:3;260:3;460:3;491:3;603:3;615:3;632:3;820:3;840:3;861:3;892:3;906:3;033:2;060:2;190:2;216:2;255:2;360:2;390:2;416:2;480:2;502:2;511:2;533:2;690:2;700:2;832:2;920:2;921:2;001:1;004:1;016:1;036:1;055:1;070:1;084:1;091:1;096:1;104:1;119:1;127:1;192:1;202:1;215:1;220:1;228:1;231:1;235:1;244:1;250:1;279:1;285:1;287:1;290:1;309:1;310:1;321:1;328:1;342:1;368:1;372:1;373:1;374:1;376:1;385:1;392:1;420:1;435:1;463:1;475:1;493:1;500:1;501:1;503:1;504:1;518:1;560:1;595:1;617:1;626:1;627:1;630:1;633:1;634:1;683:1;698:1;703:1;717:1;740:1;747:1;751:1;791:1;803:1;808:1;812:1;817:1;831:1;834:1;850:1;880:1;898:1;901:1,Ad-8:FRAME(002) HEAD(861) X(000) TAIL(<END>) | Blk-1:FRAME(002) HEAD(297) X(350) TAIL(125 413) | Blk-2:FRAME(002) HEAD(368) X(634) TAIL(<END>) | B-1:FRAME(002) HEAD(368) X(550) TAIL(821) | C-71:FRAME(002) HEAD(906) X(003) TAIL(<END>) | C-1:FRAME(002) HEAD(365) X(287) TAIL(034)
2026-05-31,terminal_bait,7,7/7,7/7,390:3;287:1;308:1;904:1;906:1,140:3;072:2;346:2,B-17:FRAME(002) HEAD(308) X(072) TAIL(<END>) | H-68:FRAME(002) HEAD(390) X(072) TAIL(<END>) | M-24:FRAME(002) HEAD(906) X(140) TAIL(<END>) | M-109:FRAME(002) HEAD(287) X(140) TAIL(<END>) | M-213:FRAME(002) HEAD(390) X(346) TAIL(<END>) | M-708:FRAME(002) HEAD(390) X(140) TAIL(<END>)
2026-05-31,one_complement_associative_linker,4,4/4,4/4,296:1;299:1;390:1;705:1,530:4,C-57:FRAME(002) HEAD(296) LINKER(530) COMPLEMENT(000) | H-773:FRAME(002) HEAD(390) LINKER(530) COMPLEMENT(741) | M-623:FRAME(002) HEAD(299) LINKER(530) COMPLEMENT(820) | -:4182.1:FRAME(002) HEAD(705) LINKER(530) COMPLEMENT(904)
2026-05-31,terminal_identity_or_class_label,3,3/3,3/3,390:2;812:1,095:3,H-1993:FRAME(002) HEAD(390) IDENTITY_CLASS(095) | L-1:FRAME(002) HEAD(812) IDENTITY_CLASS(095) | M-71:FRAME(002) HEAD(390) IDENTITY_CLASS(095)
2026-05-31,dependent_title_chain_operator,5,5/5,5/5,190:1;405:1;407:1;861:1;906:1,125:5,H-55:FRAME(002) HEAD(861) DEPENDENT_CHAIN(125) TAIL(<END>) | M-1692:FRAME(002) HEAD(190) DEPENDENT_CHAIN(125) TAIL(632 032) | M-41:FRAME(002) HEAD(405) DEPENDENT_CHAIN(125) TAIL(820) | M-354:FRAME(002) HEAD(906) DEPENDENT_CHAIN(125) TAIL(<END>) | M-2055:FRAME(002) HEAD(407) DEPENDENT_CHAIN(125) TAIL(590 831)
2026-05-31,head610_032_tail_router,2,2/2,2/2,610:2,125:2,H-74:FRAME(002) HEAD(610) TITLE_CHAIN(125) ROUTE(032) | M-1665:FRAME(002) HEAD(610) TITLE_CHAIN(125) ROUTE(032)
2026-05-31,head_routed_extender_bait,7,2/7,2/2,125:1;368:1;390:1;392:1;540:1;705:1;798:1,590:7,H-464:FRAME(002) HEAD(798) EXTENDER(590) ROUTE(032) | H-611:FRAME(002) HEAD(125) EXTENDER(590) ROUTE(<END>) | Lh-1:FRAME(002) HEAD(392) EXTENDER(590) ROUTE(125) | L-112:FRAME(002) HEAD(540) EXTENDER(590) ROUTE(<END>) | M-248:FRAME(002) HEAD(705) EXTENDER(590) ROUTE(<END>) | -:3335.1:FRAME(002) HEAD(390) EXTENDER(590) ROUTE(032)
2026-05-31,terminal_default_group_or_class_label,4,4/4,4/4,390:2;033:1;940:1,705:4,H-468:FRAME(002) HEAD(940) DEFAULT_CLASS(705) | M-1155:FRAME(002) HEAD(033) DEFAULT_CLASS(705) | M-1825:FRAME(002) HEAD(390) DEFAULT_CLASS(705) | -:4237.1:FRAME(002) HEAD(390) DEFAULT_CLASS(705)
2026-05-31,terminal_default_exception_bait,3,3/3,3/3,252:1;390:1;455:1,692:3,L-5:FRAME(002) HEAD(455) BOUNDARY_BAIT(692) | M-1901:FRAME(002) HEAD(252) BOUNDARY_BAIT(692) | M-70:FRAME(002) HEAD(390) BOUNDARY_BAIT(692)
2026-05-31,head320_705_125_cap_exception,1,1/1,1/1,320:1,705:1,M-1668:FRAME(002) HEAD(320) DEFAULT_CLASS(705) CAP(125)
2026-05-31,head390_tail_menu_operator,4,4/4,4/4,390:4,125:4,M-38:FRAME(002) HEAD(390) TITLE_CHAIN(125) TAIL(632 032) | M-119:FRAME(002) HEAD(390) TITLE_CHAIN(125) TAIL(632 032 900 563) | M-735:FRAME(002) HEAD(390) TITLE_CHAIN(125) TAIL(195) | Sktd-1:FRAME(002) HEAD(390) TITLE_CHAIN(125) TAIL(820)
2026-05-31,terminal_class_bait,1,1/1,1/1,390:1,707:1,M-232:FRAME(002) HEAD(390) TERMINAL_BAIT(707)
