"scope","feature","value","subtype","in_subtype_count","subtype_total","in_subtype_share","out_subtype_count","out_subtype_total","out_subtype_share","lift_vs_other_subtypes"
"all_frame700_subtypes","longer_row_count","0","034","49","114","0.429825","66","239","0.276151","1.556486"
"all_frame700_subtypes","side_relation","no_longer_text","034","49","114","0.429825","66","239","0.276151","1.556486"
"all_frame700_subtypes","area_bin","area_120_180","032","32","102","0.313725","51","251","0.203187","1.544022"
"all_frame700_subtypes","v_bin","v_8p5_10","033","28","137","0.20438","30","216","0.138889","1.471533"
"all_frame700_subtypes","type","TAB:I","034","72","114","0.631579","103","239","0.430962","1.465508"
"all_frame700_subtypes","h_bin","h_missing","033","13","137","0.094891","14","216","0.064815","1.464025"
"all_frame700_subtypes","long_first_tokens","740","033","30","137","0.218978","33","216","0.152778","1.433311"
"all_frame700_subtypes","long_has_740","has740_true","033","75","137","0.547445","85","216","0.393519","1.391155"
"all_frame700_subtypes","short_side_index","1","034","63","114","0.552632","95","239","0.39749","1.390305"
"all_frame700_subtypes","long_last_tokens","240","032","5","102","0.04902","9","251","0.035857","1.367102"
"all_frame700_subtypes","type","TAB:B","032","63","102","0.617647","115","251","0.458167","1.348082"
"all_frame700_subtypes","side_relation","short_before_all_longer","034","40","114","0.350877","65","239","0.271967","1.290148"
"all_frame700_subtypes","long_has_400","has400_true","033","54","137","0.394161","66","216","0.305556","1.28998"
"all_frame700_subtypes","long_first_tokens","400","033","53","137","0.386861","65","216","0.300926","1.28557"
"all_frame700_subtypes","order","700_last","033","24","137","0.175182","30","216","0.138889","1.261314"
"all_frame700_subtypes","long_length_bin","long_len_1_3","033","55","137","0.40146","69","216","0.319444","1.256744"
"all_frame700_subtypes","h_bin","h_13_16","034","46","114","0.403509","77","239","0.322176","1.252449"
"all_frame700_subtypes","short_side_index","2","033","85","137","0.620438","108","216","0.5","1.240876"
"all_frame700_subtypes","long_edge_frames","740...240","032","3","102","0.029412","6","251","0.023904","1.230392"
"all_frame700_subtypes","area_bin","area_120_180","033","36","137","0.262774","47","216","0.217593","1.207641"
"all_frame700_subtypes","long_has_740","has740_false","034","70","114","0.614035","123","239","0.514644","1.193125"
"all_frame700_subtypes","h_bin","h_ge_16","033","58","137","0.423358","77","216","0.356481","1.187601"
"all_frame700_subtypes","long_last_tokens","240","033","6","137","0.043796","8","216","0.037037","1.182482"
"all_frame700_subtypes","long_edge_frames","740...692","033","3","137","0.021898","4","216","0.018519","1.182482"
"all_frame700_subtypes","long_last_tokens","032","033","3","137","0.021898","4","216","0.018519","1.182482"
"all_frame700_subtypes","long_last_tokens","692","033","3","137","0.021898","4","216","0.018519","1.182482"
"all_frame700_subtypes","long_has_400","has400_false","034","84","114","0.736842","149","239","0.623431","1.181915"
"all_frame700_subtypes","aspect_bin","aspect_lt_1p5","034","10","114","0.087719","18","239","0.075314","1.164717"
"all_frame700_subtypes","long_first_tokens","740","032","20","102","0.196078","43","251","0.171315","1.144551"
"all_frame700_subtypes","sides","2","032","100","102","0.980392","216","251","0.860558","1.139252"
"all_frame700_subtypes","aspect_bin","aspect_ge_1p9","033","57","137","0.416058","79","216","0.365741","1.137577"
"all_frame700_subtypes","long_has_740","has740_false","032","61","102","0.598039","132","251","0.525896","1.137181"
"all_frame700_subtypes","order","700_last","032","17","102","0.166667","37","251","0.14741","1.130631"
"all_frame700_subtypes","side_relation","short_before_all_longer","032","33","102","0.323529","72","251","0.286853","1.127859"
"all_frame700_subtypes","context_class","single_longer_text","033","97","137","0.708029","136","216","0.62963","1.124517"
"all_frame700_subtypes","longer_row_count","1","033","97","137","0.708029","136","216","0.62963","1.124517"
"all_frame700_subtypes","context_class","single_longer_text","032","73","102","0.715686","160","251","0.63745","1.122733"
"all_frame700_subtypes","longer_row_count","1","032","73","102","0.715686","160","251","0.63745","1.122733"
"all_frame700_subtypes","long_has_176","has176_true","034","16","114","0.140351","30","239","0.125523","1.118129"
"all_frame700_subtypes","v_bin","v_8p5_10","032","18","102","0.176471","40","251","0.159363","1.107353"
"all_frame700_subtypes","long_has_176","has176_false","032","95","102","0.931373","212","251","0.844622","1.10271"
"all_frame700_subtypes","aspect_bin","aspect_ge_1p9","032","42","102","0.411765","94","251","0.374502","1.099499"
"all_frame700_subtypes","type","TAB:B","033","73","137","0.532847","105","216","0.486111","1.096142"
"all_frame700_subtypes","long_last_tokens","176","034","12","114","0.105263","23","239","0.096234","1.093822"
"all_frame700_subtypes","long_first_tokens","400","032","36","102","0.352941","82","251","0.326693","1.080344"
"all_frame700_subtypes","side_relation","short_after_all_longer","032","40","102","0.392157","92","251","0.366534","1.069906"
