"scope","feature","value","subtype","in_subtype_count","subtype_total","in_subtype_share","out_subtype_count","out_subtype_total","out_subtype_share","lift_vs_other_subtypes"
"excluding_h2218_h2239","long_edge_frames","740...692","033","3","136","0.022059","4","195","0.020513","1.075368"
"excluding_h2218_h2239","long_last_tokens","032","033","3","136","0.022059","4","195","0.020513","1.075368"
"excluding_h2218_h2239","long_last_tokens","692","033","3","136","0.022059","4","195","0.020513","1.075368"
"excluding_h2218_h2239","short_side_index","2","032","58","102","0.568627","122","229","0.532751","1.067342"
"excluding_h2218_h2239","long_first_tokens","740","032","20","102","0.196078","43","229","0.187773","1.044232"
"excluding_h2218_h2239","sides","2","032","100","102","0.980392","216","229","0.943231","1.039397"
"excluding_h2218_h2239","order","700_first","034","80","93","0.860215","197","238","0.827731","1.039245"
"excluding_h2218_h2239","aspect_bin","aspect_ge_1p9","033","57","136","0.419118","79","195","0.405128","1.034531"
"excluding_h2218_h2239","order","700_last","032","17","102","0.166667","37","229","0.161572","1.031532"
"excluding_h2218_h2239","side_relation","short_before_all_longer","032","33","102","0.323529","72","229","0.31441","1.029003"
"excluding_h2218_h2239","long_has_740","has740_false","034","49","93","0.526882","122","238","0.512605","1.027851"
"excluding_h2218_h2239","context_class","single_longer_text","032","73","102","0.715686","160","229","0.69869","1.024326"
"excluding_h2218_h2239","longer_row_count","1","032","73","102","0.715686","160","229","0.69869","1.024326"
"excluding_h2218_h2239","context_class","single_longer_text","033","97","136","0.713235","136","195","0.697436","1.022654"
"excluding_h2218_h2239","longer_row_count","1","033","97","136","0.713235","136","195","0.697436","1.022654"
"excluding_h2218_h2239","long_has_400","has400_false","032","66","102","0.647059","145","229","0.633188","1.021907"
"excluding_h2218_h2239","long_edge_frames","NO_LONGER_TEXT","032","29","102","0.284314","64","229","0.279476","1.01731"
"excluding_h2218_h2239","long_first_tokens","NO_LONGER_TEXT","032","29","102","0.284314","64","229","0.279476","1.01731"
"excluding_h2218_h2239","long_last_tokens","NO_LONGER_TEXT","032","29","102","0.284314","64","229","0.279476","1.01731"
"excluding_h2218_h2239","long_length_bin","long_len_0","032","29","102","0.284314","64","229","0.279476","1.01731"
"excluding_h2218_h2239","long_token_set","NO_LONGER_TEXT","032","29","102","0.284314","64","229","0.279476","1.01731"
"excluding_h2218_h2239","longer_row_count","0","032","29","102","0.284314","64","229","0.279476","1.01731"
"excluding_h2218_h2239","side_relation","no_longer_text","032","29","102","0.284314","64","229","0.279476","1.01731"
"excluding_h2218_h2239","v_bin","v_8p5_10","032","18","102","0.176471","40","229","0.174672","1.010294"
"excluding_h2218_h2239","type","TAB:I","033","63","136","0.463235","90","195","0.461538","1.003676"
"excluding_h2218_h2239","sides","2","034","89","93","0.956989","227","238","0.953782","1.003363"
"excluding_h2218_h2239","aspect_bin","aspect_ge_1p9","032","42","102","0.411765","94","229","0.41048","1.003129"
"excluding_h2218_h2239","type","TAB:B","033","73","136","0.536765","105","195","0.538462","0.996849"
"excluding_h2218_h2239","order","700_first","032","85","102","0.833333","192","229","0.838428","0.993924"
"excluding_h2218_h2239","long_first_tokens","400","032","36","102","0.352941","82","229","0.358079","0.985653"
"excluding_h2218_h2239","aspect_bin","aspect_lt_1p5","032","7","102","0.068627","16","229","0.069869","0.98223"
"excluding_h2218_h2239","side_relation","short_after_all_longer","032","40","102","0.392157","92","229","0.401747","0.97613"
"excluding_h2218_h2239","order","700_first","033","112","136","0.823529","165","195","0.846154","0.973262"
"excluding_h2218_h2239","long_has_740","has740_true","034","44","93","0.473118","116","238","0.487395","0.970708"
"excluding_h2218_h2239","sides","2","033","127","136","0.933824","189","195","0.969231","0.963469"
"excluding_h2218_h2239","long_has_400","has400_true","032","36","102","0.352941","84","229","0.366812","0.962185"
"excluding_h2218_h2239","long_first_tokens","520","032","3","102","0.029412","7","229","0.030568","0.962185"
"excluding_h2218_h2239","long_length_bin","long_len_6_plus","034","3","93","0.032258","8","238","0.033613","0.959677"
"excluding_h2218_h2239","aspect_bin","aspect_ge_1p9","034","37","93","0.397849","99","238","0.415966","0.956446"
"excluding_h2218_h2239","h_bin","h_13_16","033","49","136","0.360294","74","195","0.379487","0.949424"
"excluding_h2218_h2239","context_class","single_longer_text","034","63","93","0.677419","170","238","0.714286","0.948387"
"excluding_h2218_h2239","longer_row_count","1","034","63","93","0.677419","170","238","0.714286","0.948387"
"excluding_h2218_h2239","long_has_176","has176_false","034","77","93","0.827957","208","238","0.87395","0.947374"
"excluding_h2218_h2239","long_has_176","has176_false","033","113","136","0.830882","172","195","0.882051","0.941989"
"excluding_h2218_h2239","context_class","single_short_no_longer_text","033","21","136","0.154412","32","195","0.164103","0.940947"
"excluding_h2218_h2239","short_side_index","1","032","44","102","0.431373","105","229","0.458515","0.940803"
"excluding_h2218_h2239","sides","3","034","4","93","0.043011","11","238","0.046218","0.930596"
"excluding_h2218_h2239","v_bin","v_lt_7","033","20","136","0.147059","31","195","0.158974","0.925047"
"excluding_h2218_h2239","long_has_400","has400_false","033","82","136","0.602941","129","195","0.661538","0.911423"
"excluding_h2218_h2239","long_edge_frames","NO_LONGER_TEXT","033","36","136","0.264706","57","195","0.292308","0.905573"
"excluding_h2218_h2239","long_first_tokens","NO_LONGER_TEXT","033","36","136","0.264706","57","195","0.292308","0.905573"
"excluding_h2218_h2239","long_last_tokens","NO_LONGER_TEXT","033","36","136","0.264706","57","195","0.292308","0.905573"
"excluding_h2218_h2239","long_length_bin","long_len_0","033","36","136","0.264706","57","195","0.292308","0.905573"
"excluding_h2218_h2239","long_token_set","NO_LONGER_TEXT","033","36","136","0.264706","57","195","0.292308","0.905573"
"excluding_h2218_h2239","longer_row_count","0","033","36","136","0.264706","57","195","0.292308","0.905573"
"excluding_h2218_h2239","side_relation","no_longer_text","033","36","136","0.264706","57","195","0.292308","0.905573"
"excluding_h2218_h2239","area_bin","area_80_120","033","51","136","0.375","81","195","0.415385","0.902778"
"excluding_h2218_h2239","area_bin","area_ge_180","033","20","136","0.147059","32","195","0.164103","0.89614"
"excluding_h2218_h2239","long_length_bin","long_len_4_5","033","39","136","0.286765","64","195","0.328205","0.873736"
"excluding_h2218_h2239","v_bin","v_7_8p5","033","48","136","0.352941","79","195","0.405128","0.871184"
"excluding_h2218_h2239","aspect_bin","aspect_1p5_1p9","032","36","102","0.352941","93","229","0.406114","0.86907"
"excluding_h2218_h2239","context_class","all_short_or_no_longer_text","033","15","136","0.110294","25","195","0.128205","0.860294"
"excluding_h2218_h2239","h_bin","h_lt_10","033","3","136","0.022059","5","195","0.025641","0.860294"
"excluding_h2218_h2239","long_last_tokens","220","033","3","136","0.022059","5","195","0.025641","0.860294"
"excluding_h2218_h2239","long_has_400","has400_true","034","30","93","0.322581","90","238","0.378151","0.853047"
"excluding_h2218_h2239","long_first_tokens","400","034","29","93","0.311828","89","238","0.37395","0.833877"
"excluding_h2218_h2239","order","700_last","034","13","93","0.139785","41","238","0.172269","0.811435"
"excluding_h2218_h2239","long_has_740","has740_false","033","61","136","0.448529","110","195","0.564103","0.79512"
"excluding_h2218_h2239","type","TAB:B","034","42","93","0.451613","136","238","0.571429","0.790323"
"excluding_h2218_h2239","long_length_bin","long_len_4_5","034","24","93","0.258065","79","238","0.331933","0.77746"
"excluding_h2218_h2239","long_has_740","has740_true","032","41","102","0.401961","119","229","0.519651","0.773521"
"excluding_h2218_h2239","aspect_bin","aspect_1p5_1p9","033","45","136","0.330882","84","195","0.430769","0.76812"
"excluding_h2218_h2239","type","TAB:I","032","39","102","0.382353","114","229","0.497817","0.76806"
"excluding_h2218_h2239","v_bin","v_lt_7","032","13","102","0.127451","38","229","0.165939","0.76806"
"excluding_h2218_h2239","long_length_bin","long_len_1_3","032","31","102","0.303922","93","229","0.406114","0.748366"
"excluding_h2218_h2239","h_bin","h_10_13","033","13","136","0.095588","25","195","0.128205","0.745588"
"excluding_h2218_h2239","v_bin","v_ge_10","033","20","136","0.147059","39","195","0.2","0.735294"
"excluding_h2218_h2239","short_side_index","1","033","50","136","0.367647","99","195","0.507692","0.724153"
"excluding_h2218_h2239","aspect_bin","aspect_lt_1p5","034","5","93","0.053763","18","238","0.07563","0.710872"
"excluding_h2218_h2239","long_last_tokens","240","034","3","93","0.032258","11","238","0.046218","0.697947"
"excluding_h2218_h2239","v_bin","v_8p5_10","034","12","93","0.129032","46","238","0.193277","0.667602"
"excluding_h2218_h2239","long_first_tokens","740","034","13","93","0.139785","50","238","0.210084","0.665376"
"excluding_h2218_h2239","short_side_index","2","034","37","93","0.397849","143","238","0.60084","0.662155"
"excluding_h2218_h2239","h_bin","h_13_16","032","28","102","0.27451","95","229","0.414847","0.661713"
"excluding_h2218_h2239","side_relation","short_before_all_longer","033","32","136","0.235294","73","195","0.374359","0.628525"
"excluding_h2218_h2239","v_bin","v_7_8p5","032","27","102","0.264706","100","229","0.436681","0.606176"
"excluding_h2218_h2239","side_relation","short_after_all_longer","034","25","93","0.268817","107","238","0.44958","0.59793"
"excluding_h2218_h2239","context_class","single_short_no_longer_text","034","10","93","0.107527","43","238","0.180672","0.595149"
"excluding_h2218_h2239","area_bin","area_lt_80","033","6","136","0.044118","15","195","0.076923","0.573529"
"excluding_h2218_h2239","area_bin","area_120_180","034","15","93","0.16129","68","238","0.285714","0.564516"
"excluding_h2218_h2239","area_bin","area_ge_180","034","9","93","0.096774","43","238","0.180672","0.535634"
"excluding_h2218_h2239","h_bin","h_ge_16","034","23","93","0.247312","112","238","0.470588","0.525538"
"excluding_h2218_h2239","context_class","all_short_or_no_longer_text","032","7","102","0.068627","33","229","0.144105","0.476233"
"excluding_h2218_h2239","area_bin","area_80_120","032","23","102","0.22549","109","229","0.475983","0.473736"
"excluding_h2218_h2239","v_bin","v_ge_10","034","9","93","0.096774","50","238","0.210084","0.460645"
"excluding_h2218_h2239","long_has_176","has176_true","032","7","102","0.068627","39","229","0.170306","0.402966"
"excluding_h2218_h2239","h_bin","h_10_13","032","5","102","0.04902","33","229","0.144105","0.340166"
"excluding_h2218_h2239","long_edge_frames","400...176","032","3","102","0.029412","30","229","0.131004","0.22451"
"excluding_h2218_h2239","long_last_tokens","176","032","3","102","0.029412","32","229","0.139738","0.210478"
"excluding_h2218_h2239","area_bin","area_missing","034","3","93","0.032258","40","238","0.168067","0.191935"
"excluding_h2218_h2239","aspect_bin","aspect_missing","034","3","93","0.032258","40","238","0.168067","0.191935"
