dataset,id,length,status,actual_loglik,reversed_loglik,actual_minus_reversed,actual_vs_reversed,shuffle_mean_loglik,actual_minus_shuffle_mean,actual_beats_shuffle_mean
clean,M-1,5,scored,-30.167288,-32.24673,2.079442,actual_higher,-31.054945,0.887657,True
clean,M-3,3,scored,-21.654641,-20.961493,-0.693147,reversed_higher,-21.096318,-0.558322,False
clean,M-5,6,scored,-27.573183,-37.878462,10.305279,actual_higher,-36.042069,8.468887,True
clean,M-6,4,scored,-26.200755,-24.696677,-1.504077,reversed_higher,-25.981804,-0.218951,False
clean,M-8,3,scored,-21.625079,-21.625079,0,tie,-21.051716,-0.573363,False
clean,M-9,3,scored,-21.562123,-20.463511,-1.098612,reversed_higher,-21.177609,-0.384514,False
clean,M-12,9,scored,-42.956697,-53.869965,10.913269,actual_higher,-51.90675,8.950053,True
clean,M-13,3,scored,-20.913147,-21.606295,0.693147,actual_higher,-21.377556,0.464409,True
clean,M-14,5,scored,-23.223455,-32.727956,9.504501,actual_higher,-30.357635,7.13418,True
clean,M-15,5,scored,-22.644584,-32.794931,10.150348,actual_higher,-29.491912,6.847329,True
clean,M-16,4,scored,-26.156341,-24.652263,-1.504077,reversed_higher,-26.097991,-0.058349,False
clean,M-17,5,scored,-27.431772,-31.788481,4.356709,actual_higher,-30.823811,3.392038,True
clean,M-18,3,scored,-21.195947,-21.889094,0.693147,actual_higher,-20.429147,-0.7668,False
clean,M-21,8,scored,-42.089974,-47.25476,5.164786,actual_higher,-46.101597,4.011623,True
clean,M-24,7,scored,-34.082035,-43.405704,9.323669,actual_higher,-41.275586,7.193551,True
clean,M-26,5,scored,-24.816258,-32.530489,7.714231,actual_higher,-30.229522,5.413265,True
clean,M-29,9,scored,-43.826284,-54.041951,10.215667,actual_higher,-51.216156,7.389872,True
clean,M-30,7,scored,-35.575212,-43.018291,7.443078,actual_higher,-41.818591,6.243379,True
clean,M-31,6,scored,-30.266167,-36.744164,6.477997,actual_higher,-36.029524,5.763358,True
clean,M-32,4,scored,-17.571559,-26.628748,9.057189,actual_higher,-23.537599,5.96604,True
clean,M-33,7,scored,-37.44473,-43.347363,5.902633,actual_higher,-41.860535,4.415805,True
clean,M-34,7,scored,-37.700122,-43.19729,5.497168,actual_higher,-41.879525,4.179404,True
clean,M-35,7,scored,-34.259663,-43.381173,9.121509,actual_higher,-41.057551,6.797887,True
clean,M-36,9,scored,-44.271997,-53.219152,8.947156,actual_higher,-52.000887,7.72889,True
clean,M-37,3,scored,-16.165976,-21.107618,4.941642,actual_higher,-19.332448,3.166473,True
clean,M-38,13,scored,-60.997562,-73.921279,12.923717,actual_higher,-71.73479,10.737228,True
clean,M-40,5,scored,-31.627286,-32.320433,0.693147,actual_higher,-31.849093,0.221807,True
clean,M-42,5,scored,-24.649473,-32.528007,7.878534,actual_higher,-30.812705,6.163232,True
clean,M-43,6,scored,-31.390084,-36.59957,5.209486,actual_higher,-36.41324,5.023156,True
clean,M-44,8,scored,-39.129838,-47.894672,8.764834,actual_higher,-46.659368,7.52953,True
clean,M-46,8,scored,-36.963869,-48.788974,11.825105,actual_higher,-46.370487,9.406619,True
clean,M-47,5,scored,-20.884627,-32.819547,11.93492,actual_higher,-30.577718,9.693091,True
clean,M-48,6,scored,-32.315387,-36.959778,4.644391,actual_higher,-35.52107,3.205683,True
clean,M-51,8,scored,-38.655087,-48.534282,9.879195,actual_higher,-46.152845,7.497758,True
clean,M-52,10,scored,-51.952082,-55.908805,3.956723,actual_higher,-56.419724,4.467642,True
clean,M-53,9,scored,-44.353119,-53.992641,9.639522,actual_higher,-51.736945,7.383826,True
clean,M-54,7,scored,-36.623878,-42.035524,5.411646,actual_higher,-41.15652,4.532641,True
clean,M-56,8,scored,-40.818804,-48.395414,7.57661,actual_higher,-46.717914,5.89911,True
clean,M-57,6,scored,-35.271699,-37.063458,1.791759,actual_higher,-36.200151,0.928452,True
clean,M-58,5,scored,-23.259894,-32.764395,9.504501,actual_higher,-30.435095,7.175201,True
clean,M-59,5,scored,-29.485256,-31.564697,2.079442,actual_higher,-30.715503,1.230248,True
clean,M-63,4,scored,-24.410182,-26.895088,2.484907,actual_higher,-26.346053,1.935872,True
clean,M-64,6,scored,-32.059485,-37.001127,4.941642,actual_higher,-35.968404,3.908919,True
clean,M-65,6,scored,-33.371085,-36.926433,3.555348,actual_higher,-36.135112,2.764027,True
clean,M-66,8,scored,-39.699253,-47.945293,8.24604,actual_higher,-46.426463,6.72721,True
clean,M-69,5,scored,-24.921828,-32.58805,7.666222,actual_higher,-30.860065,5.938237,True
clean,M-70,5,scored,-25.553259,-32.623133,7.069874,actual_higher,-29.93175,4.378491,True
clean,M-71,6,scored,-35.206191,-37.691098,2.484907,actual_higher,-36.569303,1.363111,True
clean,M-74,4,scored,-25.210048,-26.819485,1.609438,actual_higher,-26.305985,1.095938,True
clean,M-75,5,scored,-22.297926,-31.940049,9.642123,actual_higher,-29.903066,7.60514,True
clean,M-77,5,scored,-26.192824,-31.203459,5.010635,actual_higher,-30.057033,3.864209,True
clean,M-78,4,scored,-21.743784,-27.240952,5.497168,actual_higher,-25.413435,3.66965,True
clean,M-80,5,scored,-26.532434,-32.331526,5.799093,actual_higher,-30.333778,3.801344,True
clean,M-82,6,scored,-33.920591,-35.392408,1.471817,actual_higher,-36.14846,2.227869,True
clean,M-83,3,scored,-19.113111,-20.984914,1.871802,actual_higher,-20.51623,1.403119,True
clean,M-84,6,scored,-30.915529,-37.798992,6.883463,actual_higher,-36.191025,5.275496,True
clean,M-85,5,scored,-28.480994,-31.525517,3.044522,actual_higher,-30.888268,2.407273,True
clean,M-86,7,scored,-33.986702,-42.378332,8.39163,actual_higher,-41.067056,7.080354,True
clean,M-87,3,scored,-20.848357,-21.541504,0.693147,actual_higher,-21.278108,0.429751,True
clean,M-88,3,scored,-20.556423,-21.655035,1.098612,actual_higher,-21.07644,0.520017,True
clean,M-89,5,scored,-27.051541,-32.54871,5.497168,actual_higher,-31.027831,3.976289,True
clean,M-90,6,scored,-27.849846,-38.047495,10.197649,actual_higher,-35.461881,7.612035,True
clean,M-91,9,scored,-41.054424,-53.402778,12.348353,actual_higher,-50.864844,9.81042,True
clean,M-92,7,scored,-35.65644,-43.23305,7.57661,actual_higher,-41.450577,5.794137,True
clean,M-93,5,scored,-29.53988,-32.24793,2.70805,actual_higher,-31.401437,1.861557,True
clean,M-94,5,scored,-24.707835,-32.730732,8.022897,actual_higher,-29.637812,4.929977,True
clean,M-95,5,scored,-27.419556,-31.776265,4.356709,actual_higher,-30.831085,3.411529,True
clean,M-96,2,scored,-14.044587,-16.347172,2.302585,actual_higher,-15.287983,1.243396,True
clean,M-97,3,scored,-19.322545,-21.62513,2.302585,actual_higher,-20.76401,1.441466,True
clean,M-99,5,scored,-27.493016,-32.702502,5.209486,actual_higher,-31.194008,3.700993,True
clean,M-100,6,scored,-28.641111,-38.098312,9.4572,actual_higher,-35.279591,6.638479,True
clean,M-101,6,scored,-30.837805,-37.410088,6.572283,actual_higher,-35.227688,4.389883,True
clean,M-102,4,scored,-25.503283,-26.889577,1.386294,actual_higher,-26.115202,0.611919,True
clean,M-103,4,scored,-20.172096,-25.509634,5.337538,actual_higher,-24.187238,4.015141,True
clean,M-104,5,scored,-26.410095,-32.64842,6.238325,actual_higher,-30.283572,3.873476,True
clean,M-107,6,scored,-32.728678,-37.245017,4.516339,actual_higher,-36.437353,3.708675,True
clean,M-108,7,scored,-39.454619,-41.821742,2.367124,actual_higher,-41.203955,1.749337,True
clean,M-109,7,scored,-35.518568,-43.318322,7.799753,actual_higher,-41.437506,5.918938,True
clean,M-112,8,scored,-41.523132,-48.342056,6.818924,actual_higher,-47.086275,5.563142,True
clean,M-113,6,scored,-31.070951,-37.261266,6.190315,actual_higher,-35.935261,4.86431,True
clean,M-114,6,scored,-29.781687,-37.986906,8.205218,actual_higher,-36.431986,6.650299,True
