opener,closer,opener_occurrences,closer_occurrences,opener_initial,opener_initial_share,closer_initial,closer_initial_share,closer_boundary,closer_boundary_share,opener_boundary,opener_boundary_share,initial_fisher_p,boundary_fisher_p,terminal_fisher_p,composite_score
407,820,55,33,34,0.6181818181818182,1,0.030303030303030304,26,0.7878787878787878,0,0,6.735426621729129e-9,2.9231308102015053e-16,2.9231308102015053e-16,23.70578664038485
407,806,55,51,34,0.6181818181818182,3,0.058823529411764705,29,0.5686274509803921,0,0,3.7369995725383713e-10,1.7478476262987026e-12,1.0839343383225493e-7,21.18497338276392
407,235,55,31,34,0.6181818181818182,0,0,19,0.6129032258064516,0,0,8.273396581947059e-10,2.5842376397209102e-11,3.109036668094925e-9,19.66998370970005
002,820,80,33,1,0.0125,1,0.030303030303030304,26,0.7878787878787878,2,0.025,0.9165613147914424,5.2309264201060734e-17,5.2309264201060734e-17,16.31925986578217
407,798,55,33,34,0.6181818181818182,1,0.030303030303030304,16,0.48484848484848486,0,0,6.735426621729129e-9,8.059531159888934e-9,0.000001727682036734948,16.26532511216581
407,002,55,80,34,0.6181818181818182,1,0.0125,2,0.025,0,0,2.4317277428292737e-16,0.34936428966277994,0.34936428966277994,16.070806539031746
407,003,55,35,34,0.6181818181818182,1,0.02857142857142857,15,0.42857142857142855,0,0,2.6460604585364522e-9,7.092248849793929e-8,8.983515209739475e-7,15.726616271518498
407,032,55,48,34,0.6181818181818182,3,0.0625,16,0.3333333333333333,0,0,1.1455845795117147e-9,0.0000010041421971149325,0.00011328554534149943,14.939177623110893
405,820,27,33,16,0.5925925925925926,1,0.030303030303030304,26,0.7878787878787878,1,0.037037037037037035,0.000001132908729420434,1.3232557883651777e-9,6.112866413643467e-11,14.824161274396833
001,820,59,33,6,0.1016949152542373,1,0.030303030303030304,26,0.7878787878787878,3,0.05084745762711865,0.2086678616029496,1.9841740697260062e-13,1.9841740697260062e-13,13.382964664779067
407,233,55,39,34,0.6181818181818182,1,0.02564102564102564,9,0.23076923076923078,0,0,4.3928645962015534e-10,0.00019922878572056155,0.0015026509826221047,13.057900095052284
405,235,27,31,16,0.5925925925925926,0,0,19,0.6129032258064516,1,0.037037037037037035,1.6305484233811425e-7,0.000002108495919340303,0.000003758623160563207,12.463693534317475
002,806,80,51,1,0.0125,3,0.058823529411764705,29,0.5686274509803921,2,0.025,0.9786713597072005,4.55138563546612e-13,1.5272827735004715e-7,12.351219486381712
405,806,27,51,16,0.5925925925925926,3,0.058823529411764705,29,0.5686274509803921,1,0.037037037037037035,4.2086612944576503e-7,0.0000012586353533350516,0.00007219153167813536,12.275956097772546
407,033,55,40,34,0.6181818181818182,0,0,3,0.075,0,0,1.2210742327103634e-11,0.07137954701441153,0.07137954701441153,12.059684145679064
407,220,55,48,34,0.6181818181818182,3,0.0625,7,0.14583333333333334,0,0,1.1455845795117147e-9,0.003716105956380736,0.008582435184974422,11.37088475252345
002,235,80,31,1,0.0125,0,0,19,0.6129032258064516,2,0.025,0.7207207207206983,1.9494233626345292e-11,4.0796675429258686e-9,10.852326825283882
405,002,27,80,16,0.5925925925925926,1,0.0125,2,0.025,1,0.037037037037037035,4.530285908882707e-11,0.8437917222964241,0.5572209486863261,10.41763912797116
405,798,27,33,16,0.5925925925925926,1,0.030303030303030304,16,0.48484848484848486,1,0.037037037037037035,0.000001132908729420434,0.00008437153413305062,0.0002535570638468742,10.019609130830602
407,705,55,26,34,0.6181818181818182,1,0.038461538461538464,6,0.23076923076923078,0,0,2.19605610805343e-7,0.000709403607471537,0.002567365436563691,9.80746317546619
405,003,27,35,16,0.5925925925925926,1,0.02857142857142857,15,0.42857142857142855,1,0.037037037037037035,6.283696263941469e-7,0.00033567560874639375,0.00017769473093735122,9.67586503050744
033,820,40,33,0,0,1,0.030303030303030304,26,0.7878787878787878,3,0.075,1,2.2652072376199588e-10,2.2652072376199588e-10,9.644892059418195
001,806,59,51,6,0.1016949152542373,3,0.058823529411764705,29,0.5686274509803921,3,0.05084745762711865,0.3228166071504902,9.895452845875174e-10,0.000022511338454737352,9.495608457669988
407,001,55,59,34,0.6181818181818182,6,0.1016949152542373,3,0.05084745762711865,0,0,4.306668640989881e-9,0.1351927939317398,0.1351927939317398,9.234904998577683
001,235,59,31,6,0.1016949152542373,0,0,19,0.6129032258064516,3,0.05084745762711865,0.07236815813338669,8.884375156829795e-9,7.127958452507722e-7,9.19182559157306
405,032,27,48,16,0.5925925925925926,3,0.0625,16,0.3333333333333333,1,0.037037037037037035,8.201159640885328e-7,0.002194716336946331,0.004612932377473714,8.744746337756503
407,590,55,27,34,0.6181818181818182,3,0.1111111111111111,7,0.25925925925925924,0,0,0.000009168185369231498,0.00023358411465525158,0.0008453520339904632,8.669273309998509
220,820,48,33,3,0.0625,1,0.030303030303030304,26,0.7878787878787878,7,0.14583333333333334,0.4600165891305164,6.1092381468388715e-9,1.5010883070862918e-9,8.551239451614917
240,820,25,33,0,0,1,0.030303030303030304,26,0.7878787878787878,1,0.04,1,4.110453187703623e-9,4.110453187703623e-9,8.386110293435665
405,033,27,40,16,0.5925925925925926,0,0,3,0.075,1,0.037037037037037035,1.1601740020402675e-8,0.4672659430122093,0.2062415196743561,8.265912742385568
