sign,object,site,type,symbol,context,role,prev,next,text
806,H-661,Harappa,SEAL:R,NA,rect_copper_register,boundary,055,<END>,+740-055-806+
806,H-1114,Harappa,TAB:B,NA,tablet_account,boundary,235,<END>,+400-740-405-590-235-806+
806,H-1852,Harappa,TAB:B,NA,tablet_account,boundary,740,<END>,+740-806[
806,H-1999,Harappa,TAB:B,Mult,tablet_account,internal,154,467,+400-154-806-467+
806,H-2568,Harappa,POT:T:g,NA,other,internal,798,820,]798-806-820-388[
806,H-1980,Harappa,TAB:B,Phyt,tablet_account,internal,158,475,+400-158-806-475+
806,H-1788,Harappa,TAB:B,NA,tablet_account,internal,154,470,+154-806-470-002-861+
806,H-1731,Harappa,POT:T:s,NA,other,internal,154,000,]154-806-000[
806,H-1657,Harappa,SEAL:S,Bull1:W,square_bull1w_icon,internal,003,235,+740-405-590-032-900-003-806-235-220-032-002-690-921+
806,H-1808,Harappa,TAB:B,NA,tablet_account,internal,158,000,+400-158-806-000+
806,H-1979,Harappa,TAB:B,Phyt,tablet_account,internal,158,467,+740-158-806-467+
806,H-20,Harappa,SEAL:S,Bull1:W,square_bull1w_icon,internal,032,060,+740-176-690-435-255-220-032-806-060-550+
806,H-21,Harappa,SEAL:S,Bull1:W,square_bull1w_icon,boundary,235,002,+405-061-527-555-233-235-806-002-817+
806,H-22,Harappa,SEAL:S,Bull1:W,square_bull1w_icon,boundary,233,002,+740-920-320-233-806-002-405-321+
806,H-25,Harappa,SEAL:S,Bull1:W,square_bull1w_icon,internal,003,033,+740-900-003-806-033-705-235-055+
806,H-27,Harappa,SEAL:S,Bull1:W,square_bull1w_icon,internal,154,468,+154-806-468-001-740-877-032+
806,H-58,Harappa,SEAL:S,Bull1:W,square_bull1w_icon,internal,158,468,+158-806-468-740-752-231-235+
806,H-78,Harappa,SEAL:S,Gaur,square_other_icon,boundary,000,002,]000-806-002-575-000+
806,H-103,Harappa,SEAL:S,NA,square_other_icon,boundary,415,<END>,+159-097/520-033-705/740-717-220-415-806+
806,H-130,Harappa,SEAL:R,NA,rect_copper_register,boundary,231,002,+409-032-845-033-705-231-806-002-595-812-125-717+
806,H-132,Harappa,SEAL:R,NA,rect_copper_register,internal,154,471,+154-806-471-407-845-740-233-231-798+
806,H-135,Harappa,SEAL:R,NA,rect_copper_register,boundary,231,002,+740-773-231-806-002-861+
806,H-143,Harappa,SEAL:R,NA,rect_copper_register,internal,154,469,+154-806-469-001-740-877-032+
806,H-145,Harappa,SEAL:R,NA,rect_copper_register,internal,798,001,]233-798-806-001-922+
806,H-146,Harappa,SEAL:R,NA,rect_copper_register,internal,154,467,+154-806-467-031+
806,M-1986,Mohenjo-daro,SEAL:R,NA,rect_copper_register,internal,154,468,+154-806-468+
806,H-154,Harappa,SEAL:R,NA,rect_copper_register,internal,154,467,+154-806-467-013-817+
806,H-158,Harappa,SEAL:R,NA,rect_copper_register,internal,154,472,+154-806-472-001-740-405-590+
806,H-160,Harappa,SEAL:R,NA,rect_copper_register,internal,154,468,+400-154-806-468+
806,H-189,Harappa,TAB:B,Othr,tablet_account,internal,158,470,+400-158-806-470+
806,H-1105,Harappa,TAB:B,Phyt,tablet_account,internal,158,465,+158-806-465+
806,H-775,Harappa,TAB:B,NA,tablet_account,internal,158,472,+400-158-806-472+
806,H-388,Harappa,SEAL:S,Bull1:W,square_bull1w_icon,boundary,231,002,+520-033-706-231-806-002-817+
806,H-396,Harappa,SEAL:S,Bull1:W,square_bull1w_icon,internal,415,000,+832-904-220-415-806-000[
806,H-405,Harappa,SEAL:S,Bull1:W,square_bull1w_icon,boundary,236,002,+236-806-002-863+
806,H-649,Harappa,SEAL:R,NA,rect_copper_register,boundary,240,002,+520-033-705-233-240-806-002-820+
806,H-654,Harappa,SEAL:R,NA,rect_copper_register,boundary,740,<END>,+405-061-740-806+
