object,cisi,site,metadata_symbol,source_catalogue_symbol,augmented_symbol,terminal,predecessor,source,text
2341.1,M-1914,Mohenjo-daro,Elep,Elep,Elep,817,832,metadata,]000-832-002-817+
2409.1,M-1911,Mohenjo-daro,Rhin,Rhin,Rhin,820,531,metadata,+621-390-531-002-820+
2438.1,M-1913,Mohenjo-daro,Elep,Elep,Elep,817,416,metadata,]416-002-817+
2799.1,M-278,Mohenjo-daro,Elep,Elep,Elep,817,004,metadata,+621-390-004-002-817+
2806.1,M-285,Mohenjo-daro,Elep,Elep,Elep,861,240,metadata,+504-350-240-002-861+
3503.1,M-1136,Mohenjo-daro,Rhin,Rhin,Rhin,820,240,metadata,]740-717-240-002-820+
3504.1,M-1137,Mohenjo-daro,NA,Rhin,Rhin,820,904,source_catalogue,+740-904-002-820+
3505.1,M-1138,Mohenjo-daro,Rhin,Rhin,Rhin,820,017,metadata,+740-585-017-002-820+
3506.1,M-1139,Mohenjo-daro,Rhin,Rhin,Rhin,820,621,metadata,+740-416-621-002-820+
3509.1,M-1148,Mohenjo-daro,Elep,Elep,Elep,861,220,metadata,+520-220-002-861+
3513.1,M-1152,Mohenjo-daro,Elep,Elep,Elep,861,235,metadata,+740-032-840-235-002-861+
3520.1,M-1160,Mohenjo-daro,Elep,Elep,Elep,861,031,metadata,+000-136-031-002-861+
3521.1,M-1161,Mohenjo-daro,Elep,Elep,Elep,861,031,metadata,+520-233-031-002-861+
5464.1,-,Unknown,Elep,NA,Elep,817,140,metadata,+000-840-140-002-817+
