object,site,region,type,material,shape,symbol,condition,complete,initial_520,text
H-91,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Elep,Fair,Y,true,+520-070-253-060-692+
K-85,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Elep,Fair,Y,true,+520-033-002-861+
M-1912,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Fair,Y,true,+520-220-003+
M-279,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,N,true,+520-220-415-002-700-000+
M-1141,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,N,false,+621-520-072-921-368-000-000+
M-1148,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,true,+520-220-002-861+
M-1150,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,Y,false,+621-520-231-240-002-456+
M-1154,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,?,false,+860-520-231-803-001-440[
M-1157,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Fair,N,true,+520-000-000-233+
M-1161,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,true,+520-233-031-002-861+
