"prev","strict_rows","dedup_text_units","cisi_count","dominant_next","dominant_next_rows","dominant_next_share","dedup_dominant_next","dedup_dominant_units","dedup_dominant_share","next_profile","dedup_next_profile","companion_profile","sites","types"
"520","55","38","54","415","26","0.4727","415","10","0.2632","415:26;016:5;240:5;002:3;235:3;003:2;001:1;621:1","415:10;240:5;016:4;002:3;235:3;003:2;001:1;621:1","no_companion_side:35;700_033_branch:4;700_034_branch:4;longer_other:4;700_032_branch:2;companion_starts_520_220:2;one_sign_or_contains_110:2;700_other_branch:1","Harappa;Kalibangan;Lothal;Mohenjo-daro;Nausharo","SEAL:R;SEAL:S;TAB:B;TAB:I"
"740","44","26","44","055","11","0.25","003","6","0.2308","055:11;003:10;415:6;032:4;016:3;000:2;002:1;014:1","003:6;032:4;016:3;000:2;415:2;002:1;014:1;055:1","no_companion_side:38;longer_other:4;700_033_branch:1;700_other_branch:1","Banawali;Harappa;Kalibangan;Lothal;Mohenjo-daro;Nausharo","SEAL:R;SEAL:S;TAB:B;TAB:C;TAB:I;TAG;TAG:L;TAG:W"
"<START>","25","20","23","000","6","0.24","000","6","0.3","000:6;700:3;016:2;032:2;033:2;063:2;455:2;014:1","000:6;063:2;455:2;014:1;016:1;017:1;032:1;033:1","no_companion_side:16;longer_other:5;one_sign_or_contains_110:3;two_sign_other:1","Allahdino;Banawali;Chandigarh;Chanhu-daro;Farmana;Harappa;Karzakan;Mohenjo-daro","MISC;POT:T:g;POT:T:s;SEAL:C;SEAL:R;SEAL:S;TAB:B;TAB:I"
"000","14","13","14","000","3","0.2143","000","3","0.2308","000:3;415:3;002:2;032:2;003:1;004:1;390:1;741:1","000:3;002:2;032:2;415:2;003:1;004:1;390:1;741:1","no_companion_side:11;700_033_branch:2;one_sign_or_contains_110:1","Harappa;Kalibangan;Mohenjo-daro;Tello","POT:T:g;ROD;SEAL:S;TAB:B;TAB:I"
"176","12","5","12","235","7","0.5833","415","2","0.4","235:7;032:2;415:2;803:1","415:2;032:1;235:1;803:1","longer_other:7;no_companion_side:3;700_other_branch:2","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:C"
"240","12","12","12","032","9","0.75","032","9","0.75","032:9;002:1;255:1;415:1","032:9;002:1;255:1;415:1","no_companion_side:12","Chanhu-daro;Harappa;Mohenjo-daro","SEAL;SEAL:R;SEAL:S"
"318","11","1","11","415","11","1","415","1","1","415:11","415:1","no_companion_side:10;one_sign_or_contains_110:1","Harappa","TAB:B"
"002","10","10","10","455","5","0.5","455","5","0.5","455:5;065:3;627:1;880:1","455:5;065:3;627:1;880:1","no_companion_side:9;700_034_branch:1","Harappa;Kalibangan;Mohenjo-daro","SEAL:S;TAB:B;TAG:O"
"590","8","8","6","003","4","0.5","003","4","0.5","003:4;032:1;033:1;235:1;463:1","003:4;032:1;033:1;235:1;463:1","no_companion_side:4;one_sign_or_contains_110:3;one_sign_other:1","Dholavira;Harappa;Kish;Mohenjo-daro;Rupar","POT:T:g;SEAL:R;SEAL:S;TAB:C"
"233","7","7","7","032","4","0.5714","032","4","0.5714","032:4;002:1;240:1;415:1","032:4;002:1;240:1;415:1","no_companion_side:6;longer_other:1","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAG"
"235","5","5","5","032","4","0.8","032","4","0.8","032:4;031:1","032:4;031:1","no_companion_side:4;one_sign_or_contains_110:1","Harappa;Mohenjo-daro;Tarkhanewala-dera","SEAL:R;SEAL:S;TAG"
"845","4","1","4","415","4","1","415","1","1","415:4","415:1","no_companion_side:3;longer_other:1","Mohenjo-daro","TAB:C"
"904","3","3","3","032","3","1","032","3","1","032:3","032:3","no_companion_side:2;longer_other:1","Lothal;Mohenjo-daro","SEAL:R;SEAL:S"
