"policy","pair","description_series","rows","examples"
"mayig_observed_parpola","P324...P385","II","1","M-14"
"mayig_observed_parpola","P324...P385","III","2","M-47;M-58"
"mayig_observed_parpola","P324...P385","IV","7","M-90;M-116;M-118;M-144;M-152;M-164;M-170"
"p385_merge_only","L740...P385","II","1","M-14"
"p385_merge_only","L740...P385","III","2","M-47;M-58"
"p385_merge_only","L740...P385","IV","7","M-90;M-116;M-118;M-144;M-152;M-164;M-170"
"raw_lipi_numeric","L740...L817","II","1","M-14"
"raw_lipi_numeric","L740...L817","III","1","M-58"
"raw_lipi_numeric","L740...L817","IV","4","M-90;M-116;M-144;M-164"
"raw_lipi_numeric","L740...L861","III","1","M-47"
"raw_lipi_numeric","L740...L861","IV","3","M-118;M-152;M-170"
