"fig4_number","manufacturing_group","cisi","harp_object","local_signature_short","side_1_text","side_1_role","side_2_text","side_2_role","side_3_text","side_3_role","exact_template","role_template","template_class","complete_three_role_inventory","interpretation_status"
"2","group_1","H-2221","H97-3304","B_side_swap","+700-034+","role_700_03x","+861-003+","role_861_003","+156-003+","role_15x_003","+700-034+|+861-003+|+156-003+","role_700_03x|role_861_003|role_15x_003","template_700_861_15x","true","no_reading_admissible"
"3","group_1","H-2222","H97-3305","A","+861-003+","role_861_003","+700-034+","role_700_03x","+156-003+","role_15x_003","+861-003+|+700-034+|+156-003+","role_861_003|role_700_03x|role_15x_003","template_861_700_15x","true","no_reading_admissible"
"4","group_1","H-2220","H97-3312","A","+861-003+","role_861_003","+700-034+","role_700_03x","+156-003+","role_15x_003","+861-003+|+700-034+|+156-003+","role_861_003|role_700_03x|role_15x_003","template_861_700_15x","true","no_reading_admissible"
"5","group_1","H-2227","H97-3314","B_side_swap","+700-034+","role_700_03x","+861-003+","role_861_003","+156-003+","role_15x_003","+700-034+|+861-003+|+156-003+","role_700_03x|role_861_003|role_15x_003","template_700_861_15x","true","no_reading_admissible"
"6","group_1","H-2229","H97-3290","A","+861-003+","role_861_003","+700-034+","role_700_03x","+156-003+","role_15x_003","+861-003+|+700-034+|+156-003+","role_861_003|role_700_03x|role_15x_003","template_861_700_15x","true","no_reading_admissible"
"7","group_1","H-2225","H97-3315","A","+861-003+","role_861_003","+700-034+","role_700_03x","+156-003+","role_15x_003","+861-003+|+700-034+|+156-003+","role_861_003|role_700_03x|role_15x_003","template_861_700_15x","true","no_reading_admissible"
"8","group_2","H-2224","H97-3318","A","+861-003+","role_861_003","+700-034+","role_700_03x","+156-003+","role_15x_003","+861-003+|+700-034+|+156-003+","role_861_003|role_700_03x|role_15x_003","template_861_700_15x","true","no_reading_admissible"
"9","group_2","H-2235","H97-3333","B_side_swap","+700-034+","role_700_03x","+861-003+","role_861_003","+156-003+","role_15x_003","+700-034+|+861-003+|+156-003+","role_700_03x|role_861_003|role_15x_003","template_700_861_15x","true","no_reading_admissible"
"10","group_2","H-2219","H97-3317","A","+861-003+","role_861_003","+700-034+","role_700_03x","+156-003+","role_15x_003","+861-003+|+700-034+|+156-003+","role_861_003|role_700_03x|role_15x_003","template_861_700_15x","true","no_reading_admissible"
"11","group_2","H-2218","H97-3319","A","+861-003+","role_861_003","+700-034+","role_700_03x","+156-003+","role_15x_003","+861-003+|+700-034+|+156-003+","role_861_003|role_700_03x|role_15x_003","template_861_700_15x","true","no_reading_admissible"
"12","group_2","H-2228","H97-3316","B_side_swap","+700-034+","role_700_03x","+861-003+","role_861_003","+156-003+","role_15x_003","+700-034+|+861-003+|+156-003+","role_700_03x|role_861_003|role_15x_003","template_700_861_15x","true","no_reading_admissible"
"13","group_2","H-2226","H97-3313","B_side_swap","+700-034+","role_700_03x","+861-003+","role_861_003","+156-003+","role_15x_003","+700-034+|+861-003+|+156-003+","role_700_03x|role_861_003|role_15x_003","template_700_861_15x","true","no_reading_admissible"
"14","group_2","H-2223","H97-3306","A","+861-003+","role_861_003","+700-034+","role_700_03x","+156-003+","role_15x_003","+861-003+|+700-034+|+156-003+","role_861_003|role_700_03x|role_15x_003","template_861_700_15x","true","no_reading_admissible"
"15","group_2","H-2236","H97-3307","A","+861-003+","role_861_003","+700-034+","role_700_03x","+156-003+","role_15x_003","+861-003+|+700-034+|+156-003+","role_861_003|role_700_03x|role_15x_003","template_861_700_15x","true","no_reading_admissible"
"16","group_2","H-2239","H96-3046","A","+861-003+","role_861_003","+700-034+","role_700_03x","+156-003+","role_15x_003","+861-003+|+700-034+|+156-003+","role_861_003|role_700_03x|role_15x_003","template_861_700_15x","true","no_reading_admissible"
"17","group_3","H-2237","H96-3125","154_variant","+700-034+","role_700_03x","+861-003+","role_861_003","+154-003+","role_15x_003","+700-034+|+861-003+|+154-003+","role_700_03x|role_861_003|role_15x_003","template_700_861_15x","true","no_reading_admissible"
"18","group_3","H-2238","H95-2613","033_variant","+700-033+","role_700_03x","+861-003+","role_861_003","+156-003+","role_15x_003","+700-033+|+861-003+|+156-003+","role_700_03x|role_861_003|role_15x_003","template_700_861_15x","true","no_reading_admissible"
"19","group_3","H-2230","H97-3311","B_side_swap","+700-034+","role_700_03x","+861-003+","role_861_003","+156-003+","role_15x_003","+700-034+|+861-003+|+156-003+","role_700_03x|role_861_003|role_15x_003","template_700_861_15x","true","no_reading_admissible"
"20","group_3","H-2233","H97-3341","B_side_swap","+700-034+","role_700_03x","+861-003+","role_861_003","+156-003+","role_15x_003","+700-034+|+861-003+|+156-003+","role_700_03x|role_861_003|role_15x_003","template_700_861_15x","true","no_reading_admissible"
"21","group_3","H-2231","H97-3320","A","+861-003+","role_861_003","+700-034+","role_700_03x","+156-003+","role_15x_003","+861-003+|+700-034+|+156-003+","role_861_003|role_700_03x|role_15x_003","template_861_700_15x","true","no_reading_admissible"
"22","group_3","H-2234","H97-3322","A","+861-003+","role_861_003","+700-034+","role_700_03x","+156-003+","role_15x_003","+861-003+|+700-034+|+156-003+","role_861_003|role_700_03x|role_15x_003","template_861_700_15x","true","no_reading_admissible"
"23","group_3","H-2232","H97-3321","A","+861-003+","role_861_003","+700-034+","role_700_03x","+156-003+","role_15x_003","+861-003+|+700-034+|+156-003+","role_861_003|role_700_03x|role_15x_003","template_861_700_15x","true","no_reading_admissible"
