checked_date,object,row_id,site,type,head,x,next1,terminal,tail,focus,text
2026-05-31,C-71,78.1,Chanhu-daro,SEAL:S,906,003,<END>,true,<END>,false,+000-000-000/000-861-002-906-003+
2026-05-31,C-57,82.1,Chanhu-daro,SEAL:S,296,530,000,false,000,true,+740-032-840-002-296-530-000+
2026-05-31,H-1874,388.2,Harappa,TAB:B,220,455,000,false,000,false,+002-220-455-000+
2026-05-31,-:543.1,543.1,Harappa,POT:T:g,003,861,<END>,true,<END>,true,+000-480-003-064-002-003-861+
2026-05-31,H-55,1114.1,Harappa,SEAL:S,861,125,<END>,true,<END>,true,+390-004-002-861-125+
2026-05-31,H-74,1132.1,Harappa,SEAL:S,610,125,032,false,032,true,+002-610-125-032+
2026-05-31,H-82,1139.1,Harappa,SEAL:S,220,455,741,false,741,false,+390-017-002-220-455-741+
2026-05-31,H-268,1293.1,Harappa,SEAL:S,220,455,920,false,920,false,+740-585-017-033-706-803-002-220-455-920+
2026-05-31,H-486,1474.1,Harappa,SEAL:S,000,861,031,false,031,true,]002-000-861-031+
2026-05-31,H-773,1665.1,Harappa,TAB:B,390,530,741,false,741,true,+740-798-803-002-390-530-741+
2026-05-31,K-10,1885.1,Kalibangan,SEAL:S,368,861,590,false,590-032-368,true,+740-690-435-255-002-368-861-590-032-368+
2026-05-31,K-25,1899.1,Kalibangan,SEAL:S,220,065,132,false,132-082,false,+520-231-002-220-065-132-082+
2026-05-31,L-12,1991.1,Lothal,SEAL:S,130,035,<END>,true,<END>,false,+000-798-000-354-002-130-035[
2026-05-31,M-1692,2226.1,Mohenjo-daro,SEAL:S,190,125,632,false,632-032,true,+390-600-617-002-190-125-632-032+
2026-05-31,M-1665,2473.1,Mohenjo-daro,SEAL:S,610,125,032,false,032,true,+520-033-705-233-240-002-610-125-032+
2026-05-31,M-10,2539.1,Mohenjo-daro,SEAL:S,267,455,<END>,true,<END>,false,+405-061-070-032-033-706-235-806-002-267-455+
2026-05-31,M-29,2557.1,Mohenjo-daro,SEAL:S,220,455,503,false,503,false,+740-055-240-235-806-002-220-455-503+
2026-05-31,M-36,2564.1,Mohenjo-daro,SEAL:S,368,906,329,false,329,false,+740-794-630-220-032-002-368-906-329+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,390,125,632,false,632-032,true,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-41,2569.1,Mohenjo-daro,SEAL:S,405,125,820,false,820,true,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-46,2574.1,Mohenjo-daro,SEAL:S,220,065,215,false,215,false,+740-798-240-235-002-220-065-215+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,390,125,632,false,632-032-900-563,true,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-140,2667.1,Mohenjo-daro,SEAL:S,220,065,440,false,440-455,false,+740-336-002-220-065-440-455+
2026-05-31,M-147,2674.1,Mohenjo-daro,SEAL:S,220,455,520,false,520,false,+226-803-002-220-455-520+
2026-05-31,M-354,2850.1,Mohenjo-daro,SEAL:R,906,125,<END>,true,<END>,true,+740-729-407-845-236-002-906-125+
2026-05-31,M-577,3047.1,Mohenjo-daro,TAB:C,365,460,495,false,495,false,+617-142-597-032-905/407-004-002-365-460-495+
2026-05-31,M-623,3074.1,Mohenjo-daro,SEAL:S,299,530,820,false,820,true,+740-760-175-176-220-415-798-002-299-530-820+
2026-05-31,M-644,3089.1,Mohenjo-daro,SEAL:S,817,090,370,false,370,false,+740-585-017-740-240-002-817-090-370+
2026-05-31,M-683,3119.1,Mohenjo-daro,SEAL:S,298,460,032,false,032,false,+740-798-231-002-298-460-032+
2026-05-31,M-699,3126.1,Mohenjo-daro,SEAL:S,130,035,171,false,171,false,+740-100-415-002-130-035-171+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,390,125,195,false,195,true,+740-760-235-002-390-125-195+
2026-05-31,M-761,3184.1,Mohenjo-daro,SEAL:S,741,455,125,false,125,false,]002-741-455-125+
2026-05-31,M-809,3222.1,Mohenjo-daro,SEAL:S,595,906,<END>,true,<END>,false,+520-460-495-002-595-906+
2026-05-31,M-902,3307.1,Mohenjo-daro,SEAL:S,000,090,<END>,true,<END>,false,+740-798-002-000-090+
2026-05-31,M-958,3353.1,Mohenjo-daro,SEAL:S,900,003,590,false,590,false,+740-772-240-002-900-003-590+
2026-05-31,M-979,3372.1,Mohenjo-daro,SEAL:S,900,003,590,false,590,false,+740-773-240/002-900-003-590+
2026-05-31,M-1112,3483.1,Mohenjo-daro,SEAL:S,130,035,171,false,171,false,+740-585-220/002-130-035-171+
2026-05-31,M-1178,3534.1,Mohenjo-daro,SEAL:S,820,906,000,false,000,false,+002-820-906-000[
2026-05-31,M-1532,3782.1,Mohenjo-daro,TAB:C,365,460,495,false,495,false,+407-004-002-365-460-495+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,390,125,820,false,820,true,+390-004-002-390-125-820+
2026-05-31,M-1909,4002.1,Mohenjo-daro,SEAL:S,590,455,<END>,true,<END>,false,+368-005-002-590-455+
2026-05-31,M-2055,4030.1,Mohenjo-daro,TAB:C,407,125,590,false,590-831,true,+002-407-125-590-831+
2026-05-31,-:4182.1,4182.1,Dholavira,SEAL:S,705,530,904,false,904,true,+740-390-590-231-002-705-530-904+
2026-05-31,-:5226.1,5226.1,Unknown,SEAL:C,000,090,725,false,725-000,false,+002/000-090-725-000+
