checked_date,control_type,label,x000_rows,x000_terminal,x000_rate,non000_rows,non000_terminal,non000_rate,gap,verdict,x000_sites,x000_heads,examples
2026-05-31,baseline,all_xslot_rows,27,24/27,0.889,245,146/245,0.596,0.293,survives,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,000:3;575:3;817:3;031:2;820:2;861:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;892:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,domain,seal_only,16,15/16,0.938,217,128/217,0.590,0.348,survives,Mohenjo-daro:8;Harappa:5;Kalibangan:2;Rakhigarhi:1,000:2;817:2;031:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;575:1;700:1;703:1;820:1,H-1038:297-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END> | K-44:000-000-<END> | M-1787:703-000-<END> | M-1884:416-000-<END>
2026-05-31,domain,non_seal_only,11,9/11,0.818,28,18/28,0.643,0.175,damages_x000_rule,Harappa:3;Nausharo:2;Allahdino:1;Dholavira:1;Kalibangan:1;Mohenjo-daro:1;Shikarpur:1;Tepe Yahya:1,575:2;861:2;000:1;031:1;095:1;520:1;817:1;820:1;892:1,Ad-8:861-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-909:820-000-<END> | M-451:520-000-000 000 906 388 | TY-106:095-000-<END> | -:4344.1:031-000-<END> | K-155:817-000-<END>
2026-05-31,leave_one_site,leave_out_site:Allahdino,26,23/26,0.885,245,146/245,0.596,0.289,survives,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,000:3;575:3;817:3;031:2;820:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;861:1;892:1,H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END> | H-909:820-000-<END>
2026-05-31,leave_one_site,leave_out_site:Harappa,19,16/19,0.842,204,123/204,0.603,0.239,survives,Mohenjo-daro:9;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,000:3;031:2;817:2;861:2;095:1;267:1;296:1;416:1;435:1;520:1;700:1;703:1;820:1;892:1,Ad-8:861-000-<END> | K-44:000-000-<END> | M-1787:703-000-<END> | M-1884:416-000-<END> | M-141:031-000-<END> | M-279:700-000-<END> | M-451:520-000-000 000 906 388 | M-692:817-000-<END>
2026-05-31,leave_one_site,leave_out_site:Kalibangan,24,21/24,0.875,233,140/233,0.601,0.274,survives,Mohenjo-daro:9;Harappa:8;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,575:3;000:2;031:2;817:2;820:2;861:2;095:1;220:1;267:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;892:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,leave_one_site,leave_out_site:Mohenjo-daro,18,16/18,0.889,99,58/99,0.586,0.303,survives,Harappa:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,575:3;000:2;817:2;861:2;031:1;095:1;220:1;267:1;296:1;297:1;452:1;820:1;892:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,leave_one_site,leave_out_site:Tepe Yahya,26,23/26,0.885,245,146/245,0.596,0.289,survives,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1,000:3;575:3;817:3;031:2;820:2;861:2;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;892:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,leave_one_site,leave_out_site:Rakhigarhi,26,24/26,0.923,244,146/244,0.598,0.325,survives,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Shikarpur:1;Tepe Yahya:1,000:3;575:3;817:3;031:2;820:2;861:2;095:1;220:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;892:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,leave_one_site,leave_out_site:Dholavira,26,23/26,0.885,235,137/235,0.583,0.302,survives,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Allahdino:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,000:3;575:3;817:3;820:2;861:2;031:1;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;892:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
