"stratum","short_mark_token","long_text_token","artifact_group_count"
"harappa_tab_b","700","740","82"
"harappa_tab_b","700","400","61"
"harappa_tab_b","033","740","35"
"harappa_tab_b","032","400","24"
"harappa_tab_b","032","740","24"
"harappa_tab_b","033","400","24"
"harappa_tab_b","700","240","22"
"harappa_tab_b","034","740","20"
"harappa_tab_b","034","400","11"
"harappa_tab_b","033","240","10"
"harappa_tab_b","700","002","10"
"harappa_tab_b","700","220","9"
"harappa_tab_b","700","520","9"
"harappa_tab_b","700","031","8"
"harappa_tab_b","700","032","8"
"harappa_tab_b","700","100","8"
"harappa_tab_b","700","176","8"
"harappa_tab_b","700","415","8"
"harappa_tab_b","700","692","8"
"harappa_tab_b","700","151","7"
"harappa_tab_b","700","255","7"
"harappa_tab_b","700","390","7"
"harappa_tab_b","700","690","7"
"harappa_tab_b","700","892","7"
"harappa_tab_b","032","002","6"
"harappa_tab_b","700","001","6"
"harappa_tab_b","700","060","6"
"harappa_tab_b","700","233","6"
"harappa_tab_b","700","435","6"
"harappa_tab_b","700","590","6"
"harappa_tab_b","700","817","6"
"harappa_tab_b","700","820","6"
"harappa_tab_b","032","817","5"
"harappa_tab_b","033","100","5"
"harappa_tab_b","033","220","5"
"harappa_tab_b","034","060","5"
"harappa_tab_b","034","240","5"
"harappa_tab_b","700","140","5"
"harappa_tab_b","700","617","5"
"harappa_tab_b","700","642","5"
"harappa_tab_b","700","705","5"
"harappa_tab_b","032","240","4"
"harappa_tab_b","032","520","4"
"harappa_tab_b","033","002","4"
"harappa_tab_b","033","032","4"
"harappa_tab_b","033","176","4"
"harappa_tab_b","033","233","4"
"harappa_tab_b","033","390","4"
"harappa_tab_b","033","415","4"
"harappa_tab_b","033","590","4"
"harappa_tab_b","033","642","4"
"harappa_tab_b","033","692","4"
"harappa_tab_b","033","705","4"
"harappa_tab_b","034","151","4"
"harappa_tab_b","034","692","4"
"harappa_tab_b","700","142","4"
"harappa_tab_b","700","235","4"
"harappa_tab_b","700","236","4"
"harappa_tab_b","700","798","4"
"harappa_tab_b","700","904","4"
"harappa_tab_b","032","001","3"
"harappa_tab_b","032","031","3"
"harappa_tab_b","032","032","3"
"harappa_tab_b","032","140","3"
"harappa_tab_b","032","220","3"
"harappa_tab_b","032","255","3"
"harappa_tab_b","032","617","3"
"harappa_tab_b","032","820","3"
"harappa_tab_b","032","892","3"
"harappa_tab_b","033","031","3"
"harappa_tab_b","033","236","3"
"harappa_tab_b","033","435","3"
"harappa_tab_b","033","520","3"
"harappa_tab_b","033","690","3"
"harappa_tab_b","033","803","3"
"harappa_tab_b","033","820","3"
"harappa_tab_b","033","892","3"
"harappa_tab_b","034","176","3"
"harappa_tab_b","700","003","3"
"harappa_tab_b","700","004","3"
"harappa_tab_b","700","033","3"
"harappa_tab_b","700","035","3"
"harappa_tab_b","700","061","3"
"harappa_tab_b","700","154","3"
"harappa_tab_b","700","171","3"
"harappa_tab_b","700","219","3"
"harappa_tab_b","700","336","3"
"harappa_tab_b","700","337","3"
"harappa_tab_b","700","352","3"
"harappa_tab_b","700","482","3"
"harappa_tab_b","700","526","3"
"harappa_tab_b","700","550","3"
"harappa_tab_b","700","554","3"
"harappa_tab_b","700","741","3"
"harappa_tab_b","700","803","3"
"harappa_tab_b","700","840","3"
"harappa_tab_b","700","920","3"
"harappa_tab_i","700","740","83"
"harappa_tab_i","700","400","63"
"harappa_tab_i","033","740","39"
"harappa_tab_i","700","176","37"
"harappa_tab_i","033","400","29"
"harappa_tab_i","034","740","24"
"harappa_tab_i","700","032","21"
"harappa_tab_i","034","400","19"
"harappa_tab_i","033","176","18"
"harappa_tab_i","032","740","17"
"harappa_tab_i","034","176","13"
"harappa_tab_i","032","400","12"
"harappa_tab_i","700","240","11"
"harappa_tab_i","700","220","10"
"harappa_tab_i","700","415","10"
"harappa_tab_i","033","032","9"
"harappa_tab_i","700","840","9"
"harappa_tab_i","700","520","7"
"harappa_tab_i","700","690","7"
"harappa_tab_i","032","032","6"
"harappa_tab_i","032","176","6"
"harappa_tab_i","033","840","6"
"harappa_tab_i","034","032","6"
"harappa_tab_i","034","415","6"
"harappa_tab_i","700","636","6"
"harappa_tab_i","700","861","6"
"harappa_tab_i","034","002","5"
"harappa_tab_i","034","416","5"
"harappa_tab_i","034","861","5"
"harappa_tab_i","700","002","5"
"harappa_tab_i","700","156","5"
"harappa_tab_i","700","416","5"
"harappa_tab_i","700","760","5"
"harappa_tab_i","032","240","4"
"harappa_tab_i","032","690","4"
"harappa_tab_i","034","220","4"
"harappa_tab_i","034","520","4"
"harappa_tab_i","690","740","4"
"harappa_tab_i","700","013","4"
"harappa_tab_i","700","550","4"
"harappa_tab_i","700","578","4"
"harappa_tab_i","700","799","4"
"harappa_tab_i","700","817","4"
"harappa_tab_i","003","740","3"
"harappa_tab_i","032","158","3"
"harappa_tab_i","032","550","3"
"harappa_tab_i","033","013","3"
"harappa_tab_i","033","220","3"
"harappa_tab_i","033","590","3"
"harappa_tab_i","034","156","3"
"harappa_tab_i","034","565","3"
"harappa_tab_i","690","032","3"
"harappa_tab_i","690","400","3"
"harappa_tab_i","700","027","3"
"harappa_tab_i","700","031","3"
"harappa_tab_i","700","090","3"
"harappa_tab_i","700","100","3"
"harappa_tab_i","700","158","3"
"harappa_tab_i","700","231","3"
"harappa_tab_i","700","255","3"
"harappa_tab_i","700","336","3"
"harappa_tab_i","700","526","3"
"harappa_tab_i","700","565","3"
"harappa_tab_i","700","741","3"
"harappa_tab_i","700","824","3"
"harappa_tab_i","861","740","3"
