"tokenization","scope","position_type","length","position","observations","unique_tokens","entropy_bits","normalized_entropy"
"sign_tokens","real_series_d_513_all_lengths","absolute","","0","513","58","5.256566","0.897334"
"sign_tokens","real_series_d_513_all_lengths","absolute","","1","513","72","5.56927","0.902648"
"sign_tokens","real_series_d_513_all_lengths","absolute","","2","510","62","5.13581","0.862553"
"sign_tokens","real_series_d_513_all_lengths","absolute","","3","480","56","5.088253","0.876174"
"sign_tokens","real_series_d_513_all_lengths","absolute","","4","441","54","5.185254","0.901017"
"sign_tokens","real_series_d_513_all_lengths","absolute","","5","421","55","4.793448","0.829121"
"sign_tokens","real_series_d_513_all_lengths","absolute","","6","372","46","4.300139","0.778508"
"sign_tokens","real_series_d_513_all_lengths","absolute","","7","300","48","4.232771","0.757887"
"sign_tokens","real_series_d_513_all_lengths","absolute","","8","214","34","4.223622","0.830202"
"sign_tokens","real_series_d_513_all_lengths","absolute","","9","151","27","3.905001","0.82126"
"sign_tokens","real_series_d_513_all_lengths","absolute","","10","111","20","3.43956","0.795839"
"sign_tokens","real_series_d_513_all_lengths","absolute","","11","71","15","3.130359","0.80124"
"sign_tokens","real_series_d_513_all_lengths","absolute","","12","48","11","2.75777","0.797174"
"sign_tokens","real_series_d_513_all_lengths","absolute","","13","29","10","2.899568","0.872857"
"sign_tokens","real_series_d_513_all_lengths","absolute","","14","14","9","2.950212","0.930688"
"sign_tokens","real_series_d_513_all_lengths","absolute","","15","7","5","2.235926","0.962961"
"sign_tokens","real_series_d_513_all_lengths","absolute","","16","4","2","1","1"
"sign_tokens","real_series_d_513_all_lengths","absolute","","17","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","absolute","","18","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","absolute","","19","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","2","0","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","2","1","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","3","0","30","15","3.628073","0.928634"
"sign_tokens","real_series_d_513_all_lengths","length_position","3","1","30","15","3.669577","0.939258"
"sign_tokens","real_series_d_513_all_lengths","length_position","3","2","30","8","2.140336","0.713445"
"sign_tokens","real_series_d_513_all_lengths","length_position","4","0","39","20","4.041061","0.935013"
"sign_tokens","real_series_d_513_all_lengths","length_position","4","1","39","21","4.16042","0.947204"
"sign_tokens","real_series_d_513_all_lengths","length_position","4","2","39","13","3.266708","0.882789"
