prev_before_002,raw_rows,branches_after_390,objects,strict_source_visible_objects,verdict
004,2,095 125,H-1993 Sktd-1,,live_prev_conditioner_candidate
032,2,590 692,M-70 -:3335.1,M-70,live_prev_conditioner_candidate
235,2,125,M-38 M-735,M-735,live_prev_conditioner_candidate
003,1,072,H-68,,singleton_prev_conditioner_not_promoted
031,1,705,M-1825,,singleton_prev_conditioner_not_promoted
061,1,140,M-708,,singleton_prev_conditioner_not_promoted
142,1,095,M-71,M-71,live_prev_conditioner_candidate
236,1,707,M-232,,singleton_prev_conditioner_not_promoted
384,1,346,M-213,,singleton_prev_conditioner_not_promoted
388,1,705,-:4237.1,,singleton_prev_conditioner_not_promoted
484,1,125,M-119,M-119,live_prev_conditioner_candidate
803,1,530,H-773,,singleton_prev_conditioner_not_promoted
