date,repair_id,cisi,role,route_rank,queue_rank,volume,page_index,source_url,match_text,source_grade_status,source_page,source_page_sha256,image_width,image_height,xml_width,xml_height,ocr_label_coords_xml,label_box_image_coords,label_box_width,label_box_height,label_match_compactness_status,method,candidate_rank,crop_box_xyxy,crop_width,crop_height,crop_aspect_ratio,dark_pixel_fraction,component_area_downsampled,component_bbox_image_coords,component_centroid_image_coords,component_score,ocr_word_overlap_count,label_box_overlap_fraction,label_exclusion_status,candidate_preflight_status,source_crop,enhanced_crop,source_crop_sha256,enhanced_crop_sha256,notes,accepted_claims_increment
2026-05-29,directionality_panel_crop_repair_v1_object_panel_candidates,H-158,real_route_negative_candidate,1,30,cisi_india,237,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n237_w2000.jpg,H-158,public_cisi_plate_route_candidate_volume_mismatch_check_needed,tmp/effective_unicity_directionality_public_route_probe_v2/pages/30_H_158_cisi_india_n237_1.jpg,f4140ae624d063b47632587d4b78fbf7aef6d6604ffed197be41d08d1528b24f,2443,3460,2443,3460,1141|2950|1237|2980,1141|2950|1237|2980,96,30,compact_label_match_candidate,above_label_wide,1,581|1970|1797|2880,1216,910,1.336264,0.239505,,,,,1,0.0,label_box_excluded,candidate_requires_visual_label_leak_and_single_panel_preflight,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_158_cisi_india_n237_r1_1_above_label_wide_source.png,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_158_cisi_india_n237_r1_1_above_label_wide_enhanced_x2.png,91e9d887f58f37e8f788dd10a3c29c14f725d41393738778dcb497ff72cb90fb,5f1fbef3d6e44c191fd51c50e43f6fd103da2aad376d08cd8644513c3e63b2e0,"Object-panel repair candidate only. It is not a blind packet row until visual preflight confirms no catalogue label, exactly one comparable object/signband, and no source-selection leakage.",0
2026-05-29,directionality_panel_crop_repair_v1_object_panel_candidates,H-158,real_route_negative_candidate,1,30,cisi_india,237,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n237_w2000.jpg,H-158,public_cisi_plate_route_candidate_volume_mismatch_check_needed,tmp/effective_unicity_directionality_public_route_probe_v2/pages/30_H_158_cisi_india_n237_1.jpg,f4140ae624d063b47632587d4b78fbf7aef6d6604ffed197be41d08d1528b24f,2443,3460,2443,3460,1141|2950|1237|2980,1141|2950|1237|2980,96,30,compact_label_match_candidate,below_label_wide,2,581|3050|1797|3460,1216,410,2.965854,0.0,,,,,0,0.0,label_box_excluded,candidate_requires_visual_label_leak_and_single_panel_preflight,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_158_cisi_india_n237_r1_2_below_label_wide_source.png,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_158_cisi_india_n237_r1_2_below_label_wide_enhanced_x2.png,07266ea1ab897cb5ac68ff632e1a8fa005a6a2d5130731c817f05209df064ac1,b6df6a9f77a64d064026ebcceaaec371218dd71b7c4c445269faca1902884bc1,"Object-panel repair candidate only. It is not a blind packet row until visual preflight confirms no catalogue label, exactly one comparable object/signband, and no source-selection leakage.",0
2026-05-29,directionality_panel_crop_repair_v1_object_panel_candidates,H-158,real_route_negative_candidate,1,30,cisi_india,237,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n237_w2000.jpg,H-158,public_cisi_plate_route_candidate_volume_mismatch_check_needed,tmp/effective_unicity_directionality_public_route_probe_v2/pages/30_H_158_cisi_india_n237_1.jpg,f4140ae624d063b47632587d4b78fbf7aef6d6604ffed197be41d08d1528b24f,2443,3460,2443,3460,1141|2950|1237|2980,1141|2950|1237|2980,96,30,compact_label_match_candidate,around_label_without_center_label,3,581|2390|1797|3460,1216,1070,1.136449,0.153542,,,,,4,1.0,label_box_overlaps_crop_preflight_fail,label_box_overlap_preflight_fail,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_158_cisi_india_n237_r1_3_around_label_without_center_label_source.png,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_158_cisi_india_n237_r1_3_around_label_without_center_label_enhanced_x2.png,e5a04e1cb159af95a1a4e75fd2e64d1bc1022a9078e375b949e5405ffce088ed,aa25753f626c03a79b84c316c819e835394b6282d89224f9f7a8420979508728,"Object-panel repair candidate only. It is not a blind packet row until visual preflight confirms no catalogue label, exactly one comparable object/signband, and no source-selection leakage.",0
2026-05-29,directionality_panel_crop_repair_v1_object_panel_candidates,H-158,real_route_negative_candidate,1,30,cisi_india,237,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n237_w2000.jpg,H-158,public_cisi_plate_route_candidate_volume_mismatch_check_needed,tmp/effective_unicity_directionality_public_route_probe_v2/pages/30_H_158_cisi_india_n237_1.jpg,f4140ae624d063b47632587d4b78fbf7aef6d6604ffed197be41d08d1528b24f,2443,3460,2443,3460,1141|2950|1237|2980,1141|2950|1237|2980,96,30,compact_label_match_candidate,component_nearest_high_score,4,879|2617|1521|2975,642,358,1.793296,0.342196,8642,924|2662|1476|2930,1199|2796,50772.13723,2,0.833333,label_box_overlaps_crop_preflight_fail,label_box_overlap_preflight_fail,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_158_cisi_india_n237_r1_4_component_nearest_high_score_source.png,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_158_cisi_india_n237_r1_4_component_nearest_high_score_enhanced_x2.png,14a7e808ba2bfdb185d5a9dd681ec3c07a213011855411a2c4ca08ec7d530f56,08607710288bddbc6cb5d2bdfe7c5acd4ea2b0988b6fead1267712bcd081ee6d,"Object-panel repair candidate only. It is not a blind packet row until visual preflight confirms no catalogue label, exactly one comparable object/signband, and no source-selection leakage.",0
2026-05-29,directionality_panel_crop_repair_v1_object_panel_candidates,H-158,real_route_negative_candidate,1,30,cisi_india,237,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n237_w2000.jpg,H-158,public_cisi_plate_route_candidate_volume_mismatch_check_needed,tmp/effective_unicity_directionality_public_route_probe_v2/pages/30_H_158_cisi_india_n237_1.jpg,f4140ae624d063b47632587d4b78fbf7aef6d6604ffed197be41d08d1528b24f,2443,3460,2443,3460,1141|2950|1237|2980,1141|2950|1237|2980,96,30,compact_label_match_candidate,component_above_high_score,5,879|2617|1521|2975,642,358,1.793296,0.342196,8642,924|2662|1476|2930,1199|2796,50772.13723,2,0.833333,label_box_overlaps_crop_preflight_fail,label_box_overlap_preflight_fail,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_158_cisi_india_n237_r1_5_component_above_high_score_source.png,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_158_cisi_india_n237_r1_5_component_above_high_score_enhanced_x2.png,14a7e808ba2bfdb185d5a9dd681ec3c07a213011855411a2c4ca08ec7d530f56,08607710288bddbc6cb5d2bdfe7c5acd4ea2b0988b6fead1267712bcd081ee6d,"Object-panel repair candidate only. It is not a blind packet row until visual preflight confirms no catalogue label, exactly one comparable object/signband, and no source-selection leakage.",0
2026-05-29,directionality_panel_crop_repair_v1_object_panel_candidates,H-158,real_route_negative_candidate,1,30,cisi_india,237,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n237_w2000.jpg,H-158,public_cisi_plate_route_candidate_volume_mismatch_check_needed,tmp/effective_unicity_directionality_public_route_probe_v2/pages/30_H_158_cisi_india_n237_1.jpg,f4140ae624d063b47632587d4b78fbf7aef6d6604ffed197be41d08d1528b24f,2443,3460,2443,3460,1141|2950|1237|2980,1141|2950|1237|2980,96,30,compact_label_match_candidate,component_largest_in_search,6,71|1605|845|3347,774,1742,0.444317,0.273069,42071,116|1650|800|3302,418|2324,41927.696545,2,0.0,label_box_excluded,candidate_requires_visual_label_leak_and_single_panel_preflight,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_158_cisi_india_n237_r1_6_component_largest_in_search_source.png,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_158_cisi_india_n237_r1_6_component_largest_in_search_enhanced_x2.png,7a73a90c3613f688b8afc7c43dd27fbe4b31b2eb9a471805a3af53db087d6df3,6aa881918577ae3e4c3cac5599449d008284b56086322ff942ad30353346ce17,"Object-panel repair candidate only. It is not a blind packet row until visual preflight confirms no catalogue label, exactly one comparable object/signband, and no source-selection leakage.",0
2026-05-29,directionality_panel_crop_repair_v1_object_panel_candidates,H-421,reserve_route_negative_candidate,1,43,cisi_pakistan,305,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n305_w2000.jpg,H421,public_cisi_plate_route_candidate_needs_visual_review,tmp/effective_unicity_directionality_public_route_probe_v2/pages/43_H_421_cisi_pakistan_n305_1.jpg,4654f06c3aa933bbf607fbe252945ec5d184044ad59c897444f9c14aba4858ec,3275,4544,3275,4544,903|2976|1027|3016,903|2976|1027|3016,124,40,compact_label_match_candidate,above_label_wide,1,343|1996|1587|2906,1244,910,1.367033,0.753627,,,,,0,0.0,label_box_excluded,candidate_requires_visual_label_leak_and_single_panel_preflight,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_421_cisi_pakistan_n305_r1_1_above_label_wide_source.png,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_421_cisi_pakistan_n305_r1_1_above_label_wide_enhanced_x2.png,fa9965d910d831e4b1f9addd141f029b11aee73657e6ed6eec80242c15f6d2f5,5e8fb77bcc7e6099031f847c29a579a49b86b61490fc2c53e2dec7c10e359ccd,"Object-panel repair candidate only. It is not a blind packet row until visual preflight confirms no catalogue label, exactly one comparable object/signband, and no source-selection leakage.",0
2026-05-29,directionality_panel_crop_repair_v1_object_panel_candidates,H-421,reserve_route_negative_candidate,1,43,cisi_pakistan,305,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n305_w2000.jpg,H421,public_cisi_plate_route_candidate_needs_visual_review,tmp/effective_unicity_directionality_public_route_probe_v2/pages/43_H_421_cisi_pakistan_n305_1.jpg,4654f06c3aa933bbf607fbe252945ec5d184044ad59c897444f9c14aba4858ec,3275,4544,3275,4544,903|2976|1027|3016,903|2976|1027|3016,124,40,compact_label_match_candidate,below_label_wide,2,343|3086|1587|3996,1244,910,1.367033,0.376161,,,,,0,0.0,label_box_excluded,candidate_requires_visual_label_leak_and_single_panel_preflight,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_421_cisi_pakistan_n305_r1_2_below_label_wide_source.png,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_421_cisi_pakistan_n305_r1_2_below_label_wide_enhanced_x2.png,8410a131699146157501226a2785d9598d3a7fb6b6f18ff38dce4fe4da74fadc,237307f01c63129edc0c470bf4e397b00160605f0dac1487946824d3c23d05c7,"Object-panel repair candidate only. It is not a blind packet row until visual preflight confirms no catalogue label, exactly one comparable object/signband, and no source-selection leakage.",0
2026-05-29,directionality_panel_crop_repair_v1_object_panel_candidates,H-421,reserve_route_negative_candidate,1,43,cisi_pakistan,305,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n305_w2000.jpg,H421,public_cisi_plate_route_candidate_needs_visual_review,tmp/effective_unicity_directionality_public_route_probe_v2/pages/43_H_421_cisi_pakistan_n305_1.jpg,4654f06c3aa933bbf607fbe252945ec5d184044ad59c897444f9c14aba4858ec,3275,4544,3275,4544,903|2976|1027|3016,903|2976|1027|3016,124,40,compact_label_match_candidate,around_label_without_center_label,3,343|2416|1587|3576,1244,1160,1.072414,0.405627,,,,,2,1.0,label_box_overlaps_crop_preflight_fail,label_box_overlap_preflight_fail,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_421_cisi_pakistan_n305_r1_3_around_label_without_center_label_source.png,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_421_cisi_pakistan_n305_r1_3_around_label_without_center_label_enhanced_x2.png,527bcea072eff9ef5d6b85e0e4b7433e04167c3e29697ee8740b82bdafca5134,9d38376e399a9619be65ca2830f18fd16fa8467da354979539dbea03045c00c7,"Object-panel repair candidate only. It is not a blind packet row until visual preflight confirms no catalogue label, exactly one comparable object/signband, and no source-selection leakage.",0
2026-05-29,directionality_panel_crop_repair_v1_object_panel_candidates,H-421,reserve_route_negative_candidate,1,43,cisi_pakistan,305,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n305_w2000.jpg,H421,public_cisi_plate_route_candidate_needs_visual_review,tmp/effective_unicity_directionality_public_route_probe_v2/pages/43_H_421_cisi_pakistan_n305_1.jpg,4654f06c3aa933bbf607fbe252945ec5d184044ad59c897444f9c14aba4858ec,3275,4544,3275,4544,903|2976|1027|3016,903|2976|1027|3016,124,40,compact_label_match_candidate,component_nearest_high_score,4,211|1631|1609|3021,1398,1390,1.005755,0.546182,79356,256|1676|1564|2976,887|2332,118431.219327,2,1.0,label_box_overlaps_crop_preflight_fail,label_box_overlap_preflight_fail,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_421_cisi_pakistan_n305_r1_4_component_nearest_high_score_source.png,tmp/effective_unicity_directionality_panel_crop_repair/candidates/H_421_cisi_pakistan_n305_r1_4_component_nearest_high_score_enhanced_x2.png,d79b59597698fc64b6fbe375613742b80fc4878a758e07ba2bd9d265d9d59330,bea7cab11555b8f8cb71744afb48c223e33989ef1e6d06d135bf03c14e2e518c,"Object-panel repair candidate only. It is not a blind packet row until visual preflight confirms no catalogue label, exactly one comparable object/signband, and no source-selection leakage.",0
