checked_date,motif,cisi,row_id,site,type,symbol,cult,prev_before_motif,next_after_motif,local_context,text
2026-05-31,610-125-032,H-74,1132.1,Harappa,SEAL:S,Bull1:J,RAN,002,<END>,002-610-125-032,+002-610-125-032+
2026-05-31,610-125-032,M-1665,2473.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,002,<END>,233-240-002-610-125-032,+520-033-705-233-240-002-610-125-032+
2026-05-31,297-350-125-413,Blk-1,19.1,Bala-kot,SEAL:S,Bull1,-,002,<END>,226-003-002-297-350-125-413,+226-003-002-297-350-125-413+
2026-05-31,297-350-125-413,Ns-60,5361.1,Nausharo,SEAL:R,None,None,002,<END>,236-798-002-297-350-125-413,+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,350-125-413,Blk-1,19.1,Bala-kot,SEAL:S,Bull1,-,297,<END>,003-002-297-350-125-413,+226-003-002-297-350-125-413+
2026-05-31,350-125-413,Ns-60,5361.1,Nausharo,SEAL:R,None,None,297,<END>,798-002-297-350-125-413,+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,125-413,Blk-1,19.1,Bala-kot,SEAL:S,Bull1,-,350,<END>,002-297-350-125-413,+226-003-002-297-350-125-413+
2026-05-31,125-413,Ns-60,5361.1,Nausharo,SEAL:R,None,None,350,<END>,002-297-350-125-413,+407-063-740-176-236-798-002-297-350-125-413+
2026-05-31,125-032,H-74,1132.1,Harappa,SEAL:S,Bull1:J,RAN,610,<END>,002-610-125-032,+002-610-125-032+
2026-05-31,125-032,M-1665,2473.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,610,<END>,240-002-610-125-032,+520-033-705-233-240-002-610-125-032+
2026-05-31,125-032,M-356,2852.1,Mohenjo-daro,SEAL:R,None,None,420,820,400-595-420-125-032-820-920-140,+400-595-420-125-032-820-920-140+
2026-05-31,610-125,H-74,1132.1,Harappa,SEAL:S,Bull1:J,RAN,002,032,002-610-125-032,+002-610-125-032+
2026-05-31,610-125,M-1665,2473.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,002,032,233-240-002-610-125-032,+520-033-705-233-240-002-610-125-032+
2026-05-31,297-350,Blk-1,19.1,Bala-kot,SEAL:S,Bull1,-,002,125,226-003-002-297-350-125-413,+226-003-002-297-350-125-413+
2026-05-31,297-350,Ns-60,5361.1,Nausharo,SEAL:R,None,None,002,125,236-798-002-297-350-125-413,+407-063-740-176-236-798-002-297-350-125-413+
