checked_date,object,row_id,site,type,symbol,cult,head_after_002,prev_before_002,preceded_by_032,next_after_head,tail_after_head,terminal_after_head,text
2026-05-31,Ad-8,13.1,Allahdino,MISC,Elep,SAN,861,503,false,000,000,false,+740-440-503-002-861-000+
2026-05-31,-:18.1,18.1,Bakkar Buthi,POT:T:g,None,None,861,840,false,<END>,<END>,true,+405-844-032-840-002-861+
2026-05-31,-:4310.1,4310.1,Dholavira,TAG,-,-,817,<START>,false,<END>,<END>,true,]002-817[
2026-05-31,K-416,5331.1,Kalibangan,POT:T:g,-,-,861,000,false,<END>,<END>,true,]000-002-861[
2026-05-31,-:52.1,52.1,Bhirrana,SEAL:S,Bull1,RAN,820,236,false,<END>,<END>,true,+236-002-820+
2026-05-31,M-32,2560.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,817,003,false,<END>,<END>,true,+390-003-002-817+
2026-05-31,C-65,62.1,Chanhu-daro,SEAL:S,Bull1:W,SAF,861,032,true,<END>,<END>,true,+000-100-240-220-032-002-861+
2026-05-31,C-60,69.1,Chanhu-daro,SEAL:S,Bull1:W,SAN,861,032,true,<END>,<END>,true,+740-176-032-002-861+
2026-05-31,C-58,74.1,Chanhu-daro,SEAL:S,Bull1,-,861,235,false,<END>,<END>,true,+032-031/740-222-235-002-861+
2026-05-31,C-74,76.1,Chanhu-daro,SEAL:S,Gaur,Trough,861,125,false,<END>,<END>,true,+125-002-861+
2026-05-31,C-78,81.1,Chanhu-daro,SEAL:S,None,None,817,240,false,<END>,<END>,true,+740-636-240/002-817+
2026-05-31,-:4234.1,4234.1,Dholavira,SEAL:S,Bull1,-,820,000,false,<END>,<END>,true,]000-000-002-820+
2026-05-31,H-501,1479.1,Harappa,SEAL:S,Bull1,SAN,817,803,false,<END>,<END>,true,+520-233-803-002-817+
2026-05-31,C-4,92.1,Chanhu-daro,SEAL:S,Bull1:L,RAN,817,803,false,<END>,<END>,true,+520-235-803-002-817+
2026-05-31,C-10,98.1,Chanhu-daro,SEAL:S,Bull1:W,SAN,817,032,true,<END>,<END>,true,+740-231-220-032-002-817+
2026-05-31,C-18,106.1,Chanhu-daro,SEAL:S,Bull1,-,817,031,false,<END>,<END>,true,]000-031-002-817+
