id,object,site,type,full_left,left_last2,left_last1,branch_after_390,tail_after_branch,terminal_after_branch,source_status,exact_full_left_decision,full_left_rows,full_left_heads,full_left_002390_branches,full_left_objects,full_left_verdict,left_last2_rows,left_last2_heads,left_last2_002390_branches,left_last2_objects,left_last2_verdict,left_last1_rows,left_last1_heads,left_last1_002390_branches,left_last1_objects,left_last1_verdict,text
744.2,H-1993,Harappa,TAB:B,740 000 220 004,220 004,004,095,<END>,yes,source_route_triaged_supplement_only_no_image,last2_left_not_deterministic_but_exact_full_left_singleton,1,390:1,095:1,H-1993:390->390 095,full_left_singleton_no_control,2,390:1; 817:1,095:1,H-1993:390->390 095; M-75:817->817,left_last2_same_left_alternates_post002_head,22,817:7; 861:5; 365:2; 390:2; 820:2; 031:1; 278:1; 705:1; 933:1,095:1; 125:1,H-2003:817->817; H-1993:390->390 095; H-1785:861->861; -:817->817; H-55:861->861 125; H-719:861->861; M-1844:817->817; M-1750:861->861; M-984:817->817; M-75:817->817; M-103:820->820; M-278:817->817; M-385:820->820; M-577:365->365 460 495; M-692:817->817 000; M-1063:861->861; M-1532:365->365 460 495; Sktd-1:390->390 125 820; -:705->705 127; H-1049:933->933; M-1823:031->031 376; -:278->278 595,left_last1_same_left_alternates_post002_head,+740-000-220-004-002-390-095+
1127.1,H-68,Harappa,SEAL:S,090 740 220 003,220 003,003,072,<END>,yes,metadata_only_unbound,last2_left_not_deterministic_but_exact_full_left_singleton,1,390:1,072:1,H-68:390->390 072,full_left_singleton_no_control,3,861:2; 390:1,072:1,H-1043:861->861; H-68:390->390 072; H-134:861->861,left_last2_same_left_alternates_post002_head,30,861:7; 820:6; 000:3; 817:3; 031:1; 111:1; 125:1; 156:1; 293:1; 297:1; 388:1; 390:1; 416:1; 803:1; 940:1,072:1,Blk-1:297->297 350 125 413; C-66:817->817; H-1043:861->861; H-1706:293->293 360; H-1680:820->820; H-60:820->820; H-68:390->390 072; H-134:861->861; H-407:817->817; H-457:416->416; H-468:940->940 705; K-12:820->820; K-82:861->861; L-62:861->861; M-1697:861->861; -:000->000; M-1810:156->156 920; M-1783:000->000 215; M-1729:820->820; M-32:817->817; M-72:861->861; M-95:111->111 165; M-177:803->803; M-251:125->125 350; M-318:031->031 575; M-712:861->861; M-948:388->388 031; Ns-7:820->820; M-1806:820->820; M-2112:000->000,left_last1_same_left_alternates_post002_head,+090-740-220-003-002-390-072+
1665.1,H-773,Harappa,TAB:B,740 798 803,798 803,803,530,741,no,source_panel_acquired_boxed_window_compatible_token_not_strict,exact_full_left_not_deterministic_for_post002_head,2,000:1; 390:1,530:1,H-773:390->390 530 741; L-205:000->000,full_left_same_left_alternates_post002_head,4,000:1; 031:1; 390:1; 861:1,530:1,H-44:031->031 892; H-773:390->390 530 741; L-205:000->000; M-714:861->861 603,left_last2_same_left_alternates_post002_head,34,820:8; 861:6; 817:4; 000:2; 220:2; 840:2; 850:2; 031:1; 301:1; 320:1; 368:1; 388:1; 390:1; 504:1; 920:1,530:1,C-67:817->817; C-4:817->817; -:861->861; H-44:031->031 892; H-268:220->220 455 920; H-445:000->000; H-501:817->817; H-574:820->820; H-773:390->390 530 741; L-205:000->000; M-656:861->861; M-1668:320->320 705 125; M-1955:820->820; M-1716:820->820; M-44:920->920 317; M-52:504->504 717; M-77:861->861; M-115:301->301 190; M-118:861->861; M-147:220->220 455 520; M-253:368->368 518; M-325:850->850 493; M-325:850->850 491; M-359:388->388 385 705 632; M-384:820->820; M-490:840->840 016; M-491:840->840 016; M-714:861->861 603; M-726:820->820; M-819:817->817; M-889:820->820; M-1119:820->820 741; M-1346:820->820; -:861->861,left_last1_same_left_alternates_post002_head,+740-798-803-002-390-530-741+
2566.1,M-38,Mohenjo-daro,SEAL:S,740 690 435 255 220 032 240 235,240 235,235,125,632 032,no,metadata_only_unbound,last2_left_not_deterministic_but_exact_full_left_singleton,1,390:1,125:1,M-38:390->390 125 632 032,full_left_singleton_no_control,6,220:1; 390:1; 460:1; 817:1; 820:1; 906:1,125:1,H-12:817->817; H-426:460->460 511; M-24:906->906 140; M-38:390->390 125 632 032; M-46:220->220 065 215; M-314:820->820,left_last2_same_left_alternates_post002_head,40,861:12; 817:9; 031:2; 390:2; 820:2; <END>:1; 065:1; 112:1; 220:1; 285:1; 374:1; 392:1; 405:1; 457:1; 460:1; 717:1; 824:1; 906:1,125:2,C-53:861->861; C-58:861->861; H-1050:817->817; H-12:817->817; H-42:817->817; H-389:031->031 480 625; H-426:460->460 511; H-478:817->817; H-639:717->717 747; Lh-1:392->392 590 125; L-89:861->861; L-191:861->861; M-1778:861->861; M-1693:817->817; M-1842:861->861; M-24:906->906 140; M-38:390->390 125 632 032; M-41:405->405 125 820; M-46:220->220 065 215; M-47:861->861; M-66:374->374 309 350; M-239:112->112; M-314:820->820; M-355:861->861 360 520 919 140; M-653:861->861; M-703:817->817; M-735:390->390 125 195; M-788:824->824; M-897:817->817; M-934:861->861; M-1064:<END>-><END>; M-1082:065->065 834; M-1152:861->861; M-1343:861->861; M-1386:031->031 480; -:820->820; H-1048:817->817; -:285->285; -:817->817; -:457->457,left_last1_same_left_alternates_post002_head,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2598.1,M-70,Mohenjo-daro,SEAL:S,226 032,226 032,032,692,<END>,yes,checkpoint_strict_source_visible,last2_left_not_deterministic_but_exact_full_left_singleton,1,390:1,692:1,M-70:390->390 692,full_left_singleton_no_control,2,390:1; 454:1,692:1,M-70:390->390 692; M-367:454->454,left_last2_same_left_alternates_post002_head,51,820:11; 861:11; 817:9; 000:4; 390:2; <END>:1; 142:1; 144:1; 168:1; 252:1; 300:1; 368:1; 415:1; 454:1; 690:1; 717:1; 880:1; 892:1; 900:1,590:1; 692:1,C-65:861->861; C-60:861->861; C-10:817->817; Dlp-3:892->892 740; H-1681:820->820; H-1657:690->690 921; H-18:820->820; H-140:817->817; H-444:861->861; H-507:820->820; H-597:861->861; H-597:861->861; H-640:817->817; L-15:415->415; L-139:880->880; L-196:000->000; L-198:000->000; M-1737:820->820; M-1677:820->820 001 440 012; M-1763:861->861; M-1686:142->142; M-1728:820->820; M-1872:<END>-><END>; M-1667:717->717 820; M-21:861->861; M-36:368->368 906 329; M-49:300->300 350 032 190; M-70:390->390 692; M-91:861->861 255 416; M-130:144->144; M-143:252->252 840; M-174:820->820; M-221:820->820; M-240:861->861 603; M-367:454->454; M-375:820->820; M-636:000->000 216; M-720:817->817; M-722:817->817; M-723:861->861; -:390->390 590 032; M-1044:861->861; M-1045:820->820 000; M-1159:168->168 032; M-1358:900->900 285; M-1385:817->817; M-1385:817->817; M-1385:817->817; H-1037:000->000; M-1788:817->817; K-145:820->820,left_last1_same_left_alternates_post002_head,+226-032-002-390-692+
2599.1,M-71,Mohenjo-daro,SEAL:S,151 279 142,279 142,142,095,<END>,yes,checkpoint_strict_source_visible,exact_full_left_singleton_broader_controls_needed,1,390:1,095:1,M-71:390->390 095,full_left_singleton_no_control,1,390:1,095:1,M-71:390->390 095,left_last2_singleton_no_control,3,390:1; 518:1; 817:1,095:1,M-1976:817->817; M-1916:518->518; M-71:390->390 095,left_last1_same_left_alternates_post002_head,+151-279-142-002-390-095+
2646.1,M-119,Mohenjo-daro,SEAL:S,151 337 484,337 484,484,125,632 032 900 563,no,checkpoint_strict_source_visible,exact_full_left_singleton_broader_controls_needed,1,390:1,125:1,M-119:390->390 125 632 032 900 563,full_left_singleton_no_control,1,390:1,125:1,M-119:390->390 125 632 032 900 563,left_last2_singleton_no_control,1,390:1,125:1,M-119:390->390 125 632 032 900 563,left_last1_singleton_no_control,+151-337-484-002-390-125-632-032-900-563+
2737.1,M-213,Mohenjo-daro,SEAL:S,740 384,740 384,384,346,<END>,yes,metadata_only_unbound,exact_full_left_not_deterministic_for_post002_head,2,390:1; 629:1,346:1,M-213:390->390 346; -:629->629 279,full_left_same_left_alternates_post002_head,3,390:1; 452:1; 629:1,346:1,H-461:452->452 000; M-213:390->390 346; -:629->629 279,left_last2_same_left_alternates_post002_head,3,390:1; 452:1; 629:1,346:1,H-461:452->452 000; M-213:390->390 346; -:629->629 279,left_last1_same_left_alternates_post002_head,+740-384-002-390-346+
2756.1,M-232,Mohenjo-daro,SEAL:S,236,236,236,707,<END>,yes,metadata_only_unbound,exact_full_left_not_deterministic_for_post002_head,6,861:3; 308:1; 390:1; 820:1,707:1,B-17:308->308 072; -:820->820; L-130:861->861; L-131:861->861; L-202:861->861; M-232:390->390 707,full_left_same_left_alternates_post002_head,6,861:3; 308:1; 390:1; 820:1,707:1,B-17:308->308 072; -:820->820; L-130:861->861; L-131:861->861; L-202:861->861; M-232:390->390 707,left_last2_same_left_alternates_post002_head,7,861:3; 308:1; 390:1; 820:1; 906:1,707:1,B-17:308->308 072; -:820->820; L-130:861->861; L-131:861->861; L-202:861->861; M-232:390->390 707; M-354:906->906 125,left_last1_same_left_alternates_post002_head,+236-002-390-707+
3134.1,M-708,Mohenjo-daro,SEAL:S,740 061,740 061,061,140,<END>,yes,metadata_only_unbound,exact_full_left_not_deterministic_for_post002_head,7,817:2; 390:1; 400:1; 455:1; 575:1; 703:1,140:1,H-1671:455->455 420 032; H-2338:575->575 000; M-1787:703->703 000; M-204:817->817; M-708:390->390 140; M-823:817->817; M-1135:400->400 703,full_left_same_left_alternates_post002_head,8,817:2; 390:1; 400:1; 455:1; 575:1; 703:1; 824:1,140:1,H-1671:455->455 420 032; H-2338:575->575 000; M-1787:703->703 000; M-204:817->817; M-309:824->824; M-708:390->390 140; M-823:817->817; M-1135:400->400 703,left_last2_same_left_alternates_post002_head,17,817:5; 861:2; 000:1; 368:1; 390:1; 400:1; 455:1; 460:1; 575:1; 703:1; 798:1; 824:1,140:1,Blk-2:368->368 634; H-1865:000->000; H-1671:455->455 420 032; H-2338:575->575 000; M-1772:798->798 435 255 705; M-1787:703->703 000; M-164:817->817; M-204:817->817; M-309:824->824; M-408:817->817; M-708:390->390 140; M-717:861->861; M-783:861->861; M-823:817->817; M-845:460->460 632; M-1135:400->400 703; ?-6:817->817,left_last1_same_left_alternates_post002_head,+740-061-002-390-140+
3159.1,M-735,Mohenjo-daro,SEAL:S,740 760 235,760 235,235,125,195,no,checkpoint_strict_source_visible,exact_full_left_not_deterministic_for_post002_head,2,390:1; 861:1,125:1,M-47:861->861; M-735:390->390 125 195,full_left_same_left_alternates_post002_head,2,390:1; 861:1,125:1,M-47:861->861; M-735:390->390 125 195,left_last2_same_left_alternates_post002_head,40,861:12; 817:9; 031:2; 390:2; 820:2; <END>:1; 065:1; 112:1; 220:1; 285:1; 374:1; 392:1; 405:1; 457:1; 460:1; 717:1; 824:1; 906:1,125:2,C-53:861->861; C-58:861->861; H-1050:817->817; H-12:817->817; H-42:817->817; H-389:031->031 480 625; H-426:460->460 511; H-478:817->817; H-639:717->717 747; Lh-1:392->392 590 125; L-89:861->861; L-191:861->861; M-1778:861->861; M-1693:817->817; M-1842:861->861; M-24:906->906 140; M-38:390->390 125 632 032; M-41:405->405 125 820; M-46:220->220 065 215; M-47:861->861; M-66:374->374 309 350; M-239:112->112; M-314:820->820; M-355:861->861 360 520 919 140; M-653:861->861; M-703:817->817; M-735:390->390 125 195; M-788:824->824; M-897:817->817; M-934:861->861; M-1064:<END>-><END>; M-1082:065->065 834; M-1152:861->861; M-1343:861->861; M-1386:031->031 480; -:820->820; H-1048:817->817; -:285->285; -:817->817; -:457->457,left_last1_same_left_alternates_post002_head,+740-760-235-002-390-125-195+
3335.1,-,Unknown,SEAL:S,740 205 032,205 032,032,590,032,no,metadata_only_unbound,exact_full_left_not_deterministic_for_post002_head,2,252:1; 390:1,590:1,M-143:252->252 840; -:390->390 590 032,full_left_same_left_alternates_post002_head,2,252:1; 390:1,590:1,M-143:252->252 840; -:390->390 590 032,left_last2_same_left_alternates_post002_head,51,820:11; 861:11; 817:9; 000:4; 390:2; <END>:1; 142:1; 144:1; 168:1; 252:1; 300:1; 368:1; 415:1; 454:1; 690:1; 717:1; 880:1; 892:1; 900:1,590:1; 692:1,C-65:861->861; C-60:861->861; C-10:817->817; Dlp-3:892->892 740; H-1681:820->820; H-1657:690->690 921; H-18:820->820; H-140:817->817; H-444:861->861; H-507:820->820; H-597:861->861; H-597:861->861; H-640:817->817; L-15:415->415; L-139:880->880; L-196:000->000; L-198:000->000; M-1737:820->820; M-1677:820->820 001 440 012; M-1763:861->861; M-1686:142->142; M-1728:820->820; M-1872:<END>-><END>; M-1667:717->717 820; M-21:861->861; M-36:368->368 906 329; M-49:300->300 350 032 190; M-70:390->390 692; M-91:861->861 255 416; M-130:144->144; M-143:252->252 840; M-174:820->820; M-221:820->820; M-240:861->861 603; M-367:454->454; M-375:820->820; M-636:000->000 216; M-720:817->817; M-722:817->817; M-723:861->861; -:390->390 590 032; M-1044:861->861; M-1045:820->820 000; M-1159:168->168 032; M-1358:900->900 285; M-1385:817->817; M-1385:817->817; M-1385:817->817; H-1037:000->000; M-1788:817->817; K-145:820->820,left_last1_same_left_alternates_post002_head,+740-205-032-002-390-590-032+
3875.1,Sktd-1,Surkotada,SEAL:S,390 004,390 004,004,125,820,no,checkpoint_permissive_public_panel,exact_full_left_not_deterministic_for_post002_head,10,817:4; 861:2; 031:1; 390:1; 705:1; 820:1,125:1,H-2003:817->817; -:817->817; H-55:861->861 125; M-1844:817->817; M-1750:861->861; M-984:817->817; M-103:820->820; Sktd-1:390->390 125 820; -:705->705 127; M-1823:031->031 376,full_left_same_left_alternates_post002_head,11,817:5; 861:2; 031:1; 390:1; 705:1; 820:1,125:1,H-2003:817->817; -:817->817; H-55:861->861 125; M-1844:817->817; M-1750:861->861; M-984:817->817; M-103:820->820; M-278:817->817; Sktd-1:390->390 125 820; -:705->705 127; M-1823:031->031 376,left_last2_same_left_alternates_post002_head,22,817:7; 861:5; 365:2; 390:2; 820:2; 031:1; 278:1; 705:1; 933:1,095:1; 125:1,H-2003:817->817; H-1993:390->390 095; H-1785:861->861; -:817->817; H-55:861->861 125; H-719:861->861; M-1844:817->817; M-1750:861->861; M-984:817->817; M-75:817->817; M-103:820->820; M-278:817->817; M-385:820->820; M-577:365->365 460 495; M-692:817->817 000; M-1063:861->861; M-1532:365->365 460 495; Sktd-1:390->390 125 820; -:705->705 127; H-1049:933->933; M-1823:031->031 376; -:278->278 595,left_last1_same_left_alternates_post002_head,+390-004-002-390-125-820+
3992.1,M-1825,Mohenjo-daro,SEAL:S,157 031,157 031,031,705,<END>,yes,m1825_ia_pakistan_absent_secondary_icon_only_no_signband,exact_full_left_singleton_broader_controls_needed,1,390:1,705:1,M-1825:390->390 705,full_left_singleton_no_control,1,390:1,705:1,M-1825:390->390 705,left_last2_singleton_no_control,22,861:8; 817:5; 820:2; 000:1; 031:1; 069:1; 226:1; 315:1; 390:1; 900:1,705:1,C-18:817->817; -:817->817; Dlv-1:861->861; H-1851:861->861; H-129:861->861 244 165; H-177:817->817; H-651:861->861; K-40:861->861 791 440 717; L-18:820->820; M-1832:000->000; M-1745:031->031 892; M-1883:069->069; M-90:817->817; M-160:820->820 741; M-937:900->900 615; M-941:861->861; M-1002:315->315 850; M-1126:817->817; M-1160:861->861; M-1161:861->861; M-1825:390->390 705; -:226->226 231,left_last1_same_left_alternates_post002_head,+157-031-002-390-705+
4237.1,-,Dholavira,SEAL:S,151 032 388,032 388,388,705,<END>,yes,dholavira_8758_cluster_unbound_image_conflict,exact_full_left_singleton_broader_controls_needed,1,390:1,705:1,-:390->390 705,full_left_singleton_no_control,1,390:1,705:1,-:390->390 705,left_last2_singleton_no_control,3,000:1; 390:1; 820:1,705:1,M-1830:820->820; M-1055:000->000; -:390->390 705,left_last1_same_left_alternates_post002_head,+151-032-388-002-390-705+
