checked_date,cisi,row_id,site,type,shape,symbol,cult,head,branch,predicted_class,tail,terminal,hit,is_390_head,prev_before_002,local_context,exact_sequence,text
2026-05-31,B-17,37.1,Banawali,SEAL:S,square,Htgr,HBF,308,072,close_terminal,<END>,true,true,false,236,236-002-308-072,236 002 308 072,+236-002-308-072+
2026-05-31,C-57,82.1,Chanhu-daro,SEAL:S,square,Bull1:W,SAF,296,530,open_continue,000,false,true,false,840,740-032-840-002-296-530-000,740 032 840 002 296 530 000,+740-032-840-002-296-530-000+
2026-05-31,H-1993,744.2,Harappa,TAB:B,rectangular,None,None,390,095,close_terminal,<END>,true,true,true,004,000-220-004-002-390-095,740 000 220 004 002 390 095,+740-000-220-004-002-390-095+
2026-05-31,H-55,1114.1,Harappa,SEAL:S,square,Bull1:X,SAF,861,125,open_continue,<END>,true,false,false,004,390-004-002-861-125,390 004 002 861 125,+390-004-002-861-125+
2026-05-31,H-68,1127.1,Harappa,SEAL:S,square,Bull1:I,RAN,390,072,close_terminal,<END>,true,true,true,003,740-220-003-002-390-072,090 740 220 003 002 390 072,+090-740-220-003-002-390-072+
2026-05-31,H-74,1132.1,Harappa,SEAL:S,square,Bull1:J,RAN,610,125,open_continue,032,false,true,false,<START>,002-610-125-032,002 610 125 032,+002-610-125-032+
2026-05-31,H-464,1452.1,Harappa,SEAL:S,square,Bull1:U,SAF,798,590,open_continue,032,false,true,false,176,000-176-002-798-590-032,000 176 002 798 590 032,+000-176-002-798-590-032+
2026-05-31,H-468,1456.1,Harappa,SEAL:S,square,Bull1:J,HAF,940,705,close_terminal,<END>,true,true,false,003,740-900-003-002-940-705,740 900 003 002 940 705,+740-900-003-002-940-705+
2026-05-31,H-611,1551.1,Harappa,SEAL:S,square,None,None,125,590,open_continue,<END>,true,false,false,550,527-550-002-125-590,527 550 002 125 590,+527-550-002-125-590+
2026-05-31,H-773,1665.1,Harappa,TAB:B,plano-convex,None,None,390,530,open_continue,741,false,true,true,803,740-798-803-002-390-530-741,740 798 803 002 390 530 741,+740-798-803-002-390-530-741+
2026-05-31,Lh-1,1981.1,Lohumjo-daro,SEAL:S,square,Bull1:S,SAN,392,590,open_continue,125,false,true,false,235,104-717-235-002-392-590-125,740 760 615 104 717 235 002 392 590 125,+740-760-615-104-717-235-002-392-590-125+
2026-05-31,L-1,1984.1,Lothal,SEAL:S,square,Bull1:W,SAF,812,095,close_terminal,<END>,true,true,false,233,527-550-233-002-812-095,527 550 233 002 812 095,+527-550-233-002-812-095+
