"control","iteration","rows","tokens","unique_signs_or_glyphs","masked_tokens","masked_top1_accuracy","masked_top5_accuracy","masked_mrr","masked_mean_effective_candidates"
"global_token_shuffle","0","1798","8716","358","1500","0.03","0.114","0.087286","35.363538"
"global_token_shuffle","1","1798","8716","358","1500","0.031333","0.115333","0.088115","34.520832"
"global_token_shuffle","2","1798","8716","358","1500","0.034","0.115333","0.089992","34.260504"
"global_token_shuffle","3","1798","8716","358","1500","0.026","0.104667","0.082972","35.283016"
"global_token_shuffle","4","1798","8716","358","1500","0.025333","0.109333","0.083071","34.733883"
"global_token_shuffle","5","1798","8716","358","1500","0.030667","0.114667","0.088903","34.661521"
"global_token_shuffle","6","1798","8716","358","1500","0.036667","0.123333","0.096445","35.134664"
"global_token_shuffle","7","1798","8716","358","1500","0.032667","0.12","0.091212","35.619729"
"global_token_shuffle","8","1798","8716","358","1500","0.028","0.116667","0.0876","35.163816"
"global_token_shuffle","9","1798","8716","358","1500","0.026","0.100667","0.079875","35.724671"
"global_token_shuffle","10","1798","8716","358","1500","0.03","0.112","0.087303","34.37664"
"global_token_shuffle","11","1798","8716","358","1500","0.025333","0.109333","0.081532","35.238912"
"global_token_shuffle","12","1798","8716","358","1500","0.026","0.114667","0.085991","35.230891"
"global_token_shuffle","13","1798","8716","358","1500","0.03","0.112667","0.089131","36.18295"
"global_token_shuffle","14","1798","8716","358","1500","0.028","0.107333","0.083662","36.292362"
"global_token_shuffle","15","1798","8716","358","1500","0.032667","0.108","0.08811","33.894293"
"global_token_shuffle","16","1798","8716","358","1500","0.026","0.13","0.088491","34.832401"
"global_token_shuffle","17","1798","8716","358","1500","0.03","0.106667","0.085581","34.012926"
"global_token_shuffle","18","1798","8716","358","1500","0.024667","0.116667","0.084622","34.784184"
"global_token_shuffle","19","1798","8716","358","1500","0.031333","0.11","0.086487","35.1464"
"global_token_shuffle","20","1798","8716","358","1500","0.028","0.098667","0.081474","35.14776"
"global_token_shuffle","21","1798","8716","358","1500","0.026","0.110667","0.084614","34.800507"
"global_token_shuffle","22","1798","8716","358","1500","0.039333","0.120667","0.095545","34.955944"
"global_token_shuffle","23","1798","8716","358","1500","0.034","0.114667","0.090574","35.022187"
"global_token_shuffle","24","1798","8716","358","1500","0.029333","0.107333","0.086223","35.561334"
"global_token_shuffle","25","1798","8716","358","1500","0.032","0.110667","0.086741","34.631357"
"global_token_shuffle","26","1798","8716","358","1500","0.022","0.118","0.080537","34.671956"
"global_token_shuffle","27","1798","8716","358","1500","0.03","0.121333","0.089899","34.765578"
"global_token_shuffle","28","1798","8716","358","1500","0.022667","0.116667","0.08429","35.068955"
"global_token_shuffle","29","1798","8716","358","1500","0.033333","0.119333","0.090983","35.702953"
"global_token_shuffle","30","1798","8716","358","1500","0.02","0.107333","0.078312","35.04206"
"global_token_shuffle","31","1798","8716","358","1500","0.024","0.119333","0.087582","35.208757"
"global_token_shuffle","32","1798","8716","358","1500","0.033333","0.116667","0.091735","34.318452"
"global_token_shuffle","33","1798","8716","358","1500","0.030667","0.126667","0.091867","35.0158"
"global_token_shuffle","34","1798","8716","358","1500","0.024667","0.112","0.084149","36.158603"
"global_token_shuffle","35","1798","8716","358","1500","0.027333","0.110667","0.084821","34.634168"
"global_token_shuffle","36","1798","8716","358","1500","0.028667","0.110667","0.085733","34.808475"
"global_token_shuffle","37","1798","8716","358","1500","0.026","0.105333","0.080618","35.168014"
"global_token_shuffle","38","1798","8716","358","1500","0.025333","0.103333","0.079865","34.484297"
"global_token_shuffle","39","1798","8716","358","1500","0.036","0.116667","0.092846","35.471613"
"row_internal_shuffle","0","1798","8716","358","1500","0.04","0.143333","0.1044","33.781127"
"row_internal_shuffle","1","1798","8716","358","1500","0.046667","0.156667","0.112361","34.033067"
"row_internal_shuffle","2","1798","8716","358","1500","0.052","0.167333","0.123917","34.149284"
"row_internal_shuffle","3","1798","8716","358","1500","0.048667","0.142667","0.11145","33.795985"
"row_internal_shuffle","4","1798","8716","358","1500","0.042667","0.144","0.107275","33.435703"
"row_internal_shuffle","5","1798","8716","358","1500","0.051333","0.158667","0.117402","32.486127"
"row_internal_shuffle","6","1798","8716","358","1500","0.035333","0.149333","0.104858","33.213646"
"row_internal_shuffle","7","1798","8716","358","1500","0.046667","0.145333","0.111482","32.889574"
"row_internal_shuffle","8","1798","8716","358","1500","0.044","0.147333","0.111174","33.94121"
"row_internal_shuffle","9","1798","8716","358","1500","0.049333","0.156667","0.116765","34.20534"
"row_internal_shuffle","10","1798","8716","358","1500","0.046667","0.146","0.109603","33.511752"
"row_internal_shuffle","11","1798","8716","358","1500","0.048","0.167333","0.119203","33.948484"
"row_internal_shuffle","12","1798","8716","358","1500","0.044","0.152667","0.111434","32.745945"
"row_internal_shuffle","13","1798","8716","358","1500","0.048","0.149333","0.11318","33.209491"
"row_internal_shuffle","14","1798","8716","358","1500","0.05","0.146667","0.115932","33.613828"
"row_internal_shuffle","15","1798","8716","358","1500","0.05","0.144667","0.11508","34.039832"
"row_internal_shuffle","16","1798","8716","358","1500","0.040667","0.14","0.107016","34.163479"
"row_internal_shuffle","17","1798","8716","358","1500","0.054","0.162667","0.120811","33.885376"
