iteration,best_pair,best_left,best_right,best_n,best_dominant_count,best_binomial_p,ge_target
0,000|840,000,840,23,18,0.005311012268066398,false
1,000|740,000,740,254,152,0.0010240246939224374,false
2,002|004,004,002,20,17,0.0012884140014648464,false
3,575|740,575,740,33,25,0.002275692066177723,false
4,000|920,000,920,21,17,0.0035986900329589844,false
5,000|740,000,740,254,154,0.00042394960237008064,false
6,055|740,740,055,25,19,0.00731664896011352,false
7,368|740,368,740,23,17,0.017344832420349093,false
8,390|590,590,390,61,44,0.00036495225546738307,false
9,060|240,060,240,28,21,0.006270475685596465,false
10,002|390,390,002,80,53,0.002434077074779704,false
11,220|415,220,415,53,37,0.0027431724383800726,false
12,000|817,000,817,30,24,0.0007154531776905073,false
13,000|002,000,002,166,101,0.0032115310726191252,false
14,388|740,740,388,25,21,0.0004552602767944337,false
15,000|176,000,176,25,21,0.0004552602767944337,false
16,740|840,840,740,58,42,0.00043089112027106246,false
17,060|220,220,060,26,20,0.004677653312683102,false
18,060|692,692,060,37,27,0.0038160393014550122,false
19,740|803,740,803,58,41,0.0011162758099714648,false
20,000|031,000,031,53,39,0.00040116544344748374,false
21,002|705,705,002,49,37,0.00023487865900406843,false
22,031|740,740,031,60,44,0.00019702162136305017,false
23,017|740,740,017,47,34,0.0015438382307593273,false
24,000|002,000,002,166,105,0.00039703164023493674,false
25,000|002,000,002,166,100,0.005106331576315871,false
26,407|740,407,740,25,20,0.0020386576652526834,false
27,000|740,000,740,254,149,0.003428870598540087,false
28,032|390,032,390,24,21,0.00013858079910278345,false
29,000|003,000,003,32,25,0.0010512007866054784,false
30,000|390,000,390,37,28,0.0012816039961762683,false
31,100|740,100,740,92,57,0.014008450979473432,false
32,003|390,390,003,20,18,0.0002012252807617189,false
33,000|031,000,031,53,38,0.001095093441946023,false
34,740|760,740,760,98,65,0.0008002901051040773,false
35,000|235,000,235,36,28,0.0005966214812360707,false
36,000|002,000,002,166,100,0.005106331576315871,false
37,000|002,000,002,166,110,0.000016787691016460778,false
38,000|740,000,740,254,152,0.0010240246939224374,false
39,740|900,740,900,47,35,0.00054426910323713,false
40,590|740,590,740,92,59,0.004390465403487656,false
41,000|002,000,002,166,105,0.00039703164023493674,false
42,240|740,240,740,151,95,0.0009438655801402853,false
43,002|740,740,002,333,192,0.0030303366118498267,false
44,033|220,220,033,23,19,0.0012997388839721675,false
45,000|740,000,740,254,156,0.00016496453353168194,false
46,000|400,000,400,54,38,0.0019191329401630477,false
47,000|002,000,002,166,100,0.005106331576315871,false
48,032|840,032,840,40,29,0.0032132880478457043,false
49,003|390,390,003,20,17,0.0012884140014648464,false
