id,cisi,region,site,type,symbol,text,next,terminal_after_next
6.1,Ad-1,Lower Indus,Allahdino,SEAL:S,Bull1,+740-390-590+,590,yes
90.1,C-2,Lower Indus,Chanhu-daro,SEAL:S,Bull1:L,+740-390-590+,590,yes
378.1,H-1776,Inter-Riverine,Harappa,TAB:B,Elep,+740-390-590-060-550+,590,no
537.1,H-1692,Inter-Riverine,Harappa,SEAL:S,None,+740-390-590-002-861+,590,no
1057.1,H-733,Inter-Riverine,Harappa,TAB:B,Phyt,+740-390-590-240+,590,no
1098.1,H-39,Inter-Riverine,Harappa,SEAL:S,Bull1:W,+740-390-590-231-240-235-745-060-920+,590,no
1133.1,H-75,Inter-Riverine,Harappa,SEAL:S,Bull1:I,+400-740-390-590+,590,yes
1226.1,H-194,Inter-Riverine,Harappa,TAB:B,Phyt,+740-390-590-240+,590,no
1439.1,H-449,Inter-Riverine,Harappa,SEAL:S,Bull1:W,+740-390-590-240-741-390-728+,590,no
1444.1,H-454,Inter-Riverine,Harappa,SEAL:S,Bull1:J,+740-390-590-742-700+,590,no
1487.1,H-510,Inter-Riverine,Harappa,SEAL:S,Bull1:I,+740-390-590-060-795+,590,no
1540.1,H-597,Inter-Riverine,Harappa,SEAL:S,Bull1:J,+740-390-590-070-032-002-861+,590,no
1540.2,H-597,Inter-Riverine,Harappa,SEAL:S,Bull1:J,+740-390-590-070-032-002-861+,590,no
1599.1,H-694,Inter-Riverine,Harappa,TAB:B,Bull1:S,+740-390-590-235-368-806+,590,no
1600.1,H-695,Inter-Riverine,Harappa,TAB:B,Bull1:S,+740-390-590-235-368-806+,590,no
1633.1,H-734,Inter-Riverine,Harappa,TAB:B,Phyt,+740-390-590-240+,590,no
1705.1,H-816,Inter-Riverine,Harappa,TAB:B,None,+400-740-390-590+,590,yes
1741.1,H-857,Inter-Riverine,Harappa,TAB:B,None,+740-390-590-235+,590,no
1971.1,-,Mesopotamia,Kish,SEAL:S,Bull1:L,+740-390-590-220-003-060-840-416+,590,no
2448.1,M-1739,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,+740-390-590-032-060-201+,590,no
2489.1,-,Gujarat/Kutch,Dholavira,SEAL:S,Bull1:V,+740-390-590-002-817+,590,no
2540.1,M-12,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,+740-390-590-233-002-368-202-892-371+,590,no
2563.1,M-35,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,+740-390-590-233-231-002-107+,590,no
2594.1,M-66,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,+740-390-590-235-002-374-309-350+,590,no
2621.1,M-94,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,+740-390-590-220-003+,590,no
2658.1,M-131,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,+740-390-590-741-390-790+,590,no
2728.1,M-203,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,+740-390-590-741-081-220+,590,no
2819.1,M-300,Lower Indus,Mohenjo-daro,SEAL:S,CompBull,+740-390-590-001/060-820+,590,no
2925.1,M-431,Lower Indus,Mohenjo-daro,TAB:B,-,+740-390-590-033-705+,590,no
2926.1,M-432,Lower Indus,Mohenjo-daro,TAB:B,None,+740-390-590-033-705+,590,no
2929.1,M-437,Lower Indus,Mohenjo-daro,TAG:P,Zebu,+740-390-590-002-820+,590,no
3263.1,M-851,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,+621-740-390-590-002-817+,590,no
3305.1,M-900,Lower Indus,Mohenjo-daro,SEAL:S,Bull1,+740-390-590-233-220-415-798-838-002-820+,590,no
3328.1,M-933,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:L,+740-390-590-741-821+,590,no
3359.1,M-965,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:I,+740-390-590-032-741-527+,590,no
3648.1,M-1343,Lower Indus,Mohenjo-daro,SEAL,None,+740-390-590-235-002-861+,590,no
3907.1,M-1669,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,+740-390+,<END>,yes
3967.1,H-1107,Inter-Riverine,Harappa,TAB:B,Phyt,+740-390-590-235+,590,no
4155.1,-,Central Asia,Gonur Depe,SEAL:S,Elep,+740-390-590-125-220-235-002-285+,590,no
4182.1,-,Gujarat/Kutch,Dholavira,SEAL:S,Bull1,+740-390-590-231-002-705-530-904+,590,no
4229.1,-,Gujarat/Kutch,Dholavira,SEAL:S,Bull1:V,+740-390-590-220-463-240-001-820-060+,590,no
