checked_date,h_before_125,rows,gated_rows,open_rate,gated_open_rate,ungated_open_rate,scopes,objects
2026-05-31,390,9,4,6/9,4/4,2/5,Mohenjo-daro|SEAL:S|square|Steatite:6;Allahdino|SEAL:S|square|Steatite:1;Harappa|SEAL:S|square|Steatite:1;Surkotada|SEAL:S|square|-:1,Ad-2;H-467;M-38;M-119;M-314;M-320;M-735;M-878;Sktd-1
2026-05-31,350,4,0,4/4,0/0,4/4,Bala-kot|SEAL:S|square|-:1;Dholavira|SEAL:S|-|Steatite:1;Ganweriwala|TAG|twisted rectangular-rounded|Terracotta:1;Nausharo|SEAL:R|rectangular|Steatite:1,Blk-1;-;-;Ns-60
2026-05-31,000,3,0,3/3,0/0,3/3,Dholavira|SEAL:R|rectangular|-:1;Harappa|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1,H-11;M-1188;-
2026-05-31,590,3,0,2/3,0/0,2/3,Gonur Depe|SEAL:S|square|Steatite:1;Harappa|SEAL:S|square|Steatite:1;Lohumjo-daro|SEAL:S|square|-:1,H-52;Lh-1;-
2026-05-31,700,3,0,0/3,0/0,0/3,Harappa|TAB:B|prism|Faience:1;Harappa|TAB:I|rectangular|-:1;Harappa|TAB:I|rectangular|Steatite:1,H-1946;H-894;H-1178
2026-05-31,002,2,0,2/2,0/0,2/2,Harappa|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1,H-611;M-251
2026-05-31,090,2,0,1/2,0/0,1/2,Mohenjo-daro|SEAL:S|square|Steatite:2,M-191;M-901
2026-05-31,190,2,1,2/2,1/1,1/1,Mohenjo-daro|SEAL:S|square|Steatite:2,M-1692;M-624
2026-05-31,400,2,0,2/2,0/0,2/2,Dholavira|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1,M-1700;-
2026-05-31,406,2,0,1/2,0/0,1/2,Harappa|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1,H-50;M-848
2026-05-31,455,2,0,1/2,0/0,1/2,Mohenjo-daro|SEAL:S|square|Steatite:2,M-1749;M-761
2026-05-31,610,2,2,2/2,2/2,0/0,Harappa|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1,H-74;M-1665
2026-05-31,741,2,0,1/2,0/0,1/2,Kalibangan|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|-:1,K-5;M-837
2026-05-31,861,2,1,0/2,0/1,0/1,Harappa|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1,H-55;M-1903
2026-05-31,018,1,0,1/1,0/0,1/1,Harappa|SEAL:S|square|Steatite:1,H-10
2026-05-31,267,1,0,1/1,0/0,1/1,Dholavira|SEAL:S|square|Steatite:1,-
2026-05-31,304,1,0,0/1,0/0,0/1,Mohenjo-daro|SEAL:S|square|Steatite:1,M-13
2026-05-31,352,1,0,1/1,0/0,1/1,Gola Dhoro (Bagasra)|SEAL:S|square|-:1,-
2026-05-31,354,1,0,1/1,0/0,1/1,Harappa|SEAL:R|cuboid-convex|Steatite:1,H-642
2026-05-31,374,1,0,1/1,0/0,1/1,Mohenjo-daro|SEAL:S|square|Steatite:1,M-626
2026-05-31,384,1,0,0/1,0/0,0/1,Mohenjo-daro|TAB:B|twisted cuboid|-:1,M-1424
2026-05-31,405,1,1,1/1,1/1,0/0,Mohenjo-daro|SEAL:S|square|Steatite:1,M-41
2026-05-31,407,1,1,1/1,1/1,0/0,Mohenjo-daro|TAB:C|rectangular|Copper:1,M-2055
2026-05-31,420,1,0,1/1,0/0,1/1,Mohenjo-daro|SEAL:R|cuboid-convex|Steatite:1,M-356
2026-05-31,705,1,0,0/1,0/0,0/1,Mohenjo-daro|SEAL:S|square|Steatite:1,M-1668
2026-05-31,812,1,0,1/1,0/0,1/1,Harappa|SEAL:R|rectangular|-:1,H-130
2026-05-31,906,1,1,0/1,0/1,0/0,Mohenjo-daro|SEAL:R|cuboid-convex|Steatite:1,M-354
2026-05-31,920,1,0,1/1,0/0,1/1,Harappa|SEAL:R|rectangular|Steatite:1,H-1710
