cisi,id,site,type,symbol,text,successor_after_154_806,in_467_474_family
H-1999,592.1,Harappa,TAB:B,Mult,+400-154-806-467+,467,yes
H-1788,805.1,Harappa,TAB:B,None,+154-806-470-002-861+,470,yes
H-27,1087.1,Harappa,SEAL:S,Bull1:W,+154-806-468-001-740-877-032+,468,yes
H-132,1173.1,Harappa,SEAL:R,None,+154-806-471-407-845-740-233-231-798+,471,yes
H-143,1184.1,Harappa,SEAL:R,None,+154-806-469-001-740-877-032+,469,yes
H-146,1187.1,Harappa,SEAL:R,None,+154-806-467-031+,467,yes
H-152,1193.1,Harappa,SEAL:R,None,+154-806-468+,468,yes
H-154,1195.1,Harappa,SEAL:R,None,+154-806-467-013-817+,467,yes
H-158,1199.1,Harappa,SEAL:R,None,+154-806-472-001-740-405-590+,472,yes
H-160,1201.1,Harappa,SEAL:R,None,+400-154-806-468+,468,yes
H-670,1585.1,Harappa,SEAL:R,None,+154-806-468+,468,yes
H-681,1588.1,Harappa,SEAL:R,None,+154-806-468+,468,yes
M-1986,2223.1,Mohenjo-daro,SEAL:R,None,+154-806-468+,468,yes
M-1957,2443.1,Mohenjo-daro,SEAL:R,None,+154-806-474-013-820+,474,yes
M-371,2867.1,Mohenjo-daro,SEAL:R,None,+617-142-384-032-154-806-467+,467,yes
-,4194.1,Dholavira,SEAL:R,None,+154-806-472-013-220-455-806+,472,yes
