first_sign,carrier_class,observed,expected,first_sign_total,class_total,log2_lift,mi_contribution_bits
400,tablet_account_TAB_BI,178,55.03282900371111,252,765,1.69351284268853,0.08605346445862357
740,square_seal_SEALS,510,398.26862689123607,903,1545,0.35675540938832584,0.051939839791049436
520,square_seal_SEALS,130,78.9480445332572,179,1545,0.7195361857745243,0.02670274169303116
407,rect_copper_SEALR_TABC,34,5.576934056522981,44,444,2.6079906290649992,0.025313069194464737
700,tablet_account_TAB_BI,33,8.735369683128747,40,765,1.9175253596931399,0.01806404135594451
000,pottery_graffiti_POT,70,38.20268341421639,408,328,0.87368094315745,0.017458654302318445
000,tag,39,14.791892663431344,408,127,1.3986674629206497,0.015571804468714055
151,square_seal_SEALS,51,28.22723379960034,64,1545,0.8534094919818217,0.012424745672587183
390,square_seal_SEALS,62,42.78190122751927,97,1545,0.5352676182100736,0.009473763154160595
154,rect_copper_SEALR_TABC,16,3.9292035398230087,31,444,2.0257630960650816,0.009252700410231603
617,rect_copper_SEALR_TABC,15,3.9292035398230087,31,444,1.9326536916736003,0.008275708071682559
405,rect_copper_SEALR_TABC,16,4.816443048815302,38,444,1.7320318930083713,0.007911079157331986
090,square_seal_SEALS,55,40.576648586925494,92,1545,0.4387819074779727,0.006889239198198257
034,pottery_graffiti_POT,8,1.1236083357122466,12,328,2.831860767462823,0.006467281227434366
740,rect_copper_SEALR_TABC,129,114.45389666000571,903,444,0.17260448439435283,0.00635625991632073
031,pottery_graffiti_POT,11,2.9962888952326576,32,328,1.8762548868212765,0.005891751000580657
621,square_seal_SEALS,17,7.497858978018841,17,1545,1.180984150010326,0.005731296189030986
000,other,41,29.93320011418784,408,257,0.4538773862547729,0.005312295985282812
156,square_seal_SEALS,25,14.995717956037682,34,1545,0.7373774985347112,0.0052624714425828665
690,tablet_account_TAB_BI,10,2.838995147016843,13,765,1.8165477119683189,0.005185691441531028
527,square_seal_SEALS,31,20.7293748215815,47,1545,0.5805916087195637,0.005137978838226228
824,tablet_account_TAB_BI,7,1.5286896945475308,7,765,2.195059335222049,0.004386358934214771
368,square_seal_SEALS,23,14.995717956037682,34,1545,0.6170832648169994,0.004051645758147583
423,rect_copper_SEALR_TABC,5,0.7604910077076791,6,444,2.716925000618163,0.003877997431655957
167,tablet_account_TAB_BI,6,1.310305452469312,6,765,2.195059335222049,0.003759736229326947
033,pottery_graffiti_POT,8,2.6217527833285756,28,328,1.609468346126375,0.0036756342475052816
226,square_seal_SEALS,18,11.026263202968885,25,1545,0.7070529616779135,0.003633158238710375
697,pottery_graffiti_POT,4,0.46817013988010275,5,328,3.0948951732966172,0.003533993917552518
840,other,4,0.5135598058806737,7,257,2.9613958015505806,0.0033815538698836207
161,square_seal_SEALS,11,5.292606337425064,12,1545,1.0554532679264672,0.003314298015184453
064,other,4,0.5869254924350557,8,257,2.7687507236081847,0.0031615766184506823
868,tablet_account_TAB_BI,5,1.0919212103910934,5,765,2.195059335222049,0.003133113524439122
869,tablet_account_TAB_BI,5,1.0919212103910934,5,765,2.195059335222049,0.003133113524439122
480,pottery_graffiti_POT,3,0.28090208392806165,3,328,3.4168232681839794,0.0029261974891669823
032,tablet_account_TAB_BI,12,6.769911504424779,31,765,0.8258255255563297,0.0028289769645092654
176,tablet_account_TAB_BI,5,1.310305452469312,6,765,1.932024929388255,0.0027576718946449546
003,other,4,0.8070225520982015,11,257,2.309319104970888,0.0026369615814683276
032,pottery_graffiti_POT,7,2.9026548672566372,31,328,1.2699818798547082,0.002537788512413062
790,pottery_graffiti_POT,5,1.4981444476163288,16,328,1.7387513630713416,0.002481803258737285
820,other,5,1.614045104196403,22,257,1.63124719985825,0.0023283574077337284
241,square_seal_SEALS,8,3.9694547530687982,9,1545,1.0110591485680136,0.0023090131854250954
679,square_seal_SEALS,11,6.615757921781331,15,1545,0.7335251730391046,0.002303390494841607
411,pottery_graffiti_POT,3,0.46817013988010275,5,328,2.6798576740177733,0.0022950536745798803
645,pottery_graffiti_POT,3,0.46817013988010275,5,328,2.6798576740177733,0.0022950536745798803
705,tablet_account_TAB_BI,6,2.4022266628604054,11,765,1.3205902173059076,0.0022619301466843982
001,rect_copper_SEALR_TABC,6,2.408221524407651,19,444,1.3169943937295276,0.0022557711568304785
409,rect_copper_SEALR_TABC,3,0.5069940051384527,4,444,2.564921907173113,0.002196621673285567
920,other,3,0.5135598058806737,7,257,2.5463583022717367,0.002180723638828207
909,other,2,0.1467313731087639,2,257,3.7687507236081847,0.0021517275042010763
556,other,2,0.1467313731087639,2,257,3.7687507236081847,0.0021517275042010763
913,other,2,0.1467313731087639,2,257,3.7687507236081847,0.0021517275042010763
360,other,2,0.1467313731087639,2,257,3.7687507236081847,0.0021517275042010763
898,other,2,0.1467313731087639,2,257,3.7687507236081847,0.0021517275042010763
527,rect_copper_SEALR_TABC,10,5.95717956037682,47,444,0.7472986496616819,0.0021333104472214728
595,rect_copper_SEALR_TABC,5,1.7744790179845846,14,444,1.494532579281715,0.0021332180692002784
820,square_seal_SEALS,14,9.703111618612617,22,1545,0.528907453430633,0.0021138179697484617
158,pottery_graffiti_POT,4,1.1236083357122466,12,328,1.8318607674628231,0.002091762223765713
365,tag,2,0.1812731944047959,5,127,3.4637624911425346,0.0019775977682800656
748,pottery_graffiti_POT,2,0.1872680559520411,2,328,3.4168232681839794,0.0019507983261113214
849,pottery_graffiti_POT,2,0.1872680559520411,2,328,3.4168232681839794,0.0019507983261113214
354,rect_copper_SEALR_TABC,3,0.633742506423066,5,444,2.242993812285751,0.0019209196222829726
235,pottery_graffiti_POT,3,0.6554381958321439,7,328,2.1944308468475313,0.0018793298716935753
375,round_cylinder_seal,1,0.0105623751070511,1,37,6.5649219071731135,0.0018740856143799926
091,round_cylinder_seal,1,0.0105623751070511,1,37,6.5649219071731135,0.0018740856143799926
831,round_cylinder_seal,1,0.0105623751070511,1,37,6.5649219071731135,0.0018740856143799926
