"scope","holdout_policy","model","evaluated_gaps","target_rows_from_exact_duplicate_sequences","top1","top1_accuracy","top5","top5_accuracy","mrr","median_rank","target_oov"
"all_513_gapped_rows","row_leave_one_out","bidirectional_bigram","513","40","154","0.300195","325","0.633528","0.454565","3","0"
"all_513_gapped_rows","row_leave_one_out","frequency","513","40","14","0.02729","91","0.177388","0.124261","16","0"
"all_513_gapped_rows","row_leave_one_out","length_position","513","40","63","0.122807","165","0.321637","0.224631","12","0"
"all_513_gapped_rows","row_leave_one_out","position","513","40","48","0.093567","162","0.315789","0.212647","13","0"
"all_513_gapped_rows","sequence_leave_one_out","bidirectional_bigram","513","40","151","0.294347","321","0.625731","0.44884","3","0"
"all_513_gapped_rows","sequence_leave_one_out","frequency","513","40","14","0.02729","91","0.177388","0.124197","16","0"
"all_513_gapped_rows","sequence_leave_one_out","length_position","513","40","60","0.116959","149","0.290448","0.212214","13","0"
"all_513_gapped_rows","sequence_leave_one_out","position","513","40","48","0.093567","162","0.315789","0.211494","13","0"
"ivc_p95_length_cap_gapped_rows","row_leave_one_out","bidirectional_bigram","299","36","91","0.304348","195","0.652174","0.464666","3","0"
"ivc_p95_length_cap_gapped_rows","row_leave_one_out","frequency","299","36","10","0.033445","63","0.210702","0.139252","14","0"
"ivc_p95_length_cap_gapped_rows","row_leave_one_out","length_position","299","36","30","0.100334","95","0.317726","0.213335","10","0"
"ivc_p95_length_cap_gapped_rows","row_leave_one_out","position","299","36","27","0.090301","98","0.327759","0.219316","11","0"
"ivc_p95_length_cap_gapped_rows","sequence_leave_one_out","bidirectional_bigram","299","36","88","0.294314","191","0.638796","0.454842","3","0"
"ivc_p95_length_cap_gapped_rows","sequence_leave_one_out","frequency","299","36","10","0.033445","63","0.210702","0.139142","14","0"
"ivc_p95_length_cap_gapped_rows","sequence_leave_one_out","length_position","299","36","27","0.090301","79","0.264214","0.192031","12","0"
"ivc_p95_length_cap_gapped_rows","sequence_leave_one_out","position","299","36","27","0.090301","98","0.327759","0.217368","11","0"
