checked_date,object,left_final,x,tail_after_x,terminal_after_x,source_class,operator_status,text
2026-05-31,H-1993,004,095,<END>,True,route_only,candidate_operator_context,+740-000-220-004-002-390-095+
2026-05-31,H-68,003,072,<END>,True,unbound,row_context_only,+090-740-220-003-002-390-072+
2026-05-31,H-773,803,530,741,False,panel_compatible_not_strict,row_context_only,+740-798-803-002-390-530-741+
2026-05-31,M-38,235,125,632 032,False,unbound,candidate_operator_context,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-70,032,692,<END>,True,strict,candidate_operator_context,+226-032-002-390-692+
2026-05-31,M-71,142,095,<END>,True,strict,row_context_only,+151-279-142-002-390-095+
2026-05-31,M-119,484,125,632 032 900 563,False,strict,row_context_only,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-213,384,346,<END>,True,unbound,row_context_only,+740-384-002-390-346+
2026-05-31,M-232,236,707,<END>,True,unbound,row_context_only,+236-002-390-707+
2026-05-31,M-708,061,140,<END>,True,unbound,row_context_only,+740-061-002-390-140+
2026-05-31,M-735,235,125,195,False,strict,candidate_operator_context,+740-760-235-002-390-125-195+
2026-05-31,-:3335.1,032,590,032,False,unbound,candidate_operator_context,+740-205-032-002-390-590-032+
2026-05-31,Sktd-1,004,125,820,False,panel_permissive_not_strict,candidate_operator_context,+390-004-002-390-125-820+
2026-05-31,M-1825,031,705,<END>,True,source_dark,row_context_only,+157-031-002-390-705+
2026-05-31,-:4237.1,388,705,<END>,True,unbound,row_context_only,+151-032-388-002-390-705+
